layer,source_ref,target_ref,max_exact_run_len,formula_risk
epistle_to_gospel,1Cor 11:24,Luke 22:16-19,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:17-19,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:17-20,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:18-19,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:18-20,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:18-21,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:19,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:19-20,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:19-21,6,high
epistle_to_gospel,1Cor 11:24,Luke 22:19-22,6,high
epistle_to_gospel,1Cor 11:24,Matt 15:33-36,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:34-36,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:34-37,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:35-36,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:35-37,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:35-38,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:36,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:36-37,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:36-38,4,low
epistle_to_gospel,1Cor 11:24,Matt 15:36-39,4,low
epistle_to_gospel,1Cor 11:25,Luke 22:17-20,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:18-20,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:18-21,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:19-20,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:19-21,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:19-22,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:20,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:20-21,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:20-22,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:20-23,10,high
epistle_to_gospel,1Cor 11:25,Luke 22:16-19,4,high
epistle_to_gospel,1Cor 11:25,Luke 22:17-19,4,high
epistle_to_gospel,1Cor 11:25,Luke 22:18-19,4,high
epistle_to_gospel,1Cor 11:25,Luke 22:19,4,high
epistle_to_gospel,1Cor 14:21,Luke 21:21-24,4,high
epistle_to_gospel,1Cor 14:21,Luke 21:22-24,4,high
epistle_to_gospel,1Cor 14:21,Luke 21:22-25,4,high
epistle_to_gospel,1Cor 14:21,Luke 21:23-24,4,high
epistle_to_gospel,1Cor 14:21,Luke 21:23-25,4,high
epistle_to_gospel,1Cor 14:21,Luke 21:23-26,4,high
epistle_to_gospel,1Cor 14:23,Matt 22:34-37,4,low
epistle_to_gospel,1Cor 14:36,John 10:32-35,4,low
epistle_to_gospel,1Cor 14:36,John 10:33-35,4,low
epistle_to_gospel,1Cor 14:36,John 10:33-36,4,low
epistle_to_gospel,1Cor 14:36,John 10:34-35,4,low
epistle_to_gospel,1Cor 14:36,John 10:34-36,4,low
epistle_to_gospel,1Cor 14:36,John 10:34-37,4,low
epistle_to_gospel,1Cor 14:36,John 10:35,4,low
epistle_to_gospel,1Cor 14:36,John 10:35-36,4,low
epistle_to_gospel,1Cor 14:36,John 10:35-37,4,low
epistle_to_gospel,1Cor 14:36,John 10:35-38,4,low
epistle_to_gospel,1Cor 14:36,Luke 8:10-11,4,high
epistle_to_gospel,1Cor 14:36,Luke 8:10-12,4,high
epistle_to_gospel,1Cor 14:36,Luke 8:10-13,4,high
epistle_to_gospel,1Cor 14:36,Luke 8:11,4,high
epistle_to_gospel,1Cor 14:36,Luke 8:11-12,4,high
epistle_to_gospel,1Cor 14:36,Luke 8:11-13,4,high
