source_ref,target_ref,rank,score
Mark 1:1,Matt 1:1,1,0.21336814761161804
Mark 1:1,Matt 24:8,2,0.17509403824806213
Mark 1:1,Matt 1:18,3,0.1451064795255661
Mark 1:1,Matt 22:42,4,0.14165572822093964
Mark 1:1,Matt 11:2,5,0.12880103290081024
Mark 1:1,Matt 27:22,6,0.12242148071527481
Mark 1:1,Matt 16:16,7,0.12170520424842834
Mark 1:1,Matt 11:10,8,0.1196853369474411
Mark 1:1,Matt 2:4,9,0.1190500408411026
Mark 1:1,Matt 26:6,10,0.11563731729984283
Mark 1:1,Matt 26:63,11,0.11328019946813583
Mark 1:1,Matt 11:9,12,0.11276473850011826
Mark 1:1,Matt 26:68,13,0.11235503852367401
Mark 1:1,Matt 1:16,14,0.11188584566116333
Mark 1:1,Matt 27:58,15,0.10535310953855515
Mark 1:1,Matt 15:1,16,0.10486315190792084
Mark 1:1,Matt 27:17,17,0.10250688344240189
Mark 1:1,Matt 22:41,18,0.10176349431276321
Mark 1:1,Matt 14:1,19,0.10060035437345505
Mark 1:1,Matt 1:17,20,0.09754723310470581
Mark 1:2,Matt 11:10,1,0.4710872173309326
Mark 1:2,Matt 3:3,2,0.30091673135757446
Mark 1:2,Matt 3:2,3,0.17139199376106262
Mark 1:2,Matt 13:4,4,0.1676712930202484
Mark 1:2,Matt 11:11,5,0.1621256023645401
Mark 1:2,Matt 11:9,6,0.1584099978208542
Mark 1:2,Matt 5:12,7,0.146344855427742
Mark 1:2,Matt 7:4,8,0.14618787169456482
Mark 1:2,Matt 22:16,9,0.14483371376991272
Mark 1:2,Matt 3:17,10,0.13632676005363464
Mark 1:2,Matt 18:10,11,0.13414950668811798
Mark 1:2,Matt 6:17,12,0.1341300755739212
Mark 1:2,Matt 6:8,13,0.12795573472976685
Mark 1:2,Matt 2:5,14,0.12780141830444336
Mark 1:2,Matt 23:34,15,0.12554535269737244
Mark 1:2,Matt 12:2,16,0.12542882561683655
Mark 1:2,Matt 2:19,17,0.12395207583904266
Mark 1:2,Matt 13:19,18,0.12219961732625961
Mark 1:2,Matt 20:30,19,0.12201915681362152
Mark 1:2,Matt 6:4,20,0.12105727195739746
Mark 1:3,Matt 3:3,1,0.6686837673187256
Mark 1:3,Matt 3:1,2,0.2102201282978058
Mark 1:3,Matt 3:4,3,0.1987428367137909
Mark 1:3,Matt 11:11,4,0.19287775456905365
Mark 1:3,Matt 11:10,5,0.1887388825416565
Mark 1:3,Matt 3:2,6,0.17491032183170319
Mark 1:3,Matt 24:26,7,0.1704721450805664
Mark 1:3,Matt 13:4,8,0.16322949528694153
Mark 1:3,Matt 24:48,9,0.15030688047409058
Mark 1:3,Matt 13:19,10,0.14751023054122925
Mark 1:3,Matt 20:17,11,0.1440022587776184
Mark 1:3,Matt 12:19,12,0.1396341770887375
Mark 1:3,Matt 1:24,13,0.13239291310310364
Mark 1:3,Matt 14:10,14,0.1301746666431427
Mark 1:3,Matt 24:46,15,0.12997525930404663
Mark 1:3,Matt 3:17,16,0.12978792190551758
Mark 1:3,Matt 26:19,17,0.1294725388288498
Mark 1:3,Matt 8:6,18,0.12509861588478088
Mark 1:3,Matt 7:21,19,0.12327499687671661
Mark 1:3,Matt 24:16,20,0.12301433086395264
Mark 1:4,Matt 3:1,1,0.29156258702278137
Mark 1:4,Matt 3:3,2,0.27918922901153564
Mark 1:4,Matt 3:6,3,0.25556617975234985
Mark 1:4,Matt 3:4,4,0.2100619226694107
Mark 1:4,Matt 26:28,5,0.20683042705059052
Mark 1:4,Matt 24:26,6,0.1715434491634369
Mark 1:4,Matt 14:10,7,0.16327613592147827
Mark 1:4,Matt 10:27,8,0.14971357583999634
Mark 1:4,Matt 3:13,9,0.14519791305065155
Mark 1:4,Matt 3:14,10,0.1358155906200409
Mark 1:4,Matt 3:11,11,0.13477851450443268
Mark 1:4,Matt 11:1,12,0.13384410738945007
Mark 1:4,Matt 20:17,13,0.13260798156261444
Mark 1:4,Matt 3:5,14,0.13019685447216034
Mark 1:4,Matt 26:5,15,0.12595602869987488
Mark 1:4,Matt 11:2,16,0.12436200678348541
Mark 1:4,Matt 4:1,17,0.12367568910121918
Mark 1:4,Matt 4:12,18,0.12235071510076523
Mark 1:4,Matt 17:22,19,0.12153241783380508
Mark 1:4,Matt 11:7,20,0.12122253328561783
Mark 1:5,Matt 3:6,1,0.5464893579483032
Mark 1:5,Matt 3:5,2,0.4270162582397461
Mark 1:5,Matt 3:13,3,0.21283429861068726
Mark 1:5,Matt 3:4,4,0.19257912039756775
Mark 1:5,Matt 3:3,5,0.1786384880542755
Mark 1:5,Matt 3:14,6,0.17211702466011047
Mark 1:5,Matt 3:7,7,0.16258813440799713
Mark 1:5,Matt 27:12,8,0.1545858532190323
Mark 1:5,Matt 23:20,9,0.15007081627845764
Mark 1:5,Matt 23:21,10,0.14867974817752838
Mark 1:5,Matt 4:25,11,0.14748439192771912
Mark 1:5,Matt 21:14,12,0.14334046840667725
Mark 1:5,Matt 3:1,13,0.14265647530555725
Mark 1:5,Matt 4:23,14,0.14256533980369568
Mark 1:5,Matt 8:34,15,0.13768450915813446
Mark 1:5,Matt 13:56,16,0.13587801158428192
Mark 1:5,Matt 21:45,17,0.13560330867767334
Mark 1:5,Matt 14:11,18,0.13382737338542938
Mark 1:5,Matt 13:2,19,0.13375115394592285
Mark 1:5,Matt 13:54,20,0.1333792507648468
Mark 1:6,Matt 3:4,1,0.5139658451080322
Mark 1:6,Matt 3:5,2,0.17619413137435913
Mark 1:6,Matt 3:3,3,0.1714196801185608
Mark 1:6,Matt 3:6,4,0.16735319793224335
Mark 1:6,Matt 3:7,5,0.15320001542568207
Mark 1:6,Matt 27:31,6,0.14018023014068604
Mark 1:6,Matt 10:38,7,0.1357661634683609
Mark 1:6,Matt 21:45,8,0.12646879255771637
Mark 1:6,Matt 17:1,9,0.1258336305618286
Mark 1:6,Matt 17:13,10,0.12135069072246552
Mark 1:6,Matt 19:5,11,0.11949612945318222
Mark 1:6,Matt 14:2,12,0.1190796047449112
Mark 1:6,Matt 3:14,13,0.11705224215984344
Mark 1:6,Matt 20:9,14,0.11609359085559845
Mark 1:6,Matt 13:55,15,0.11575902253389359
Mark 1:6,Matt 7:27,16,0.11435699462890625
Mark 1:6,Matt 10:2,17,0.11387580633163452
Mark 1:6,Matt 18:25,18,0.11332868784666061
Mark 1:6,Matt 3:11,19,0.11331968754529953
Mark 1:6,Matt 8:15,20,0.1121404767036438
Mark 1:7,Matt 3:11,1,0.3743659257888794
Mark 1:7,Matt 10:38,2,0.24478067457675934
Mark 1:7,Matt 16:24,3,0.20394191145896912
Mark 1:7,Matt 8:8,4,0.19896464049816132
Mark 1:7,Matt 16:23,5,0.19014763832092285
Mark 1:7,Matt 3:4,6,0.1777959018945694
Mark 1:7,Matt 3:5,7,0.17018136382102966
Mark 1:7,Matt 4:19,8,0.16196087002754211
Mark 1:7,Matt 12:48,9,0.152669757604599
Mark 1:7,Matt 8:7,10,0.15061725676059723
Mark 1:7,Matt 24:5,11,0.14847782254219055
