source_ref,target_ref,rank,score
Matt 1:1,Mark 1:1,1,0.21336814761161804
Matt 1:1,Mark 12:35,2,0.17434367537498474
Matt 1:1,Mark 10:47,3,0.15915238857269287
Matt 1:1,Mark 10:48,4,0.12939314544200897
Matt 1:1,Mark 12:26,5,0.12848107516765594
Matt 1:1,Mark 12:37,6,0.11288273334503174
Matt 1:1,Mark 12:36,7,0.0911644995212555
Matt 1:1,Mark 14:61,8,0.08316042274236679
Matt 1:1,Mark 11:10,9,0.08199442923069
Matt 1:1,Mark 2:25,10,0.07789674401283264
Matt 1:1,Mark 5:7,11,0.07653592526912689
Matt 1:1,Mark 12:6,12,0.07431549578905106
Matt 1:1,Mark 9:41,13,0.06856037676334381
Matt 1:1,Mark 14:62,14,0.06745129823684692
Matt 1:1,Mark 9:4,15,0.066097691655159
Matt 1:1,Mark 8:29,16,0.06407441198825836
Matt 1:1,Mark 5:27,17,0.0633983314037323
Matt 1:1,Mark 14:67,18,0.06313227117061615
Matt 1:1,Mark 14:55,19,0.06113222986459732
Matt 1:1,Mark 12:34,20,0.060651615262031555
Matt 1:2,Mark 12:26,1,0.17775201797485352
Matt 1:2,Mark 3:19,2,0.12338203936815262
Matt 1:2,Mark 14:10,3,0.11632455885410309
Matt 1:2,Mark 6:3,4,0.11122477054595947
Matt 1:2,Mark 8:28,5,0.11043357849121094
Matt 1:2,Mark 1:19,6,0.10968807339668274
Matt 1:2,Mark 12:16,7,0.10848697274923325
Matt 1:2,Mark 3:34,8,0.10771743953227997
Matt 1:2,Mark 3:33,9,0.10662190616130829
Matt 1:2,Mark 5:40,10,0.10630620270967484
Matt 1:2,Mark 5:37,11,0.10453597456216812
Matt 1:2,Mark 14:47,12,0.10148538649082184
Matt 1:2,Mark 14:46,13,0.10104531049728394
Matt 1:2,Mark 3:17,14,0.1006985604763031
Matt 1:2,Mark 9:27,15,0.1002640426158905
Matt 1:2,Mark 3:31,16,0.09815679490566254
Matt 1:2,Mark 6:17,17,0.09570257365703583
Matt 1:2,Mark 15:15,18,0.09493834525346756
Matt 1:2,Mark 10:50,19,0.09490270167589188
Matt 1:2,Mark 1:32,20,0.0948706567287445
Matt 1:3,Mark 7:29,1,0.10566442459821701
Matt 1:3,Mark 7:26,2,0.10563255846500397
Matt 1:3,Mark 16:3,3,0.10218027979135513
Matt 1:3,Mark 14:62,4,0.1015026643872261
Matt 1:3,Mark 14:10,5,0.10049726068973541
Matt 1:3,Mark 3:19,6,0.09646183252334595
Matt 1:3,Mark 8:28,7,0.09593801200389862
Matt 1:3,Mark 7:20,8,0.09429490566253662
Matt 1:3,Mark 12:16,9,0.09361113607883453
Matt 1:3,Mark 9:21,10,0.09349345415830612
Matt 1:3,Mark 12:44,11,0.09107600152492523
Matt 1:3,Mark 9:10,12,0.09051938354969025
Matt 1:3,Mark 11:8,13,0.08808213472366333
Matt 1:3,Mark 7:21,14,0.0863742083311081
Matt 1:3,Mark 15:15,15,0.08635848760604858
Matt 1:3,Mark 7:28,16,0.0849829912185669
Matt 1:3,Mark 1:29,17,0.08479855954647064
Matt 1:3,Mark 9:27,18,0.08451353013515472
Matt 1:3,Mark 6:3,19,0.08368004113435745
Matt 1:3,Mark 14:47,20,0.08257497102022171
Matt 1:4,Mark 8:28,1,0.08845922350883484
Matt 1:4,Mark 15:11,2,0.08324882388114929
Matt 1:4,Mark 12:16,3,0.07979057729244232
Matt 1:4,Mark 7:20,4,0.07939209043979645
Matt 1:4,Mark 10:50,5,0.07422327250242233
Matt 1:4,Mark 15:14,6,0.07140205055475235
Matt 1:4,Mark 14:21,7,0.07119912654161453
Matt 1:4,Mark 15:15,8,0.07078911364078522
Matt 1:4,Mark 15:9,9,0.06988716870546341
Matt 1:4,Mark 10:39,10,0.06981643289327621
Matt 1:4,Mark 12:44,11,0.06906577199697495
Matt 1:4,Mark 15:12,12,0.0680476650595665
Matt 1:4,Mark 15:5,13,0.06800970435142517
Matt 1:4,Mark 14:62,14,0.06622066348791122
Matt 1:4,Mark 5:36,15,0.06503117084503174
Matt 1:4,Mark 6:15,16,0.06462399661540985
Matt 1:4,Mark 10:24,17,0.0644666999578476
Matt 1:4,Mark 14:46,18,0.06425770372152328
Matt 1:4,Mark 4:15,19,0.06421232223510742
Matt 1:4,Mark 15:13,20,0.0638827532529831
Matt 1:5,Mark 12:44,1,0.12084545195102692
Matt 1:5,Mark 7:20,2,0.10289911925792694
Matt 1:5,Mark 16:3,3,0.09997439384460449
Matt 1:5,Mark 7:26,4,0.09929701685905457
Matt 1:5,Mark 14:62,5,0.09705562889575958
