block_id,mark_span_refs,matt_span_refs,pair_count,mean_score
1,Mark 1:3–Mark 1:12,Matt 3:3–Matt 4:1,7,0.486757
2,Mark 1:14–Mark 1:20,Matt 4:12–Matt 4:22,7,0.532868
3,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,1,0.708926
4,Mark 1:40–Mark 1:44,Matt 8:2–Matt 8:4,3,0.546984
5,Mark 2:5–Mark 2:22,Matt 9:2–Matt 9:17,14,0.575047
6,Mark 2:23–Mark 3:7,Matt 12:1–Matt 12:15,12,0.45815
7,Mark 3:12–Mark 3:12,Matt 12:16–Matt 12:16,1,0.590689
8,Mark 3:22–Mark 3:28,Matt 12:24–Matt 12:31,5,0.38903
9,Mark 3:31–Mark 4:20,Matt 12:46–Matt 13:23,20,0.551923
10,Mark 4:31–Mark 4:34,Matt 13:31–Matt 13:34,3,0.333697
11,Mark 6:2–Mark 6:5,Matt 13:54–Matt 13:58,4,0.455579
12,Mark 6:14–Mark 7:29,Matt 14:2–Matt 15:28,45,0.459911
13,Mark 8:2–Mark 8:20,Matt 15:32–Matt 16:10,15,0.418462
14,Mark 8:27–Mark 9:13,Matt 16:13–Matt 17:12,22,0.536989
15,Mark 9:18–Mark 9:19,Matt 17:16–Matt 17:17,2,0.44649
16,Mark 9:28–Mark 9:31,Matt 17:19–Matt 17:22,2,0.375237
17,Mark 9:36–Mark 9:37,Matt 18:2–Matt 18:5,2,0.500436
18,Mark 9:42–Mark 9:47,Matt 18:6–Matt 18:9,3,0.536555
19,Mark 10:1–Mark 10:31,Matt 19:1–Matt 19:30,23,0.486702
20,Mark 10:32–Mark 12:12,Matt 20:17–Matt 21:46,45,0.516122
21,Mark 12:13–Mark 12:39,Matt 22:15–Matt 23:6,21,0.504443
22,Mark 13:1–Mark 13:8,Matt 24:1–Matt 24:7,7,0.596822
23,Mark 13:13–Mark 13:35,Matt 24:13–Matt 24:42,20,0.674305
24,Mark 13:37–Mark 13:37,Matt 25:12–Matt 25:12,1,0.267811
25,Mark 14:1–Mark 15:1,Matt 26:4–Matt 27:2,62,0.54358
26,Mark 15:2–Mark 16:1,Matt 27:11–Matt 28:1,37,0.450344
27,Mark 16:6–Mark 16:7,Matt 28:6–Matt 28:7,2,0.442073
