block_id,mark_span_refs,matt_span_refs,pair_count,mean_score
1,Mark 1:3–Mark 1:5,Matt 3:3–Matt 3:6,2,0.607587
2,Mark 1:8–Mark 1:12,Matt 3:11–Matt 4:1,5,0.438425
3,Mark 1:14–Mark 1:14,Matt 4:12–Matt 4:12,1,0.307655
4,Mark 1:15–Mark 1:20,Matt 4:17–Matt 4:22,6,0.570403
5,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,1,0.708926
6,Mark 1:40–Mark 1:44,Matt 8:2–Matt 8:4,3,0.546984
7,Mark 2:5–Mark 2:22,Matt 9:2–Matt 9:17,14,0.575047
8,Mark 2:23–Mark 3:7,Matt 12:1–Matt 12:15,12,0.45815
9,Mark 3:12–Mark 3:12,Matt 12:16–Matt 12:16,1,0.590689
10,Mark 3:22–Mark 3:28,Matt 12:24–Matt 12:31,5,0.38903
11,Mark 3:31–Mark 4:12,Matt 12:46–Matt 13:14,15,0.558499
12,Mark 4:15–Mark 4:20,Matt 13:19–Matt 13:23,5,0.532197
13,Mark 4:31–Mark 4:34,Matt 13:31–Matt 13:34,3,0.333697
14,Mark 6:2–Mark 6:5,Matt 13:54–Matt 13:58,4,0.455579
15,Mark 6:14–Mark 6:50,Matt 14:2–Matt 14:27,24,0.465891
16,Mark 6:51–Mark 7:1,Matt 14:32–Matt 15:1,5,0.435371
17,Mark 7:5–Mark 7:5,Matt 15:2–Matt 15:2,1,0.415358
18,Mark 7:9–Mark 7:13,Matt 15:3–Matt 15:6,4,0.606162
19,Mark 7:14–Mark 7:15,Matt 15:10–Matt 15:11,2,0.470448
20,Mark 7:18–Mark 7:24,Matt 15:16–Matt 15:21,6,0.36354
21,Mark 7:27–Mark 7:29,Matt 15:26–Matt 15:28,3,0.458534
22,Mark 8:2–Mark 8:20,Matt 15:32–Matt 16:10,15,0.418462
23,Mark 8:27–Mark 8:29,Matt 16:13–Matt 16:15,3,0.510835
24,Mark 8:30–Mark 9:13,Matt 16:20–Matt 17:12,19,0.541118
25,Mark 9:18–Mark 9:19,Matt 17:16–Matt 17:17,2,0.44649
26,Mark 9:28–Mark 9:31,Matt 17:19–Matt 17:22,2,0.375237
27,Mark 9:36–Mark 9:37,Matt 18:2–Matt 18:5,2,0.500436
28,Mark 9:42–Mark 9:47,Matt 18:6–Matt 18:9,3,0.536555
29,Mark 10:1–Mark 10:2,Matt 19:1–Matt 19:3,2,0.34991
30,Mark 10:6–Mark 10:12,Matt 19:4–Matt 19:9,5,0.459223
31,Mark 10:13–Mark 10:31,Matt 19:13–Matt 19:30,16,0.512388
32,Mark 10:32–Mark 11:11,Matt 20:17–Matt 21:10,24,0.536707
33,Mark 11:15–Mark 11:17,Matt 21:12–Matt 21:13,2,0.545197
34,Mark 11:19–Mark 11:33,Matt 21:17–Matt 21:27,9,0.473242
35,Mark 12:1–Mark 12:10,Matt 21:33–Matt 21:42,9,0.520021
36,Mark 12:12–Mark 12:12,Matt 21:46–Matt 21:46,1,0.314747
37,Mark 12:13–Mark 12:27,Matt 22:15–Matt 22:32,15,0.496475
38,Mark 12:30–Mark 12:31,Matt 22:37–Matt 22:39,2,0.50868
39,Mark 12:35–Mark 12:37,Matt 22:43–Matt 22:45,3,0.51301
40,Mark 12:39–Mark 12:39,Matt 23:6–Matt 23:6,1,0.589798
41,Mark 13:1–Mark 13:8,Matt 24:1–Matt 24:7,7,0.596822
42,Mark 13:13–Mark 13:23,Matt 24:13–Matt 24:25,11,0.66251
43,Mark 13:24–Mark 13:32,Matt 24:29–Matt 24:36,8,0.736059
44,Mark 13:35–Mark 13:35,Matt 24:42–Matt 24:42,1,0.310014
45,Mark 13:37–Mark 13:37,Matt 25:12–Matt 25:12,1,0.267811
46,Mark 14:1–Mark 14:47,Matt 26:4–Matt 26:51,44,0.580743
47,Mark 14:48–Mark 15:1,Matt 26:55–Matt 27:2,18,0.452735
48,Mark 15:2–Mark 15:47,Matt 27:11–Matt 27:61,36,0.455653
49,Mark 16:1–Mark 16:1,Matt 28:1–Matt 28:1,1,0.259224
50,Mark 16:6–Mark 16:7,Matt 28:6–Matt 28:7,2,0.442073
