rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
1	Mark 1:3	Matt 3:3	0.668684	1	insert		ουτοσ γαρ εστιν ο ρηθεισ δια ησαιου του προφητου λεγοντοσ
1	Mark 1:3	Matt 3:3	0.668684	2	equal	φωνη βοωντοσ εν τη ερημω ετοιμασατε την οδον κυριου ευθειασ ποιειτε τασ τριβουσ αυτου	φωνη βοωντοσ εν τη ερημω ετοιμασατε την οδον κυριου ευθειασ ποιειτε τασ τριβουσ αυτου
2	Mark 1:5	Matt 3:6	0.546489	1	delete	και εξεπορευετο προσ αυτον πασα η ιουδαια χωρα και οι ιεροσολυμιται παντεσ	
2	Mark 1:5	Matt 3:6	0.546489	2	equal	και εβαπτιζοντο	και εβαπτιζοντο
2	Mark 1:5	Matt 3:6	0.546489	3	delete	υπ αυτου	
2	Mark 1:5	Matt 3:6	0.546489	4	equal	εν τω ιορδανη ποταμω	εν τω ιορδανη ποταμω
2	Mark 1:5	Matt 3:6	0.546489	5	insert		υπ αυτου
2	Mark 1:5	Matt 3:6	0.546489	6	equal	εξομολογουμενοι τασ αμαρτιασ αυτων	εξομολογουμενοι τασ αμαρτιασ αυτων
3	Mark 1:8	Matt 3:11	0.384861	1	equal	εγω	εγω
3	Mark 1:8	Matt 3:11	0.384861	2	replace	εβαπτισα	μεν
3	Mark 1:8	Matt 3:11	0.384861	3	equal	υμασ	υμασ
3	Mark 1:8	Matt 3:11	0.384861	4	insert		βαπτιζω εν
3	Mark 1:8	Matt 3:11	0.384861	5	equal	υδατι	υδατι
3	Mark 1:8	Matt 3:11	0.384861	6	insert		εισ μετανοιαν ο δε οπισω μου ερχομενοσ ισχυροτεροσ μου εστιν ου ουκ ειμι ικανοσ τα υποδηματα βαστασαι
3	Mark 1:8	Matt 3:11	0.384861	7	equal	αυτοσ	αυτοσ
3	Mark 1:8	Matt 3:11	0.384861	8	replace	δε	υμασ
3	Mark 1:8	Matt 3:11	0.384861	9	equal	βαπτισει	βαπτισει
3	Mark 1:8	Matt 3:11	0.384861	10	delete	υμασ	
3	Mark 1:8	Matt 3:11	0.384861	11	equal	εν πνευματι αγιω	εν πνευματι αγιω
3	Mark 1:8	Matt 3:11	0.384861	12	insert		και πυρι
4	Mark 1:9	Matt 3:13	0.35187	1	replace	και εγενετο εν εκειναισ ταισ ημεραισ ηλθεν	τοτε παραγινεται ο
4	Mark 1:9	Matt 3:13	0.35187	2	equal	ιησουσ απο	ιησουσ απο
4	Mark 1:9	Matt 3:13	0.35187	3	delete	ναζαρετ	
4	Mark 1:9	Matt 3:13	0.35187	4	equal	τησ γαλιλαιασ	τησ γαλιλαιασ
4	Mark 1:9	Matt 3:13	0.35187	5	replace	και εβαπτισθη εισ	επι
4	Mark 1:9	Matt 3:13	0.35187	6	equal	τον ιορδανην	τον ιορδανην
4	Mark 1:9	Matt 3:13	0.35187	7	replace	υπο ιωαννου	προσ τον ιωαννην του βαπτισθηναι υπ αυτου
5	Mark 1:10	Matt 3:16	0.466859	1	replace	και	βαπτισθεισ δε ο ιησουσ
5	Mark 1:10	Matt 3:16	0.466859	2	equal	ευθυσ	ευθυσ
5	Mark 1:10	Matt 3:16	0.466859	3	replace	αναβαινων εκ	ανεβη απο
5	Mark 1:10	Matt 3:16	0.466859	4	equal	του υδατοσ	του υδατοσ
5	Mark 1:10	Matt 3:16	0.466859	5	insert		και ιδου ηνεωχθησαν οι ουρανοι και
5	Mark 1:10	Matt 3:16	0.466859	6	equal	ειδεν	ειδεν
5	Mark 1:10	Matt 3:16	0.466859	7	delete	σχιζομενουσ τουσ ουρανουσ και το	
5	Mark 1:10	Matt 3:16	0.466859	8	equal	πνευμα	πνευμα
5	Mark 1:10	Matt 3:16	0.466859	9	replace	ωσ	θεου καταβαινον ωσει
5	Mark 1:10	Matt 3:16	0.466859	10	equal	περιστεραν	περιστεραν
5	Mark 1:10	Matt 3:16	0.466859	11	replace	καταβαινον εισ	ερχομενον επ
