book,idx,ref,top_mark_score,top_mark_ref,masked_default_medium,mask_reason_default_medium
Matt,0,Matt 1:1,0.257024,Mark 1:1,False,unmasked
Matt,1,Matt 1:2,0.194176,Mark 12:26,False,unmasked
Matt,2,Matt 1:3,0.112553,Mark 16:3,False,unmasked
Matt,3,Matt 1:4,0.087797,Mark 8:28,False,unmasked
Matt,4,Matt 1:5,0.12008,Mark 12:44,False,unmasked
Matt,5,Matt 1:6,0.157811,Mark 15:9,False,unmasked
Matt,6,Matt 1:7,0.087997,Mark 8:28,False,unmasked
Matt,7,Matt 1:8,0.087797,Mark 8:28,False,unmasked
Matt,8,Matt 1:9,0.087797,Mark 8:28,False,unmasked
Matt,9,Matt 1:10,0.087797,Mark 8:28,False,unmasked
Matt,10,Matt 1:11,0.176091,Mark 6:49,False,unmasked
Matt,11,Matt 1:12,0.097512,Mark 1:14,False,unmasked
Matt,12,Matt 1:13,0.087797,Mark 8:28,False,unmasked
Matt,13,Matt 1:14,0.087797,Mark 8:28,False,unmasked
Matt,14,Matt 1:15,0.088129,Mark 8:28,False,unmasked
Matt,15,Matt 1:16,0.154724,Mark 11:6,False,unmasked
Matt,16,Matt 1:17,0.126638,Mark 3:7,False,unmasked
Matt,17,Matt 1:18,0.168557,Mark 13:17,False,unmasked
Matt,18,Matt 1:19,0.19949,Mark 10:12,False,unmasked
Matt,19,Matt 1:20,0.183708,Mark 12:36,False,unmasked
Matt,20,Matt 1:21,0.193267,Mark 13:13,False,unmasked
Matt,21,Matt 1:22,0.198151,Mark 13:13,False,unmasked
Matt,22,Matt 1:23,0.211039,Mark 15:22,False,unmasked
Matt,23,Matt 1:24,0.199533,Mark 15:45,False,unmasked
Matt,24,Matt 1:25,0.270512,Mark 14:32,False,unmasked
Matt,25,Matt 2:1,0.170902,Mark 1:9,False,unmasked
Matt,26,Matt 2:2,0.300073,Mark 15:2,False,unmasked
Matt,27,Matt 2:3,0.285444,Mark 6:16,False,unmasked
Matt,28,Matt 2:4,0.224592,Mark 14:53,False,unmasked
Matt,29,Matt 2:5,0.248941,Mark 8:28,False,unmasked
Matt,30,Matt 2:6,0.168411,Mark 1:11,False,unmasked
Matt,31,Matt 2:7,0.108858,Mark 2:19,False,unmasked
Matt,32,Matt 2:8,0.172,Mark 5:12,False,unmasked
Matt,33,Matt 2:9,0.2019,Mark 9:1,False,unmasked
Matt,34,Matt 2:10,0.177168,Mark 16:4,False,unmasked
Matt,35,Matt 2:11,0.224617,Mark 5:40,False,unmasked
Matt,36,Matt 2:12,0.208749,Mark 5:1,False,unmasked
Matt,37,Matt 2:13,0.260678,Mark 5:40,False,unmasked
Matt,38,Matt 2:14,0.312989,Mark 5:40,False,unmasked
Matt,39,Matt 2:15,0.170766,Mark 14:62,False,unmasked
Matt,40,Matt 2:16,0.134191,Mark 12:2,False,unmasked
Matt,41,Matt 2:17,0.13589,Mark 2:27,False,unmasked
Matt,42,Matt 2:18,0.164286,Mark 6:19,False,unmasked
Matt,43,Matt 2:19,0.158322,Mark 15:45,False,unmasked
Matt,44,Matt 2:20,0.318209,Mark 5:40,False,unmasked
Matt,45,Matt 2:21,0.328923,Mark 5:40,False,unmasked
Matt,46,Matt 2:22,0.198893,Mark 3:7,False,unmasked
Matt,47,Matt 2:23,0.214613,Mark 8:28,False,unmasked
Matt,48,Matt 3:1,0.318677,Mark 1:4,False,unmasked
Matt,49,Matt 3:2,0.384945,Mark 1:15,True,score_ge_threshold
Matt,50,Matt 3:3,0.791273,Mark 1:3,True,score_ge_threshold
Matt,51,Matt 3:4,0.621095,Mark 1:6,True,score_ge_threshold
Matt,52,Matt 3:5,0.387192,Mark 1:5,True,score_ge_threshold
Matt,53,Matt 3:6,0.586314,Mark 1:5,True,score_ge_threshold
Matt,54,Matt 3:7,0.235357,Mark 8:15,False,unmasked
Matt,55,Matt 3:8,0.131779,Mark 15:12,False,unmasked
Matt,56,Matt 3:9,0.202454,Mark 12:26,False,unmasked
Matt,57,Matt 3:10,0.138058,Mark 9:22,False,unmasked
Matt,58,Matt 3:11,0.388359,Mark 1:8,True,score_ge_threshold
Matt,59,Matt 3:12,0.190028,Mark 9:43,False,unmasked
Matt,60,Matt 3:13,0.390823,Mark 1:9,True,score_ge_threshold
Matt,61,Matt 3:14,0.222018,Mark 2:3,False,unmasked
Matt,62,Matt 3:15,0.263395,Mark 10:14,False,unmasked
Matt,63,Matt 3:16,0.417366,Mark 1:10,True,score_ge_threshold
Matt,64,Matt 3:17,0.66483,Mark 1:11,True,score_ge_threshold
Matt,65,Matt 4:1,0.300292,Mark 1:12,False,unmasked
Matt,66,Matt 4:2,0.176542,Mark 1:13,False,unmasked
Matt,67,Matt 4:3,0.236325,Mark 3:11,False,unmasked
Matt,68,Matt 4:4,0.222566,Mark 10:3,False,unmasked
Matt,69,Matt 4:5,0.198071,Mark 14:16,False,unmasked
Matt,70,Matt 4:6,0.207866,Mark 3:11,False,unmasked
Matt,71,Matt 4:7,0.25045,Mark 12:24,False,unmasked
Matt,72,Matt 4:8,0.253317,Mark 9:2,False,unmasked
Matt,73,Matt 4:9,0.245452,Mark 10:28,False,unmasked
Matt,74,Matt 4:10,0.234857,Mark 10:52,False,unmasked
Matt,75,Matt 4:11,0.290965,Mark 1:31,False,unmasked
Matt,76,Matt 4:12,0.328421,Mark 1:14,False,unmasked
Matt,77,Matt 4:13,0.236591,Mark 9:33,False,unmasked
Matt,78,Matt 4:14,0.183645,Mark 11:16,False,unmasked
Matt,79,Matt 4:15,0.207018,Mark 5:1,False,unmasked
Matt,80,Matt 4:16,0.144889,Mark 16:5,False,unmasked
Matt,81,Matt 4:17,0.303059,Mark 1:15,False,unmasked
Matt,82,Matt 4:18,0.540655,Mark 1:16,True,score_ge_threshold
Matt,83,Matt 4:19,0.75833,Mark 1:17,True,score_ge_threshold
Matt,84,Matt 4:20,0.684421,Mark 1:18,True,score_ge_threshold
Matt,85,Matt 4:21,0.650265,Mark 1:19,True,score_ge_threshold
Matt,86,Matt 4:22,0.344009,Mark 1:18,False,unmasked
Matt,87,Matt 4:23,0.24085,Mark 1:39,False,unmasked
Matt,88,Matt 4:24,0.309683,Mark 1:34,False,unmasked
Matt,89,Matt 4:25,0.382839,Mark 3:8,True,score_ge_threshold
Matt,90,Matt 5:1,0.33013,Mark 3:13,False,unmasked
Matt,91,Matt 5:2,0.318117,Mark 4:2,False,unmasked
Matt,92,Matt 5:3,0.207877,Mark 4:26,False,unmasked
Matt,93,Matt 5:4,0.153257,Mark 5:17,False,unmasked
Matt,94,Matt 5:5,0.163989,Mark 6:53,False,unmasked
Matt,95,Matt 5:6,0.179244,Mark 6:42,False,unmasked
Matt,96,Matt 5:7,0.152094,Mark 10:47,False,unmasked
Matt,97,Matt 5:8,0.167144,Mark 2:12,False,unmasked
Matt,98,Matt 5:9,0.17756,Mark 3:11,False,unmasked
Matt,99,Matt 5:10,0.189431,Mark 4:26,False,unmasked
Matt,100,Matt 5:11,0.16593,Mark 13:4,False,unmasked
Matt,101,Matt 5:12,0.192974,Mark 11:25,False,unmasked
Matt,102,Matt 5:13,0.261686,Mark 9:50,False,unmasked
Matt,103,Matt 5:14,0.173115,Mark 7:18,False,unmasked
Matt,104,Matt 5:15,0.378106,Mark 4:21,True,score_ge_threshold
Matt,105,Matt 5:16,0.216747,Mark 11:25,False,unmasked
Matt,106,Matt 5:17,0.1503,Mark 2:17,False,unmasked
Matt,107,Matt 5:18,0.371865,Mark 13:31,True,score_ge_threshold
Matt,108,Matt 5:19,0.174795,Mark 8:38,False,unmasked
Matt,109,Matt 5:20,0.289877,Mark 10:15,False,unmasked
Matt,110,Matt 5:21,0.24063,Mark 3:29,False,unmasked
Matt,111,Matt 5:22,0.231533,Mark 11:23,False,unmasked
Matt,112,Matt 5:23,0.185584,Mark 6:18,False,unmasked
Matt,113,Matt 5:24,0.188927,Mark 2:11,False,unmasked
Matt,114,Matt 5:25,0.194893,Mark 10:52,False,unmasked
Matt,115,Matt 5:26,0.257931,Mark 10:15,False,unmasked
Matt,116,Matt 5:27,0.197564,Mark 3:21,False,unmasked
Matt,117,Matt 5:28,0.239194,Mark 11:23,False,unmasked
Matt,118,Matt 5:29,0.264338,Mark 9:47,False,unmasked
Matt,119,Matt 5:30,0.226366,Mark 9:43,False,unmasked
