rank_in_chain,matt_unmasked_idx,luke_unmasked_idx,matt_ref,luke_ref,score,lemma_dice,token_dice,bigram_dice,trigram_dice,lcs_len,lcs_ratio,content_dice,matt_variant_note_count,luke_variant_note_count,matt_text,luke_text
1,24,30,Matt 1:25,Luke 1:31,0.420808,0.595489,0.5,0.307692,0.166667,4,0.285714,0.638378,0,0,καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν ⸀υἱόν· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν.,"καὶ ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν."
2,49,135,Matt 3:7,Luke 3:7,0.509213,0.632883,0.52381,0.45,0.421053,10,0.555556,0.630626,0,0,"Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα ⸀αὐτοῦ εἶπεν αὐτοῖς· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;","Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι ὑπʼ αὐτοῦ· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;"
3,51,136,Matt 3:9,Luke 3:8,0.848287,0.806194,0.857143,0.814815,0.769231,22,0.88,0.771011,0,0,"καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.","ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας· καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ."
4,52,137,Matt 3:10,Luke 3:9,0.936615,0.992767,0.977778,0.930233,0.878049,20,0.909091,1.0,0,0,ἤδη ⸀δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,ἤδη δὲ καὶ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.
5,53,144,Matt 3:12,Luke 3:17,0.749568,0.911348,0.901961,0.693878,0.510638,7,0.28,0.905809,0,2,"οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ⸀ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.","οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ ⸀διακαθᾶραι τὴν ἅλωνα αὐτοῦ καὶ ⸀συναγαγεῖν τὸν σῖτον εἰς τὴν ἀποθήκην αὐτοῦ, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ."
6,57,166,Matt 4:2,Luke 4:2,0.338996,0.341471,0.37037,0.08,0.0,2,0.222222,0.331781,0,1,καὶ νηστεύσας ἡμέρας τεσσεράκοντα καὶ νύκτας τεσσεράκοντα ὕστερον ἐπείνασεν.,"ἡμέρας τεσσεράκοντα πειραζόμενος ὑπὸ τοῦ διαβόλου. καὶ οὐκ ἔφαγεν οὐδὲν ἐν ταῖς ἡμέραις ἐκείναις, καὶ συντελεσθεισῶν ⸀αὐτῶν ἐπείνασεν."
7,58,167,Matt 4:3,Luke 4:3,0.572487,0.809288,0.571429,0.30303,0.258065,6,0.352941,0.796709,0,1,"καὶ προσελθὼν ⸂ὁ πειράζων εἶπεν αὐτῷ⸃· Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.","⸂εἶπεν δὲ⸃ αὐτῷ ὁ διάβολος· Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ τῷ λίθῳ τούτῳ ἵνα γένηται ἄρτος."
8,59,168,Matt 4:4,Luke 4:4,0.472079,0.588869,0.514286,0.363636,0.322581,7,0.466667,0.632786,0,3,"ὁ δὲ ἀποκριθεὶς εἶπεν· Γέγραπται· Οὐκ ἐπʼ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ἄνθρωπος, ἀλλʼ ⸀ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ.",καὶ ἀπεκρίθη ⸂πρὸς αὐτὸν ὁ Ἰησοῦς⸃· Γέγραπται ὅτι Οὐκ ἐπʼ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ⸀ἄνθρωπος.
9,60,172,Matt 4:5,Luke 4:9,0.378854,0.43152,0.439024,0.25641,0.162162,5,0.294118,0.42601,0,2,"Τότε παραλαμβάνει αὐτὸν ὁ διάβολος εἰς τὴν ἁγίαν πόλιν, καὶ ⸀ἔστησεν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ,","⸂Ἤγαγεν δὲ⸃ αὐτὸν εἰς Ἰερουσαλὴμ καὶ ⸀ἔστησεν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ, καὶ εἶπεν αὐτῷ· Εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν ἐντεῦθεν κάτω·"
10,61,174,Matt 4:6,Luke 4:11,0.595825,0.599558,0.577778,0.465116,0.439024,11,0.846154,0.609206,0,1,"καὶ λέγει αὐτῷ· Εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν κάτω· γέγραπται γὰρ ὅτι Τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ καὶ ἐπὶ χειρῶν ἀροῦσίν σε, μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.",καὶ ⸀ὅτι Ἐπὶ χειρῶν ἀροῦσίν σε μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.
11,78,227,Matt 5:3,Luke 6:20,0.373554,0.53787,0.424242,0.258065,0.137931,3,0.25,0.438183,0,0,"Μακάριοι οἱ πτωχοὶ τῷ πνεύματι, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.","Καὶ αὐτὸς ἐπάρας τοὺς ὀφθαλμοὺς αὐτοῦ εἰς τοὺς μαθητὰς αὐτοῦ ἔλεγεν· Μακάριοι οἱ πτωχοί, ὅτι ὑμετέρα ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
12,81,228,Matt 5:6,Luke 6:21,0.341208,0.480137,0.363636,0.2,0.111111,3,0.3,0.439533,0,0,"μακάριοι οἱ πεινῶντες καὶ διψῶντες τὴν δικαιοσύνην, ὅτι αὐτοὶ χορτασθήσονται.","μακάριοι οἱ πεινῶντες νῦν, ὅτι χορτασθήσεσθε. μακάριοι οἱ κλαίοντες νῦν, ὅτι γελάσετε."
13,86,229,Matt 5:11,Luke 6:22,0.339832,0.412646,0.439024,0.153846,0.054054,3,0.1875,0.370513,0,0,μακάριοί ἐστε ὅταν ὀνειδίσωσιν ὑμᾶς καὶ διώξωσιν καὶ εἴπωσιν πᾶν ⸀πονηρὸν καθʼ ὑμῶν ψευδόμενοι ἕνεκεν ἐμοῦ.,"Μακάριοί ἐστε ὅταν μισήσωσιν ὑμᾶς οἱ ἄνθρωποι, καὶ ὅταν ἀφορίσωσιν ὑμᾶς καὶ ὀνειδίσωσιν καὶ ἐκβάλωσιν τὸ ὄνομα ὑμῶν ὡς πονηρὸν ἕνεκα τοῦ υἱοῦ τοῦ ἀνθρώπου·"
14,87,230,Matt 5:12,Luke 6:23,0.373106,0.514573,0.355556,0.186047,0.146341,5,0.263158,0.491076,0,1,"χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς· οὕτως γὰρ ἐδίωξαν τοὺς προφήτας τοὺς πρὸ ὑμῶν.","χάρητε ἐν ἐκείνῃ τῇ ἡμέρᾳ καὶ σκιρτήσατε, ἰδοὺ γὰρ ὁ μισθὸς ὑμῶν πολὺς ἐν τῷ οὐρανῷ· κατὰ ⸂τὰ αὐτὰ⸃ γὰρ ἐποίουν τοῖς προφήταις οἱ πατέρες αὐτῶν."
15,115,234,Matt 5:44,Luke 6:27,0.387443,0.47667,0.5,0.230769,0.166667,4,0.285714,0.415525,0,0,"ἐγὼ δὲ λέγω ὑμῖν, ἀγαπᾶτε τοὺς ἐχθροὺς ⸀ὑμῶν καὶ προσεύχεσθε ὑπὲρ ⸀τῶν διωκόντων ὑμᾶς·","Ἀλλὰ ὑμῖν λέγω τοῖς ἀκούουσιν, ἀγαπᾶτε τοὺς ἐχθροὺς ὑμῶν, καλῶς ποιεῖτε τοῖς μισοῦσιν ὑμᾶς,"
16,152,244,Matt 7:1,Luke 6:37,0.342096,0.442842,0.363636,0.2,0.0,2,0.4,0.465296,0,1,"Μὴ κρίνετε, ἵνα μὴ κριθῆτε·","Καὶ μὴ κρίνετε, καὶ οὐ μὴ κριθῆτε· ⸀καὶ μὴ καταδικάζετε, καὶ οὐ μὴ καταδικασθῆτε. ἀπολύετε, καὶ ἀπολυθήσεσθε·"
17,153,248,Matt 7:3,Luke 6:41,0.764073,0.907171,0.930233,0.731707,0.615385,14,0.666667,0.879442,0,0,"τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ ἐν τῷ σῷ ὀφθαλμῷ δοκὸν οὐ κατανοεῖς;","τί δὲ βλέπεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου, τὴν δὲ δοκὸν τὴν ἐν τῷ ἰδίῳ ὀφθαλμῷ οὐ κατανοεῖς;"
18,154,249,Matt 7:4,Luke 6:42,0.536049,0.553395,0.492754,0.358209,0.246154,5,0.227273,0.54057,0,2,"ἢ πῶς ἐρεῖς τῷ ἀδελφῷ σου· Ἄφες ἐκβάλω τὸ κάρφος ⸀ἐκ τοῦ ὀφθαλμοῦ σου, καὶ ἰδοὺ ἡ δοκὸς ἐν τῷ ὀφθαλμῷ σοῦ;","⸀πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου· Ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σοῦ δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σοῦ, καὶ τότε διαβλέψεις ⸂τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν⸃."
19,168,250,Matt 7:18,Luke 6:43,0.435015,0.721566,0.357143,0.076923,0.0,2,0.153846,0.719523,0,1,"οὐ δύναται δένδρον ἀγαθὸν καρποὺς πονηροὺς ⸀ποιεῖν, οὐδὲ δένδρον σαπρὸν καρποὺς καλοὺς ποιεῖν.","Οὐ γάρ ἐστιν δένδρον καλὸν ποιοῦν καρπὸν σαπρόν, οὐδὲ ⸀πάλιν δένδρον σαπρὸν ποιοῦν καρπὸν καλόν."
20,183,263,Matt 8:8,Luke 7:7,0.427947,0.354839,0.358974,0.216216,0.114286,3,0.2,0.306424,0,1,"⸂καὶ ἀποκριθεὶς⸃ ὁ ἑκατόνταρχος ἔφη· Κύριε, οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς· ἀλλὰ μόνον εἰπὲ λόγῳ, καὶ ἰαθήσεται ὁ παῖς μου·","διὸ οὐδὲ ἐμαυτὸν ἠξίωσα πρὸς σὲ ἐλθεῖν· ἀλλὰ εἰπὲ λόγῳ, καὶ ⸀ἰαθήτω ὁ παῖς μου·"
21,184,264,Matt 8:9,Luke 7:8,0.869664,0.962809,0.983607,0.949153,0.912281,23,0.766667,0.952704,0,0,"καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ⸀ἐξουσίαν, ἔχων ὑπʼ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· Πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· Ἔρχου, καὶ ἔρχεται, καὶ τῷ δούλῳ μου· Ποίησον τοῦτο, καὶ ποιεῖ.","καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν τασσόμενος, ἔχων ὑπʼ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· Πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· Ἔρχου, καὶ ἔρχεται, καὶ τῷ δούλῳ μου· Ποίησον τοῦτο, καὶ ποιεῖ."
22,185,265,Matt 8:10,Luke 7:9,0.655418,0.757172,0.697674,0.341463,0.102564,3,0.15,0.773755,0,1,"ἀκούσας δὲ ὁ Ἰησοῦς ἐθαύμασεν καὶ εἶπεν τοῖς ἀκολουθοῦσιν· Ἀμὴν λέγω ὑμῖν, ⸂παρʼ οὐδενὶ τοσαύτην πίστιν ἐν τῷ Ἰσραὴλ⸃ εὗρον.","ἀκούσας δὲ ταῦτα ὁ Ἰησοῦς ἐθαύμασεν αὐτόν, καὶ στραφεὶς τῷ ἀκολουθοῦντι αὐτῷ ὄχλῳ εἶπεν· Λέγω ὑμῖν, ⸀οὐδὲ ἐν τῷ Ἰσραὴλ τοσαύτην πίστιν εὗρον."
23,248,275,Matt 11:3,Luke 7:19,0.519428,0.629453,0.571429,0.421053,0.352941,5,0.555556,0.490387,0,2,εἶπεν αὐτῷ· Σὺ εἶ ὁ ἐρχόμενος ἢ ἕτερον προσδοκῶμεν;,ἔπεμψεν πρὸς τὸν ⸀κύριον λέγων· Σὺ εἶ ὁ ἐρχόμενος ἢ ⸀ἄλλον προσδοκῶμεν;
24,249,278,Matt 11:5,Luke 7:22,0.700909,0.802446,0.717949,0.378378,0.114286,4,0.25,0.808889,0,3,"τυφλοὶ ἀναβλέπουσιν καὶ χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται καὶ κωφοὶ ἀκούουσιν, ⸀καὶ νεκροὶ ἐγείρονται καὶ πτωχοὶ εὐαγγελίζονται·","καὶ ⸀ἀποκριθεὶς εἶπεν αὐτοῖς· Πορευθέντες ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε· ⸀τυφλοὶ ἀναβλέπουσιν, χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται, ⸀κωφοὶ ἀκούουσιν, νεκροὶ ἐγείρονται, πτωχοὶ εὐαγγελίζονται·"
25,250,279,Matt 11:6,Luke 7:23,0.943357,1.0,1.0,1.0,1.0,9,1.0,1.0,0,0,καὶ μακάριός ἐστιν ὃς ⸀ἐὰν μὴ σκανδαλισθῇ ἐν ἐμοί.,καὶ μακάριός ἐστιν ὃς ἐὰν μὴ σκανδαλισθῇ ἐν ἐμοί.
