source_book,source_ref,source_idx,target_book,target_ref_window,target_start_idx,target_window_n_verses,score,cheap_score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens
Mark,Mark 1:1,1,Luke,Luke 23:42-23:42,1082,1,0.1458,0.092,0.1429,0.1429,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:1,1,Luke,Luke 18:38-18:38,832,1,0.1457,0.0918,0.1429,0.1429,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:1,1,Luke,Luke 3:29-3:29,161,1,0.1451,0.0906,0.1429,0.1429,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:1,1,Luke,Luke 23:52-23:52,1092,1,0.1381,0.0804,0.125,0.125,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:1,1,Luke,Luke 17:13-17:13,771,1,0.132,0.0712,0.1111,0.1111,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:2,2,Luke,Luke 7:27-7:27,329,1,0.6372,0.6177,0.6,0.6,0.6364,0.6,9,0.75,8,ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον,9,αγγελον αποστελλω γεγραπται ιδου κατασκευασει οδον οσ προ προσωπου
Mark,Mark 1:2,2,Luke,Luke 7:26-7:27,328,2,0.5048,0.4313,0.3913,0.4762,0.4667,0.4286,9,0.75,8,ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον,9,αγγελον αποστελλω γεγραπται ιδου κατασκευασει οδον οσ προ προσωπου
Mark,Mark 1:2,2,Luke,Luke 7:27-7:28,329,2,0.4792,0.3996,0.3913,0.3913,0.4242,0.3871,9,0.75,8,ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον,9,αγγελον αποστελλω γεγραπται ιδου κατασκευασει οδον οσ προ προσωπου
Mark,Mark 1:2,2,Luke,Luke 7:26-7:28,328,3,0.422,0.3199,0.3,0.3571,0.3415,0.3077,9,0.75,8,ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον,9,αγγελον αποστελλω γεγραπται ιδου κατασκευασει οδον οσ προ προσωπου
Mark,Mark 1:2,2,Luke,Luke 7:27-7:29,329,3,0.4064,0.3012,0.2903,0.2903,0.3333,0.3,9,0.75,8,ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον,9,αγγελον αποστελλω γεγραπται ιδου κατασκευασει οδον οσ προ προσωπου
Mark,Mark 1:3,3,Luke,Luke 3:4-3:4,136,1,0.7358,0.6422,0.6,0.6,0.7273,0.7,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη
Mark,Mark 1:3,3,Luke,Luke 3:3-3:4,135,2,0.5544,0.4,0.36,0.36,0.4848,0.4516,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη
Mark,Mark 1:3,3,Luke,Luke 3:4-3:5,136,2,0.5258,0.3609,0.3214,0.3333,0.4444,0.4118,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη
Mark,Mark 1:3,3,Luke,Luke 3:4-3:6,136,3,0.4982,0.3244,0.2903,0.3,0.4,0.3684,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη
Mark,Mark 1:3,3,Luke,Luke 3:2-3:4,134,3,0.4842,0.3069,0.2727,0.2727,0.381,0.35,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη
Mark,Mark 1:4,4,Luke,Luke 3:3-3:3,135,1,0.4955,0.4631,0.4286,0.4286,0.5263,0.4706,6,0.6,6,κηρυσσων βαπτισμα μετανοιασ εισ αφεσιν αμαρτιων,6,αμαρτιων αφεσιν βαπτισμα εισ κηρυσσων μετανοιασ
Mark,Mark 1:4,4,Luke,Luke 3:2-3:3,134,2,0.4527,0.3664,0.381,0.381,0.3571,0.3077,8,0.8,6,κηρυσσων βαπτισμα μετανοιασ εισ αφεσιν αμαρτιων,8,αμαρτιων αφεσιν βαπτισμα εγενετο εισ ερημω κηρυσσων μετανοιασ
Mark,Mark 1:4,4,Luke,Luke 3:3-3:4,135,2,0.3463,0.2615,0.25,0.25,0.2941,0.25,6,0.6,6,κηρυσσων βαπτισμα μετανοιασ εισ αφεσιν αμαρτιων,7,αμαρτιων αφεσιν βαπτισμα εισ ερημω κηρυσσων μετανοιασ
Mark,Mark 1:4,4,Luke,Luke 3:2-3:4,134,3,0.3483,0.2247,0.2286,0.2286,0.2326,0.1951,8,0.8,6,κηρυσσων βαπτισμα μετανοιασ εισ αφεσιν αμαρτιων,8,αμαρτιων αφεσιν βαπτισμα εγενετο εισ ερημω κηρυσσων μετανοιασ
Mark,Mark 1:4,4,Luke,Luke 3:1-3:3,133,3,0.319,0.1847,0.1951,0.1951,0.1852,0.1538,8,0.8,6,κηρυσσων βαπτισμα μετανοιασ εισ αφεσιν αμαρτιων,8,αμαρτιων αφεσιν βαπτισμα εγενετο εισ ερημω κηρυσσων μετανοιασ
