source_book,source_ref,source_idx,target_book,target_ref_window,target_start_idx,target_window_n_verses,score,cheap_score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens
Luke,Luke 1:1,1,Mark,Mark 10:31-10:31,401,1,0.0851,0.0675,0.1,0.1,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,Mark,Mark 5:9-5:9,158,1,0.0721,0.0561,0.0833,0.0833,0.0,0.0,1,0.1429,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,Mark,Mark 14:56-14:56,591,1,0.0779,0.0545,0.0833,0.0833,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,Mark,Mark 13:6-13:6,504,1,0.0693,0.0513,0.0769,0.0769,0.0,0.0,1,0.1429,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,Mark,Mark 11:8-11:8,430,1,0.0648,0.0436,0.0667,0.0667,0.0,0.0,1,0.1429,1,πολλοι,1,πολλοι
Luke,Luke 1:2,2,Mark,Mark 13:19-13:19,517,1,0.1237,0.0852,0.0952,0.0952,0.0952,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,Mark,Mark 13:18-13:19,516,2,0.1176,0.0763,0.087,0.087,0.0833,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,Mark,Mark 13:17-13:19,515,3,0.1041,0.0572,0.0667,0.0667,0.0606,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,Mark,Mark 1:42-1:42,42,1,0.0862,0.0537,0.0833,0.0833,0.0,0.0,1,0.2,1,απ,1,απ
Luke,Luke 1:2,2,Mark,Mark 10:6-10:6,376,1,0.0762,0.0523,0.0769,0.0769,0.0,0.0,1,0.1667,1,αρχησ,1,αρχησ
Luke,Luke 1:3,3,Mark,Mark 13:37-13:37,535,1,0.0993,0.0552,0.0833,0.0833,0.0,0.0,1,0.25,1,πασιν,1,πασιν
Luke,Luke 1:3,3,Mark,Mark 10:4-10:4,374,1,0.0641,0.043,0.0625,0.0625,0.0,0.0,1,0.1429,1,γραψαι,1,γραψαι
Luke,Luke 1:3,3,Mark,Mark 13:36-13:37,534,2,0.0538,0.0401,0.0588,0.0588,0.0,0.0,1,0.1111,1,πασιν,1,πασιν
Luke,Luke 1:3,3,Mark,Mark 15:38-15:38,644,1,0.0528,0.0383,0.0556,0.0556,0.0,0.0,1,0.1111,1,ανωθεν,1,ανωθεν
Luke,Luke 1:3,3,Mark,Mark 10:3-10:4,373,2,0.049,0.0368,0.0526,0.0526,0.0,0.0,1,0.1,1,γραψαι,1,γραψαι
Luke,Luke 1:4,4,Mark,Mark 12:13-12:13,467,1,0.015,0.016,0.0,0.1,0.0,0.0,0,0.0,0,,0,
Luke,Luke 1:4,4,Mark,Mark 10:22-10:22,392,1,0.015,0.016,0.0,0.1,0.0,0.0,0,0.0,0,,0,
Luke,Luke 1:4,4,Mark,Mark 12:12-12:13,466,2,0.0079,0.0084,0.0,0.0526,0.0,0.0,0,0.0,0,,0,
Luke,Luke 1:4,4,Mark,Mark 10:22-10:23,392,2,0.0071,0.0076,0.0,0.0476,0.0,0.0,0,0.0,0,,0,
Luke,Luke 1:4,4,Mark,Mark 12:11-12:13,465,3,0.0065,0.007,0.0,0.0435,0.0,0.0,0,0.0,0,,0,
Luke,Luke 1:5,5,Mark,Mark 1:9-1:9,9,1,0.1349,0.105,0.1379,0.1379,0.0645,0.0,4,0.3077,2,ταισ ημεραισ,4,εγενετο ημεραισ ταισ τησ
Luke,Luke 1:5,5,Mark,Mark 1:8-1:9,8,2,0.0989,0.0857,0.1111,0.1111,0.0513,0.0,4,0.2,2,ταισ ημεραισ,4,εγενετο ημεραισ ταισ τησ
Luke,Luke 1:5,5,Mark,Mark 13:24-13:24,522,1,0.1136,0.0842,0.1034,0.1071,0.0667,0.0,3,0.25,2,ταισ ημεραισ,3,αυτησ ημεραισ ταισ
