source_book,source_ref,source_idx,target_book,target_ref_window,target_start_idx,target_window_n_verses,score,cheap_score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens
Mark,Mark 1:1,1,John,John 1:2-1:2,2,1,0.161,0.1178,0.1667,0.1667,0.0,0.0,1,0.3333,1,αρχη,1,αρχη
Mark,Mark 1:1,1,John,John 1:1-1:1,1,1,0.1495,0.0967,0.1429,0.1429,0.0,0.0,1,0.3333,1,αρχη,1,αρχη
Mark,Mark 1:1,1,John,John 1:36-1:36,36,1,0.1454,0.0913,0.1429,0.1429,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:1,1,John,John 1:1-1:2,1,2,0.1415,0.0834,0.125,0.125,0.0,0.0,1,0.3333,1,αρχη,1,αρχη
Mark,Mark 1:1,1,John,John 21:21-21:21,874,1,0.1387,0.0817,0.125,0.125,0.0,0.0,1,0.3333,1,ιησου,1,ιησου
Mark,Mark 1:2,2,John,John 1:23-1:23,23,1,0.0742,0.0695,0.1053,0.1053,0.0,0.0,1,0.1111,1,καθωσ,2,καθωσ οδον
Mark,Mark 1:2,2,John,John 1:23-1:24,23,2,0.0609,0.0612,0.0909,0.0909,0.0,0.0,1,0.0833,1,καθωσ,2,καθωσ οδον
Mark,Mark 1:2,2,John,John 12:14-12:15,549,2,0.0657,0.0484,0.0741,0.0741,0.0,0.0,2,0.1667,1,καθωσ,2,ιδου καθωσ
Mark,Mark 1:2,2,John,John 1:22-1:23,22,2,0.0513,0.0456,0.069,0.069,0.0,0.0,1,0.0833,1,καθωσ,2,καθωσ οδον
Mark,Mark 1:2,2,John,John 1:23-1:25,23,3,0.0513,0.0451,0.069,0.069,0.0,0.0,1,0.0833,1,καθωσ,2,καθωσ οδον
Mark,Mark 1:3,3,John,John 1:23-1:23,23,1,0.2925,0.2687,0.2857,0.2857,0.25,0.1429,4,0.4444,3,φωνη βοωντοσ ερημω,4,βοωντοσ ερημω οδον φωνη
Mark,Mark 1:3,3,John,John 1:23-1:24,23,2,0.2595,0.2209,0.2353,0.2353,0.2105,0.1176,4,0.4444,3,φωνη βοωντοσ ερημω,4,βοωντοσ ερημω οδον φωνη
Mark,Mark 1:3,3,John,John 1:22-1:23,22,2,0.2142,0.1569,0.1667,0.1667,0.1538,0.0833,4,0.4444,3,φωνη βοωντοσ ερημω,4,βοωντοσ ερημω οδον φωνη
Mark,Mark 1:3,3,John,John 1:23-1:25,23,3,0.2114,0.1526,0.1667,0.1667,0.1429,0.0769,4,0.4444,3,φωνη βοωντοσ ερημω,4,βοωντοσ ερημω οδον φωνη
Mark,Mark 1:3,3,John,John 1:22-1:24,22,3,0.2018,0.1395,0.1481,0.1481,0.1379,0.0741,4,0.4444,3,φωνη βοωντοσ ερημω,4,βοωντοσ ερημω οδον φωνη
Mark,Mark 1:4,4,John,John 1:28-1:28,28,1,0.1956,0.1637,0.2,0.2,0.125,0.0,3,0.375,2,ιωαννησ βαπτιζων,3,βαπτιζων εγενετο ιωαννησ
Mark,Mark 1:4,4,John,John 3:23-3:25,99,3,0.1459,0.1141,0.1538,0.1538,0.069,0.0,3,0.3,2,ιωαννησ βαπτιζων,4,βαπτιζων εγενετο εισ ιωαννησ
Mark,Mark 1:4,4,John,John 3:23-3:24,99,2,0.1449,0.1131,0.1429,0.1429,0.087,0.0,3,0.3,2,ιωαννησ βαπτιζων,3,βαπτιζων εισ ιωαννησ
