source_book,source_ref,source_idx,target_book,target_ref_window,target_start_idx,target_window_n_verses,score,cheap_score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens
Matt,Matt 1:1,1,John,John 8:58-8:58,394,1,0.0839,0.0672,0.0769,0.1667,0.0,0.0,1,0.1429,1,αβρααμ,1,αβρααμ
Matt,Matt 1:1,1,John,John 1:36-1:36,36,1,0.0935,0.0642,0.1,0.1,0.0,0.0,1,0.2,1,ιησου,1,ιησου
Matt,Matt 1:1,1,John,John 21:21-21:21,874,1,0.0818,0.0601,0.0909,0.0909,0.0,0.0,1,0.1667,1,ιησου,1,ιησου
Matt,Matt 1:1,1,John,John 1:37-1:37,37,1,0.0816,0.0597,0.0909,0.0909,0.0,0.0,1,0.1667,1,ιησου,1,ιησου
Matt,Matt 1:1,1,John,John 12:22-12:22,557,1,0.0754,0.0595,0.0909,0.0909,0.0,0.0,1,0.1429,1,ιησου,1,ιησου
Matt,Matt 1:2,2,John,John 20:17-20:17,839,1,0.1093,0.0913,0.1111,0.1111,0.0741,0.0,2,0.1818,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:2,2,John,John 21:23-21:23,876,1,0.1007,0.0802,0.0909,0.0909,0.0741,0.0,2,0.1818,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:2,2,John,John 21:22-21:23,875,2,0.0956,0.071,0.087,0.087,0.0571,0.0,2,0.1818,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:2,2,John,John 6:70-6:71,282,2,0.0654,0.0655,0.0952,0.0952,0.0,0.0,1,0.0909,1,ιουδαν,2,ιουδαν τουσ
Matt,Matt 1:2,2,John,John 20:16-20:17,838,2,0.0905,0.0638,0.0769,0.0769,0.0556,0.0,2,0.1818,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:3,3,John,John 6:48-6:48,260,1,0.1011,0.054,0.0909,0.0909,0.0,0.0,1,0.25,1,τησ,1,τησ
Matt,Matt 1:3,3,John,John 4:4-4:4,116,1,0.101,0.0538,0.0909,0.0909,0.0,0.0,1,0.25,1,τησ,1,τησ
Matt,Matt 1:3,3,John,John 4:30-4:30,142,1,0.0854,0.05,0.0833,0.0833,0.0,0.0,1,0.2,1,τησ,1,τησ
Matt,Matt 1:3,3,John,John 10:39-10:39,475,1,0.0853,0.0498,0.0833,0.0833,0.0,0.0,1,0.2,1,τησ,1,τησ
Matt,Matt 1:3,3,John,John 18:19-18:19,759,1,0.0853,0.0498,0.0833,0.0833,0.0,0.0,1,0.2,1,τησ,1,τησ
Matt,Matt 1:4,4,John,John 1:1-1:1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:4,4,John,John 1:1-1:2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:4,4,John,John 1:1-1:3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:4,4,John,John 1:1-1:4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:4,4,John,John 1:2-1:2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:5,5,John,John 6:48-6:48,260,1,0.101,0.0535,0.0909,0.0909,0.0,0.0,1,0.25,1,τησ,1,τησ
Matt,Matt 1:5,5,John,John 4:4-4:4,116,1,0.1009,0.0534,0.0909,0.0909,0.0,0.0,1,0.25,1,τησ,1,τησ
Matt,Matt 1:5,5,John,John 4:30-4:30,142,1,0.0853,0.0495,0.0833,0.0833,0.0,0.0,1,0.2,1,τησ,1,τησ
Matt,Matt 1:5,5,John,John 10:39-10:39,475,1,0.0853,0.0494,0.0833,0.0833,0.0,0.0,1,0.2,1,τησ,1,τησ
Matt,Matt 1:5,5,John,John 18:19-18:19,759,1,0.0852,0.0493,0.0833,0.0833,0.0,0.0,1,0.2,1,τησ,1,τησ
Matt,Matt 1:6,6,John,John 7:42-7:42,325,1,0.1064,0.094,0.1429,0.1429,0.0,0.0,2,0.2222,1,δαυιδ,2,δαυιδ τησ
Matt,Matt 1:6,6,John,John 7:42-7:43,325,2,0.0927,0.0724,0.1111,0.1111,0.0,0.0,2,0.2222,1,δαυιδ,2,δαυιδ τησ
Matt,Matt 1:6,6,John,John 7:41-7:42,324,2,0.0904,0.0667,0.1053,0.1053,0.0,0.0,2,0.2222,1,δαυιδ,2,δαυιδ τησ
Matt,Matt 1:6,6,John,John 6:48-6:48,260,1,0.105,0.0606,0.1,0.1,0.0,0.0,1,0.25,1,τησ,1,τησ
Matt,Matt 1:6,6,John,John 4:4-4:4,116,1,0.1049,0.0603,0.1,0.1,0.0,0.0,1,0.25,1,τησ,1,τησ
Matt,Matt 1:7,7,John,John 1:1-1:1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:7,7,John,John 1:1-1:2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:7,7,John,John 1:1-1:3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:7,7,John,John 1:1-1:4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:7,7,John,John 1:2-1:2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:8,8,John,John 1:1-1:1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:8,8,John,John 1:1-1:2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:8,8,John,John 1:1-1:3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:8,8,John,John 1:1-1:4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:8,8,John,John 1:2-1:2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:9,9,John,John 1:1-1:1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:9,9,John,John 1:1-1:2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:9,9,John,John 1:1-1:3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:9,9,John,John 1:1-1:4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:9,9,John,John 1:2-1:2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:10,10,John,John 1:1-1:1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:10,10,John,John 1:1-1:2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:10,10,John,John 1:1-1:3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:10,10,John,John 1:1-1:4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:10,10,John,John 1:2-1:2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0,
Matt,Matt 1:11,11,John,John 20:17-20:17,839,1,0.1255,0.0867,0.1053,0.1053,0.0833,0.0,2,0.25,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:11,11,John,John 21:23-21:23,876,1,0.1178,0.0766,0.087,0.087,0.0833,0.0,2,0.25,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:11,11,John,John 21:22-21:23,875,2,0.112,0.0678,0.0833,0.0833,0.0625,0.0,2,0.25,2,τουσ αδελφουσ,2,αδελφουσ τουσ
Matt,Matt 1:11,11,John,John 20:16-20:17,838,2,0.1072,0.0612,0.0741,0.0741,0.0606,0.0,2,0.25,2,τουσ αδελφουσ,2,αδελφουσ τουσ
