source_book,source_ref,source_idx,target_book,target_ref_window,target_start_idx,target_window_n_verses,score,cheap_score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens
Luke,Luke 1:1,1,John,John 10:42-10:42,478,1,0.1062,0.0646,0.1,0.1,0.0,0.0,1,0.25,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,John,John 8:30-8:30,366,1,0.0898,0.0595,0.0909,0.0909,0.0,0.0,1,0.2,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,John,John 12:11-12:11,546,1,0.078,0.0549,0.0833,0.0833,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,John,John 10:20-10:20,456,1,0.078,0.0548,0.0833,0.0833,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:1,1,John,John 11:45-11:45,523,1,0.065,0.0441,0.0667,0.0667,0.0,0.0,1,0.1429,1,πολλοι,1,πολλοι
Luke,Luke 1:2,2,John,John 15:27-15:27,681,1,0.1707,0.1402,0.1538,0.1538,0.1538,0.0,2,0.2857,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,John,John 15:27-16:1,681,2,0.1431,0.1138,0.125,0.125,0.125,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,John,John 15:26-15:27,680,2,0.115,0.0728,0.0833,0.0833,0.0769,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,John,John 15:26-16:1,680,3,0.1093,0.0647,0.0741,0.0741,0.069,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:2,2,John,John 15:27-16:2,681,3,0.108,0.063,0.0714,0.0714,0.069,0.0,2,0.25,2,απ αρχησ,2,απ αρχησ
Luke,Luke 1:3,3,John,John 3:7-3:7,83,1,0.0819,0.0473,0.0714,0.0714,0.0,0.0,1,0.2,1,ανωθεν,1,ανωθεν
Luke,Luke 1:3,3,John,John 3:31-3:31,107,1,0.0515,0.0393,0.0588,0.0588,0.0,0.0,1,0.1,1,ανωθεν,1,ανωθεν
Luke,Luke 1:3,3,John,John 3:3-3:3,79,1,0.0477,0.0346,0.05,0.05,0.0,0.0,1,0.1,1,ανωθεν,1,ανωθεν
Luke,Luke 1:3,3,John,John 17:6-17:6,720,1,0.0468,0.0332,0.0476,0.0476,0.0,0.0,1,0.1,1,καμοι,1,καμοι
Luke,Luke 1:3,3,John,John 3:6-3:7,82,2,0.0464,0.0321,0.0476,0.0476,0.0,0.0,1,0.1,1,ανωθεν,1,ανωθεν
Luke,Luke 1:4,4,John,John 7:40-7:40,323,1,0.1006,0.0568,0.0833,0.0833,0.0,0.0,1,0.25,1,λογων,1,λογων
Luke,Luke 1:4,4,John,John 7:40-7:41,323,2,0.0896,0.0392,0.0588,0.0588,0.0,0.0,1,0.25,1,λογων,1,λογων
Luke,Luke 1:4,4,John,John 19:13-19:13,793,1,0.0891,0.0391,0.0588,0.0588,0.0,0.0,1,0.25,1,λογων,1,λογων
Luke,Luke 1:4,4,John,John 7:39-7:40,322,2,0.0824,0.0293,0.0435,0.0435,0.0,0.0,1,0.25,1,λογων,1,λογων
Luke,Luke 1:4,4,John,John 7:40-7:42,323,3,0.0824,0.0286,0.0435,0.0435,0.0,0.0,1,0.25,1,λογων,1,λογων
Luke,Luke 1:5,5,John,John 1:6-1:6,6,1,0.1234,0.0818,0.1304,0.1304,0.0,0.0,2,0.3333,1,εγενετο,3,αυτω εγενετο ονομα
Luke,Luke 1:5,5,John,John 1:5-1:6,5,2,0.0845,0.0713,0.1111,0.1111,0.0,0.0,2,0.1818,1,εγενετο,3,αυτω εγενετο ονομα
Luke,Luke 1:5,5,John,John 11:1-11:1,479,1,0.0843,0.0707,0.1111,0.1111,0.0,0.0,2,0.1818,1,τησ,3,αυτησ τησ τισ
Luke,Luke 1:5,5,John,John 1:4-1:6,4,3,0.0699,0.0687,0.1034,0.1034,0.0,0.0,2,0.125,1,εγενετο,3,αυτω εγενετο ονομα
Luke,Luke 1:5,5,John,John 8:24-8:25,360,2,0.0714,0.0678,0.1034,0.1034,0.0,0.0,2,0.1333,1,ταισ,3,αυτω ταισ τισ
Luke,Luke 1:6,6,John,John 1:24-1:24,24,1,0.1196,0.0526,0.0833,0.0833,0.0,0.0,1,0.3333,1,ησαν,1,ησαν
Luke,Luke 1:6,6,John,John 8:24-8:24,360,1,0.0623,0.0487,0.0714,0.0714,0.0,0.0,1,0.125,1,ταισ,1,ταισ
Luke,Luke 1:6,6,John,John 12:20-12:20,555,1,0.0707,0.043,0.0667,0.0667,0.0,0.0,1,0.1667,1,ησαν,1,ησαν
Luke,Luke 1:6,6,John,John 2:6-2:6,57,1,0.0468,0.0331,0.05,0.05,0.0,0.0,1,0.1,1,ησαν,1,ησαν
Luke,Luke 1:6,6,John,John 1:24-1:25,24,2,0.0469,0.033,0.05,0.05,0.0,0.0,1,0.1,1,ησαν,1,ησαν
Luke,Luke 1:7,7,John,John 2:19-2:19,70,1,0.0956,0.077,0.1176,0.1176,0.0,0.0,2,0.2222,1,αυτοισ,2,αυτοισ ημεραισ
Luke,Luke 1:7,7,John,John 8:24-8:25,360,2,0.0683,0.0633,0.1,0.1,0.0,0.0,1,0.1,1,αυτοισ,2,αυτοισ ταισ
Luke,Luke 1:7,7,John,John 8:23-8:24,359,2,0.0832,0.0611,0.1,0.1,0.0,0.0,2,0.2,1,αυτοισ,2,αυτοισ ταισ
Luke,Luke 1:7,7,John,John 1:24-1:24,24,1,0.1199,0.0532,0.0833,0.0833,0.0,0.0,1,0.3333,1,ησαν,1,ησαν
Luke,Luke 1:7,7,John,John 20:19-20:19,841,1,0.0619,0.0519,0.0714,0.1111,0.0,0.0,1,0.1,1,αυτοισ,2,αυτοισ ησαν
