block_id,span_mark,span_luke,pair_count,mean_score,close_pairs,mark_gap_inside_block,luke_gap_inside_block,base_shared_burden,order_retention_signal_paircount_x_mean_score,local_exact_signal_from_prior_ledger,cluster_density_signal_log_paircount_x_mean_score,narrative_bridge_signal_multiverse_sequence,low_gap_continuity_signal
loose_001,Mark 1:3–Mark 1:3,Luke 3:4–Luke 3:4,1,0.7358,1,0,0,1.3415,0.7358,1.3415,0.51,0,0
loose_002,Mark 1:7–Mark 1:11,Luke 3:16–Luke 3:22,2,0.3188,0,3,5,1.64,0.6376,0.3826,0.3502,0,0
loose_003,Mark 1:21–Mark 1:31,Luke 4:31–Luke 4:39,7,0.3943,2,4,2,5.14,2.7601,3.4561,0.8199,6,0
loose_004,Mark 1:39–Mark 1:39,Luke 4:44–Luke 4:44,1,0.4481,1,0,0,1.17,0.4481,1.1689,0.3106,0,0
loose_005,Mark 1:40–Mark 1:44,Luke 5:12–Luke 5:14,3,0.3745,1,2,0,3.16,1.1235,1.5741,0.5192,2,1
loose_006,Mark 2:5–Mark 3:5,Luke 5:20–Luke 6:10,20,0.3596,10,9,10,16.35,7.192,13.3152,1.0948,19,0
loose_007,Mark 3:18–Mark 3:19,Luke 6:15–Luke 6:16,2,0.4796,2,0,0,2.3755,0.9592,2.3755,0.5269,0,0
loose_008,Mark 4:4–Mark 4:25,Luke 8:5–Luke 8:18,7,0.3259,0,15,7,6.64,2.2813,1.3688,0.6777,6,0
loose_009,Mark 4:35–Mark 5:1,Luke 8:22–Luke 8:26,4,0.2843,1,4,1,3.98,1.1372,1.5823,0.4576,3,0
loose_010,Mark 5:7–Mark 5:27,Luke 8:28–Luke 8:44,9,0.3807,5,12,8,9.83,3.4263,6.5558,0.8766,8,0
loose_011,Mark 5:34–Mark 5:41,Luke 8:48–Luke 8:54,5,0.32,1,3,2,3.15,1.6,1.86,0.5734,4,1
loose_012,Mark 6:7–Mark 6:10,Luke 9:1–Luke 9:4,3,0.2838,0,1,1,1.51,0.8514,0.5108,0.3934,2,1
loose_013,Mark 6:16–Mark 6:16,Luke 9:9–Luke 9:9,1,0.2417,0,0,0,0.62,0.2417,0.145,0.1675,0,0
loose_014,Mark 6:30–Mark 6:30,Luke 9:10–Luke 9:10,1,0.24,0,0,0,0.62,0.24,0.144,0.1664,0,0
loose_015,Mark 6:37–Mark 6:42,Luke 9:13–Luke 9:17,3,0.3785,2,3,2,3.51,1.1355,2.4813,0.5247,2,1
loose_016,Mark 8:28–Mark 9:7,Luke 9:19–Luke 9:35,11,0.4595,7,7,6,10.5827,5.0545,9.3327,1.1418,10,0
loose_017,Mark 9:19–Mark 9:19,Luke 9:41–Luke 9:41,1,0.3995,0,0,0,0.27,0.3995,0.2397,0.2769,0,0
loose_018,Mark 9:31–Mark 9:40,Luke 9:44–Luke 9:50,5,0.4112,3,5,2,5.7,2.056,3.9336,0.7368,4,0
loose_019,Mark 9:50–Mark 10:5,Luke 14:34–Luke 15:3,2,0.2483,0,4,3,1.44,0.4966,0.298,0.2728,0,0
loose_020,Mark 10:8–Mark 10:8,Luke 17:35–Luke 17:35,1,0.2058,0,0,0,0.62,0.2058,0.1235,0.1426,0,0
loose_021,Mark 10:13–Mark 10:33,Luke 18:15–Luke 18:32,16,0.4798,8,5,2,13.8061,7.6768,11.8061,1.3594,15,0
loose_022,Mark 10:46–Mark 10:52,Luke 18:35–Luke 18:42,5,0.3917,1,2,3,2.8,1.9585,2.0751,0.7018,4,1
loose_023,Mark 11:1–Mark 11:18,Luke 19:29–Luke 19:47,9,0.3462,3,9,10,7.08,3.1158,4.5695,0.7972,8,0
loose_024,Mark 11:28–Mark 12:27,Luke 20:2–Luke 20:38,22,0.4309,13,11,15,20.54,9.4798,17.3879,1.3511,21,0
loose_025,Mark 12:35–Mark 13:17,Luke 20:41–Luke 21:23,15,0.4548,10,12,15,15.7932,6.822,13.0932,1.261,14,0
loose_026,Mark 13:26–Mark 13:31,Luke 21:27–Luke 21:33,5,0.6858,4,1,2,6.2074,3.429,5.6574,1.2288,4,1
loose_027,Mark 14:1–Mark 14:1,Luke 22:2–Luke 22:2,1,0.3728,1,0,0,1.17,0.3728,1.1237,0.2584,0,0
loose_028,Mark 14:11–Mark 14:16,Luke 22:5–Luke 22:13,6,0.4871,3,0,3,6.1036,2.9226,4.4536,0.9479,5,1
loose_029,Mark 14:22–Mark 14:22,Luke 22:19–Luke 22:19,1,0.446,0,0,0,0.27,0.446,0.2676,0.3091,0,0
loose_030,Mark 14:26–Mark 14:26,Luke 22:39–Luke 22:39,1,0.3577,0,0,0,0.27,0.3577,0.2146,0.2479,0,0
loose_031,Mark 14:36–Mark 14:48,Luke 22:42–Luke 22:52,5,0.2971,1,8,6,3.7,1.4855,1.7913,0.5323,4,0
loose_032,Mark 14:72–Mark 14:72,Luke 22:61–Luke 22:61,1,0.2781,0,0,0,0.27,0.2781,0.1669,0.1928,0,0
loose_033,Mark 15:2–Mark 15:2,Luke 23:3–Luke 23:3,1,0.6114,1,0,0,1.2668,0.6114,1.2668,0.4238,0,0
loose_034,Mark 15:21–Mark 15:21,Luke 23:26–Luke 23:26,1,0.3451,1,0,0,1.17,0.3451,1.1071,0.2392,0,0
loose_035,Mark 15:26–Mark 15:43,Luke 23:38–Luke 23:52,5,0.3363,1,12,10,4.05,1.6815,1.9089,0.6026,4,0
