anchor_id,pair,john_refs,synoptic_refs,feature_count,local_lexical_signal,exact_run_signal,specificity_signal,order_or_reframing_displacement_signal,best_lowest_burden_model,burden_john_uses_synoptic_or_synoptic_like_source,burden_synoptic_uses_john_or_john_like_source,burden_shared_anchor_tradition,burden_independent_convergence
john_baptist_witness_spirit_descends,John↔Mark,John 1:29-34,Mark 1:9-11,3,1.174,1.3,2.25,2.0,shared_anchor_tradition,7.526,6.126,1.0,9.724
john_baptist_witness_spirit_descends,John↔Matt,John 1:29-34,Matt 3:13-17,3,1.099,1.3,2.25,2.0,shared_anchor_tradition,7.601,6.201,1.0,9.649
john_baptist_witness_spirit_descends,John↔Luke,John 1:29-34,Luke 3:21-22,3,1.285,1.3,2.25,2.0,shared_anchor_tradition,7.415,6.015,1.0,9.835
temple_action_relocated,John↔Mark,John 2:13-22,Mark 11:15-19,3,0.935,1.3,3.75,2.0,shared_anchor_tradition,7.265,6.365,3.125,10.985
temple_action_relocated,John↔Matt,John 2:13-22,Matt 21:12-17,3,1.01,1.3,3.75,2.0,shared_anchor_tradition,7.19,6.29,3.125,11.06
temple_action_relocated,John↔Luke,John 2:13-22,Luke 19:45-48,3,0.968,1.3,3.75,2.0,shared_anchor_tradition,7.232,6.332,3.125,11.018
prophet_no_honor,John↔Mark,John 4:44,Mark 6:4,1,0.988,0.65,0.75,0.5,shared_anchor_tradition,6.362,6.962,1.0,7.388
prophet_no_honor,John↔Matt,John 4:44,Matt 13:57,1,0.989,0.65,0.75,0.5,shared_anchor_tradition,6.361,6.961,1.0,7.389
prophet_no_honor,John↔Luke,John 4:44,Luke 4:24,1,0.423,0.0,0.75,0.5,shared_anchor_tradition,7.577,8.177,1.0,6.173
feeding_5000,John↔Mark,John 6:1-15,Mark 6:30-44,5,0.977,1.3,3.75,0.5,shared_anchor_tradition,5.723,6.923,2.525,11.027
feeding_5000,John↔Matt,John 6:1-15,Matt 14:13-21,5,1.312,1.3,3.75,0.5,shared_anchor_tradition,5.388,6.588,2.525,11.362
feeding_5000,John↔Luke,John 6:1-15,Luke 9:10-17,5,0.788,1.3,3.75,0.5,shared_anchor_tradition,5.912,7.112,2.525,10.838
walking_on_water,John↔Mark,John 6:16-21,Mark 6:45-52,4,2.315,1.3,4.5,0.5,shared_anchor_tradition,4.7,5.9,2.05,13.115
walking_on_water,John↔Matt,John 6:16-21,Matt 14:22-33,4,2.747,1.3,4.5,0.5,shared_anchor_tradition,4.7,5.9,2.05,13.547
anointing_bethany,John↔Mark,John 12:1-8,Mark 14:3-9,4,3.117,1.95,4.5,0.5,shared_anchor_tradition,4.5,5.1,3.05,14.567
anointing_bethany,John↔Matt,John 12:1-8,Matt 26:6-13,4,4.0,3.9,5.0,0.5,shared_anchor_tradition,4.5,5.1,4.35,17.9
anointing_bethany,John↔Luke,John 12:1-8,Luke 7:36-50,4,1.214,1.95,4.5,0.5,shared_anchor_tradition,5.286,5.886,3.05,12.664
triumphal_entry,John↔Mark,John 12:12-19,Mark 11:1-10,4,2.012,2.6,5.0,0.5,shared_anchor_tradition,4.5,5.1,3.7,14.612
triumphal_entry,John↔Matt,John 12:12-19,Matt 21:1-11,4,2.116,2.6,5.0,0.5,shared_anchor_tradition,4.5,5.1,3.7,14.716
triumphal_entry,John↔Luke,John 12:12-19,Luke 19:28-40,4,1.113,1.3,4.5,0.5,shared_anchor_tradition,5.587,6.187,3.05,11.913
peter_denial,John↔Mark,John 18:15-27,Mark 14:66-72,3,1.571,1.3,2.25,0.5,shared_anchor_tradition,5.129,5.729,2.0,10.121
peter_denial,John↔Matt,John 18:15-27,Matt 26:69-75,3,2.28,1.95,2.25,0.5,shared_anchor_tradition,4.5,5.1,2.0,11.48
peter_denial,John↔Luke,John 18:15-27,Luke 22:54-62,3,1.215,0.65,2.25,0.5,shared_anchor_tradition,6.135,6.735,2.0,9.115
sword_ear_arrest,John↔Mark,John 18:10-11,Mark 14:47,3,1.112,0.65,3.75,0.5,shared_anchor_tradition,6.238,7.438,2.525,10.512
sword_ear_arrest,John↔Matt,John 18:10-11,Matt 26:51-52,3,1.02,1.3,3.75,0.5,shared_anchor_tradition,5.68,6.88,2.525,11.07
sword_ear_arrest,John↔Luke,John 18:10-11,Luke 22:49-51,3,1.016,1.3,3.75,0.5,shared_anchor_tradition,5.684,6.884,2.525,11.066
garment_division_scripture,John↔Mark,John 19:23-24,Mark 15:24,3,0.202,0.0,3.75,0.5,shared_anchor_tradition,7.798,8.398,2.525,8.952
garment_division_scripture,John↔Matt,John 19:23-24,Matt 27:35,3,1.258,1.3,3.75,0.5,shared_anchor_tradition,5.442,6.042,2.525,11.308
garment_division_scripture,John↔Luke,John 19:23-24,Luke 23:34,3,0.23,0.0,3.75,0.5,shared_anchor_tradition,7.77,8.37,2.525,8.98
