source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score
Mark,Mark 10:15,385,Luke,Luke 18:17,811,10,10,1.0,1.0,1.0,1.0,1.0,1.0,10,1.0,10,αμην λεγω οσ δεξηται βασιλειαν ωσ παιδιον εισελθη εισ αυτην,10,αμην αυτην βασιλειαν δεξηται εισ εισελθη λεγω οσ παιδιον ωσ,main_text,1.0,1.0,1.0,9,1.0,9,λεγω μη δεχομαι βασιλεια θεοσ παιδιον ου μη εισερχομαι,8,βασιλεια δεχομαι εισερχομαι θεοσ λεγω μη ου παιδιον,1.0,0.0
Mark,Mark 13:31,529,Luke,Luke 21:33,965,5,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,5,ουρανοσ γη παρελευσονται λογοι παρελευσονται,4,γη λογοι ουρανοσ παρελευσονται,main_text,1.0,1.0,1.0,7,1.0,7,ουρανοσ γη παρερχομαι λογοσ ου μη παρερχομαι,6,γη λογοσ μη ου ουρανοσ παρερχομαι,1.0,0.0
Mark,Mark 12:40,494,Luke,Luke 20:47,932,11,11,0.6735,0.6923,0.6923,0.7,0.5556,0.6561,9,0.8182,5,τασ οικιασ χηρων προφασει μακρα,9,κριμα λημψονται μακρα οικιασ ουτοι περισσοτερον προφασει τασ χηρων,main_text,1.0,1.0,1.0,9,1.0,9,κατεσθιω οικια χηρα προφασισ μακροσ προσευχομαι λαμβανω περισσοτεροσ κριμα,9,κατεσθιω κριμα λαμβανω μακροσ οικια περισσοτεροσ προσευχομαι προφασισ χηρα,1.0,0.3265
Mark,Mark 13:30,528,Luke,Luke 21:32,964,7,6,0.6264,0.625,0.625,0.5455,0.4444,0.6232,5,0.8333,4,αμην λεγω παρελθη γενεα,5,αμην γενεα γενηται λεγω παρελθη,main_text,1.0,1.0,1.0,7,1.0,7,λεγω ου μη παρερχομαι γενεα πασ γινομαι,7,γενεα γινομαι λεγω μη ου παρερχομαι πασ,1.0,0.3736
Mark,Mark 1:24,24,Luke,Luke 4:34,204,8,9,0.9274,0.8889,0.8889,0.9333,0.9231,0.8581,8,1.0,8,ιησου ναζαρηνε ηλθεσ απολεσαι ημασ οιδα τισ αγιοσ,8,αγιοσ απολεσαι ηλθεσ ημασ ιησου ναζαρηνε οιδα τισ,main_text,0.8889,0.9333,0.9231,8,1.0,8,ιησουσ ναζαρηνοσ ερχομαι απολλυμι οιδα ειμι αγιοσ θεοσ,8,αγιοσ απολλυμι ειμι ερχομαι θεοσ ιησουσ ναζαρηνοσ οιδα,0.9232,-0.0042
Mark,Mark 10:18,388,Luke,Luke 18:19,813,8,8,0.8658,1.0,1.0,0.7143,0.6667,1.0,7,0.875,6,λεγεισ αγαθον ουδεισ αγαθοσ εισ θεοσ,8,αγαθον αγαθοσ αυτω εισ θεοσ ιησουσ λεγεισ ουδεισ,main_text,1.0,0.875,0.7143,8,0.8889,7,λεγω αγαθοσ ουδεισ αγαθοσ μη εισ θεοσ,7,αγαθοσ εισ θεοσ ιησουσ λεγω μη ουδεισ,0.921,0.0552
Mark,Mark 13:26,524,Luke,Luke 21:27,959,8,8,0.663,0.7778,1.0,0.4286,0.3333,0.7397,6,0.75,4,οψονται υιον ανθρωπου ερχομενον,7,ανθρωπου δοξησ δυναμεωσ ερχομενον οψονται πολλησ υιον,main_text,1.0,0.75,0.7143,8,0.8889,7,τοτε οραω υιοσ ανθρωποσ ερχομαι νεφελη δυναμισ,9,ανθρωποσ δοξα δυναμισ ερχομαι νεφελη οραω πολυσ τοτε υιοσ,0.8985,0.2355
Mark,Mark 11:30,451,Luke,Luke 20:4,889,5,4,0.8589,0.8,0.8,0.8571,0.8,0.7489,4,1.0,4,βαπτισμα ιωαννου ουρανου ανθρωπων,4,ανθρωπων βαπτισμα ιωαννου ουρανου,main_text,0.8333,0.8889,0.8571,5,1.0,5,βαπτισμα ιωαννησ ουρανοσ ειμι ανθρωποσ,5,ανθρωποσ βαπτισμα ειμι ιωαννησ ουρανοσ,0.8795,0.0206
Mark,Mark 10:19,389,Luke,Luke 18:20,814,11,10,0.7019,0.9091,0.9091,0.5263,0.2353,0.8902,9,0.9,3,τασ εντολασ οιδασ,10,εντολασ κλεψησ μητερα μοιχευσησ οιδασ πατερα τασ τιμα φονευσησ ψευδομαρτυρησησ,main_text,0.9091,0.8462,0.5,11,0.8462,4,μη κλεπτω μη ψευδομαρτυρεω,10,εντολη κλεπτω μη μητηρ μοιχευω οιδα πατηρ τιμαω φονευω ψευδομαρτυρεω,0.8361,0.1342
Mark,Mark 8:35,319,Luke,Luke 9:24,432,14,14,0.7043,0.75,0.75,0.6923,0.5,0.7452,12,0.8571,7,οσ θελη ψυχην σωσαι απολεσει αυτην οσ,9,απολεσει αυτην εμου ενεκεν θελη οσ σωσαι σωσει ψυχην,main_text,0.8,0.7692,0.7273,7,1.0,6,θελω ψυχη σωζω απολλυμι απολλυμι ψυχη,4,απολλυμι θελω σωζω ψυχη,0.8257,0.1214
