book,ref,content_lemma_count,surface_token_count,short_content,citation_formula,short_surface
Mark,Mark 1:1,4,5,True,False,True
Mark,Mark 1:2,8,20,False,True,False
Mark,Mark 1:3,9,14,False,False,False
Mark,Mark 1:4,9,13,False,False,False
Mark,Mark 1:5,11,24,False,False,False
Mark,Mark 1:6,12,20,False,False,False
Mark,Mark 1:7,11,20,False,True,False
Mark,Mark 1:8,5,11,False,False,False
Mark,Mark 1:9,9,19,False,False,False
Mark,Mark 1:10,9,18,False,False,False
Mark,Mark 1:11,7,16,False,False,False
Mark,Mark 1:12,4,9,True,False,False
Mark,Mark 1:13,10,21,False,False,False
Mark,Mark 1:14,8,17,False,False,False
Mark,Mark 1:15,9,18,False,True,False
Mark,Mark 1:16,12,21,False,False,False
Mark,Mark 1:17,7,14,False,True,False
Mark,Mark 1:18,4,7,True,False,False
Mark,Mark 1:19,11,21,False,False,False
Mark,Mark 1:20,8,19,False,False,False
Mark,Mark 1:21,6,12,False,False,False
Mark,Mark 1:22,8,18,False,False,False
Mark,Mark 1:23,7,13,False,False,False
Mark,Mark 1:24,9,18,False,True,False
Mark,Mark 1:25,5,11,False,True,False
Mark,Mark 1:26,7,14,False,False,False
Mark,Mark 1:27,13,24,False,True,False
Mark,Mark 1:28,7,13,False,False,False
Mark,Mark 1:29,9,17,False,False,False
Mark,Mark 1:30,6,12,False,True,False
Mark,Mark 1:31,7,15,False,False,False
Mark,Mark 1:32,10,17,False,False,False
Mark,Mark 1:33,5,9,False,False,False
Mark,Mark 1:34,14,20,False,False,False
Mark,Mark 1:35,9,13,False,False,False
Mark,Mark 1:36,2,8,True,False,False
Mark,Mark 1:37,4,10,True,True,False
Mark,Mark 1:38,9,17,False,True,False
Mark,Mark 1:39,7,15,False,False,False
Mark,Mark 1:40,8,17,False,True,False
Mark,Mark 1:41,7,12,False,True,False
Mark,Mark 1:42,4,9,True,False,False
Mark,Mark 1:43,3,6,True,False,False
Mark,Mark 1:44,13,25,False,True,False
Mark,Mark 1:45,17,29,False,False,False
Mark,Mark 2:1,7,12,False,False,False
Mark,Mark 2:2,8,16,False,False,False
Mark,Mark 2:3,5,9,False,False,False
Mark,Mark 2:4,14,22,False,False,False
Mark,Mark 2:5,8,15,False,True,False
Mark,Mark 2:6,6,13,False,False,False
Mark,Mark 2:7,9,14,False,False,False
Mark,Mark 2:8,9,22,False,True,False
Mark,Mark 2:9,11,20,False,True,False
Mark,Mark 2:10,10,18,False,True,False
Mark,Mark 2:11,6,13,False,True,False
Mark,Mark 2:12,14,22,False,True,False
Mark,Mark 2:13,7,16,False,False,False
Mark,Mark 2:14,10,20,False,True,False
Mark,Mark 2:15,12,26,False,False,False
Mark,Mark 2:16,12,24,False,True,False
Mark,Mark 2:17,15,23,False,True,False
Mark,Mark 2:18,16,31,False,True,False
Mark,Mark 2:19,14,29,False,True,False
Mark,Mark 2:20,8,16,False,False,False
Mark,Mark 2:21,15,24,False,False,False
Mark,Mark 2:22,17,29,False,False,False
Mark,Mark 2:23,10,20,False,False,False
Mark,Mark 2:24,6,13,False,True,False
Mark,Mark 2:25,8,18,False,True,False
Mark,Mark 2:26,16,31,False,False,False
Mark,Mark 2:27,7,16,False,True,False
Mark,Mark 2:28,6,10,False,False,False
Mark,Mark 3:1,9,13,False,False,False
Mark,Mark 3:2,4,11,True,False,False
Mark,Mark 3:3,7,13,False,True,False
Mark,Mark 3:4,9,16,False,True,False
Mark,Mark 3:5,12,25,False,True,False
Mark,Mark 3:6,7,15,False,False,False
Mark,Mark 3:7,9,22,False,False,False
Mark,Mark 3:8,10,24,False,False,False
Mark,Mark 3:9,7,16,False,True,False
Mark,Mark 3:10,6,12,False,False,False
Mark,Mark 3:11,9,20,False,True,False
Mark,Mark 3:12,5,9,False,False,False
Mark,Mark 3:13,5,14,False,False,False
Mark,Mark 3:14,5,12,False,False,False
Mark,Mark 3:15,4,6,True,False,False
Mark,Mark 3:16,6,10,False,False,False
Mark,Mark 3:17,11,20,False,False,False
Mark,Mark 3:18,10,21,False,False,False
Mark,Mark 3:19,4,7,True,False,False
Mark,Mark 3:20,10,16,False,False,False
Mark,Mark 3:21,5,12,False,True,False
Mark,Mark 3:22,10,21,False,True,False
Mark,Mark 3:23,8,12,False,True,False
Mark,Mark 3:24,6,12,False,False,False
Mark,Mark 3:25,6,12,False,False,False
Mark,Mark 3:26,8,15,False,False,False
Mark,Mark 3:27,14,25,False,False,False
Mark,Mark 3:28,8,18,False,True,False
Mark,Mark 3:29,11,20,False,False,False
Mark,Mark 3:30,4,5,True,True,True
Mark,Mark 3:31,7,17,False,False,False
Mark,Mark 3:32,7,19,False,True,False
Mark,Mark 3:33,5,13,False,True,False
Mark,Mark 3:34,6,16,False,True,False
Mark,Mark 3:35,7,16,False,False,False
Mark,Mark 4:1,16,33,False,False,False
Mark,Mark 4:2,5,13,False,True,False
Mark,Mark 4:3,4,6,True,False,False
Mark,Mark 4:4,7,18,False,False,False
Mark,Mark 4:5,14,20,False,False,False
Mark,Mark 4:6,7,13,False,False,False
Mark,Mark 4:7,9,17,False,False,False
Mark,Mark 4:8,15,24,False,False,False
Mark,Mark 4:9,5,7,False,True,False
Mark,Mark 4:10,5,15,False,False,False
Mark,Mark 4:11,9,20,False,True,False
Mark,Mark 4:12,10,17,False,False,False
Mark,Mark 4:13,8,14,False,True,False
Mark,Mark 4:14,3,5,True,False,True
Mark,Mark 4:15,12,26,False,False,False
Mark,Mark 4:16,9,19,False,False,False
Mark,Mark 4:17,12,19,False,False,False
Mark,Mark 4:18,7,14,False,False,False
Mark,Mark 4:19,11,23,False,False,False
Mark,Mark 4:20,14,26,False,False,False
Mark,Mark 4:21,8,22,False,True,False
Mark,Mark 4:22,9,16,False,False,False
Mark,Mark 4:23,4,6,True,False,False
Mark,Mark 4:24,7,15,False,True,False
Mark,Mark 4:25,7,15,False,False,False
Mark,Mark 4:26,9,16,False,True,False
Mark,Mark 4:27,9,17,False,False,False
Mark,Mark 4:28,11,14,False,False,False
Mark,Mark 4:29,7,13,False,False,False
Mark,Mark 4:30,7,14,False,True,False
Mark,Mark 4:31,9,18,False,False,False
Mark,Mark 4:32,14,25,False,False,False
Mark,Mark 4:33,6,11,False,False,False
Mark,Mark 4:34,8,14,False,False,False
Mark,Mark 4:35,6,13,False,True,False
Mark,Mark 4:36,8,17,False,False,False
Mark,Mark 4:37,10,17,False,False,False
Mark,Mark 4:38,9,22,False,True,False
Mark,Mark 4:39,12,19,False,True,False
Mark,Mark 4:40,6,9,False,True,False
Mark,Mark 4:41,9,21,False,True,False
Mark,Mark 5:1,5,12,False,False,False
Mark,Mark 5:2,8,16,False,False,False
Mark,Mark 5:3,9,15,False,False,False
Mark,Mark 5:4,11,23,False,False,False
Mark,Mark 5:5,9,19,False,False,False
Mark,Mark 5:6,5,10,False,False,False
Mark,Mark 5:7,12,22,False,True,False
Mark,Mark 5:8,5,11,False,True,False
Mark,Mark 5:9,7,15,False,True,False
Mark,Mark 5:10,5,11,False,False,False
Mark,Mark 5:11,7,10,False,False,False
Mark,Mark 5:12,5,13,False,True,False
Mark,Mark 5:13,14,30,False,False,False
Mark,Mark 5:14,9,21,False,False,False
Mark,Mark 5:15,10,19,False,False,False
Mark,Mark 5:16,6,13,False,False,False
Mark,Mark 5:17,4,9,True,False,False
Mark,Mark 5:18,5,14,False,False,False
Mark,Mark 5:19,10,26,False,True,False
Mark,Mark 5:20,8,16,False,False,False
Mark,Mark 5:21,10,21,False,False,False
Mark,Mark 5:22,8,15,False,False,False
Mark,Mark 5:23,11,21,False,True,False
Mark,Mark 5:24,5,12,False,False,False
Mark,Mark 5:25,6,8,False,False,False
Mark,Mark 5:26,11,21,False,False,False
Mark,Mark 5:27,7,13,False,False,False
Mark,Mark 5:28,5,10,False,True,False
Mark,Mark 5:29,8,17,False,False,False
Mark,Mark 5:30,10,22,False,True,False
Mark,Mark 5:31,7,16,False,True,False
Mark,Mark 5:32,3,6,True,False,False
Mark,Mark 5:33,10,20,False,True,False
Mark,Mark 5:34,9,20,False,True,False
Mark,Mark 5:35,10,18,False,True,False
Mark,Mark 5:36,10,14,False,True,False
Mark,Mark 5:37,10,18,False,False,False
Mark,Mark 5:38,8,15,False,False,False
Mark,Mark 5:39,8,14,False,True,False
Mark,Mark 5:40,10,25,False,False,False
Mark,Mark 5:41,11,18,False,True,False
Mark,Mark 5:42,11,16,False,False,False
Mark,Mark 5:43,7,13,False,True,False
Mark,Mark 6:1,6,15,False,False,False
Mark,Mark 6:2,15,33,False,True,False
Mark,Mark 6:3,13,31,False,False,False
Mark,Mark 6:4,10,26,False,True,False
Mark,Mark 6:5,12,15,False,False,False
Mark,Mark 6:6,6,12,False,False,False
Mark,Mark 6:7,10,18,False,False,False
Mark,Mark 6:8,14,21,False,False,False
Mark,Mark 6:9,6,8,False,False,False
Mark,Mark 6:10,7,14,False,True,False
Mark,Mark 6:11,10,23,False,False,False
Mark,Mark 6:12,3,5,True,False,True
Mark,Mark 6:13,8,11,False,False,False
Mark,Mark 6:14,13,28,False,True,False
Mark,Mark 6:15,9,15,False,True,False
Mark,Mark 6:16,6,11,False,True,False
Mark,Mark 6:17,11,24,False,False,False
Mark,Mark 6:18,8,16,False,True,False
Mark,Mark 6:19,6,12,False,False,False
Mark,Mark 6:20,13,24,False,False,False
Mark,Mark 6:21,12,22,False,False,False
Mark,Mark 6:22,13,29,False,True,False
Mark,Mark 6:23,5,15,False,False,False
Mark,Mark 6:24,8,16,False,True,False
Mark,Mark 6:25,13,22,False,True,False
Mark,Mark 6:26,8,15,False,False,False
Mark,Mark 6:27,10,18,False,False,False
Mark,Mark 6:28,8,20,False,False,False
Mark,Mark 6:29,7,16,False,False,False
Mark,Mark 6:30,7,16,False,False,False
Mark,Mark 6:31,14,26,False,True,False
Mark,Mark 6:32,5,10,False,False,False
Mark,Mark 6:33,10,18,False,False,False
Mark,Mark 6:34,13,21,False,False,False
Mark,Mark 6:35,13,20,False,True,False
Mark,Mark 6:36,7,14,False,False,False
Mark,Mark 6:37,12,21,False,True,False
Mark,Mark 6:38,10,16,False,True,False
Mark,Mark 6:39,7,11,False,False,False
Mark,Mark 6:40,5,9,False,False,False
Mark,Mark 6:41,17,32,False,False,False
Mark,Mark 6:42,3,5,True,False,True
Mark,Mark 6:43,6,10,False,False,False
Mark,Mark 6:44,5,8,False,False,False
Mark,Mark 6:45,10,22,False,False,False
Mark,Mark 6:46,4,8,True,False,False
Mark,Mark 6:47,8,16,False,False,False
Mark,Mark 6:48,14,29,False,False,False
Mark,Mark 6:49,7,14,False,False,False
Mark,Mark 6:50,10,20,False,True,False
Mark,Mark 6:51,7,18,False,False,False
Mark,Mark 6:52,6,12,False,False,False
Mark,Mark 6:53,5,10,False,False,False
Mark,Mark 6:54,4,9,True,False,False
Mark,Mark 6:55,10,18,False,False,False
Mark,Mark 6:56,14,35,False,False,False
Mark,Mark 7:1,5,13,False,False,False
Mark,Mark 7:2,8,15,False,False,False
Mark,Mark 7:3,12,20,False,False,False
Mark,Mark 7:4,15,23,False,False,False
Mark,Mark 7:5,12,26,False,False,False
Mark,Mark 7:6,12,29,False,True,False
Mark,Mark 7:7,6,8,False,False,False
Mark,Mark 7:8,6,10,False,False,False
Mark,Mark 7:9,7,14,False,True,False
Mark,Mark 7:10,10,19,False,True,False
Mark,Mark 7:11,9,20,False,True,False
Mark,Mark 7:12,6,10,False,False,False
Mark,Mark 7:13,8,15,False,False,False
Mark,Mark 7:14,7,12,False,True,False
Mark,Mark 7:15,11,23,False,False,False
Mark,Mark 7:17,6,15,False,False,False
Mark,Mark 7:18,14,22,False,True,False
Mark,Mark 7:19,9,20,False,False,False
Mark,Mark 7:20,5,12,False,True,False
Mark,Mark 7:21,9,15,False,False,False
Mark,Mark 7:22,10,10,False,False,False
Mark,Mark 7:23,6,10,False,False,False
Mark,Mark 7:24,13,19,False,False,False
Mark,Mark 7:25,10,19,False,False,False
Mark,Mark 7:26,9,19,False,False,False
Mark,Mark 7:27,13,21,False,True,False
Mark,Mark 7:28,9,19,False,True,False
Mark,Mark 7:29,6,15,False,True,False
Mark,Mark 7:30,8,17,False,False,False
Mark,Mark 7:31,11,20,False,False,False
Mark,Mark 7:32,6,14,False,False,False
Mark,Mark 7:33,9,22,False,False,False
Mark,Mark 7:34,7,13,False,True,False
Mark,Mark 7:35,7,15,False,False,False
Mark,Mark 7:36,7,14,False,True,False
Mark,Mark 7:37,12,15,False,True,False
Mark,Mark 8:1,11,18,False,True,False
Mark,Mark 8:2,9,15,False,False,False
Mark,Mark 8:3,7,18,False,False,False
Mark,Mark 8:4,8,16,False,False,False
Mark,Mark 8:5,5,10,False,True,False
Mark,Mark 8:6,14,26,False,False,False
Mark,Mark 8:7,7,11,False,True,False
Mark,Mark 8:8,7,10,False,False,False
Mark,Mark 8:9,4,7,True,False,False
Mark,Mark 8:10,7,15,False,False,False
Mark,Mark 8:11,8,17,False,False,False
Mark,Mark 8:12,10,21,False,True,False
Mark,Mark 8:13,5,9,False,False,False
Mark,Mark 8:14,9,16,False,False,False
Mark,Mark 8:15,8,15,False,True,False
Mark,Mark 8:16,4,8,True,False,False
Mark,Mark 8:17,12,19,False,True,False
Mark,Mark 8:18,10,12,False,False,False
Mark,Mark 8:19,10,16,False,True,False
Mark,Mark 8:20,8,16,False,True,False
Mark,Mark 8:21,3,5,True,True,True
Mark,Mark 8:22,6,14,False,False,False
Mark,Mark 8:23,11,26,False,False,False
Mark,Mark 8:24,7,11,False,True,False
Mark,Mark 8:25,10,17,False,False,False
Mark,Mark 8:26,6,12,False,True,False
Mark,Mark 8:27,13,30,False,True,False
Mark,Mark 8:28,9,18,False,True,False
Mark,Mark 8:29,8,19,False,True,False
Mark,Mark 8:30,3,8,True,True,False
Mark,Mark 8:31,15,30,False,False,False
Mark,Mark 8:32,7,13,False,False,False
Mark,Mark 8:33,12,26,False,True,False
Mark,Mark 8:34,10,26,False,True,False
Mark,Mark 8:35,8,24,False,False,False
Mark,Mark 8:36,7,13,False,False,False
Mark,Mark 8:37,4,8,True,False,False
Mark,Mark 8:38,15,37,False,False,False
Mark,Mark 9:1,14,27,False,True,False
Mark,Mark 9:2,13,27,False,False,False
Mark,Mark 9:3,11,17,False,False,False
