mark_ref,rank,matt_ref,combined,wj_content,wj_all,wj_bigram,sr_content,rare_inter
Mark 1:1,1,Matt 1:1,0.183326,0.164094,0.160565,0.107043,0.333333,8.309445
Mark 1:1,2,Matt 27:22,0.172678,0.205541,0.186464,0.0,0.307692,8.309445
Mark 1:1,3,Matt 24:8,0.164601,0.201598,0.167387,0.0,0.285714,6.265565
Mark 1:1,4,Matt 1:16,0.148702,0.15996,0.151816,0.0,0.307692,8.309445
Mark 1:1,5,Matt 27:17,0.148555,0.171077,0.144275,0.0,0.285714,8.309445
Mark 1:1,6,Matt 26:63,0.126613,0.14442,0.116236,0.0,0.25,8.309445
Mark 1:1,7,Matt 26:68,0.119124,0.136473,0.132662,0.0,0.222222,5.284735
Mark 1:1,8,Matt 23:10,0.112612,0.133211,0.126667,0.0,0.2,5.284735
Mark 1:1,9,Matt 22:42,0.108301,0.132801,0.121766,0.0,0.181818,5.284735
Mark 1:1,10,Matt 24:23,0.106505,0.13185,0.108086,0.0,0.181818,5.284735
Mark 1:1,11,Matt 9:19,0.101846,0.090574,0.110879,0.0,0.25,3.02471
Mark 1:1,12,Matt 16:20,0.100995,0.117514,0.117505,0.0,0.181818,5.284735
Mark 1:1,13,Matt 24:5,0.100719,0.12364,0.11748,0.0,0.166667,5.284735
Mark 1:1,14,Matt 1:18,0.100128,0.08416,0.082892,0.055867,0.2,8.309445
Mark 1:1,15,Matt 22:41,0.098979,0.08582,0.103599,0.0,0.25,3.02471
Mark 1:1,16,Matt 19:4,0.091791,0.107606,0.100346,0.0,0.166667,6.265565
Mark 1:1,17,Matt 23:1,0.091482,0.081997,0.101389,0.0,0.222222,3.02471
Mark 1:1,18,Matt 11:2,0.090897,0.099162,0.099103,0.0,0.181818,5.284735
Mark 1:1,19,Matt 24:4,0.089058,0.080827,0.082419,0.0,0.222222,3.02471
Mark 1:1,20,Matt 22:1,0.087228,0.083453,0.096739,0.0,0.2,3.02471
Mark 1:2,1,Matt 11:10,0.649465,0.712404,0.603836,0.434001,0.8,33.29992
Mark 1:2,2,Matt 4:14,0.194888,0.21302,0.13713,0.095111,0.307692,11.039474
Mark 1:2,3,Matt 12:17,0.194888,0.21302,0.13713,0.095111,0.307692,11.039474
Mark 1:2,4,Matt 3:3,0.158405,0.171254,0.146763,0.048477,0.272727,15.864677
Mark 1:2,5,Matt 2:5,0.142748,0.160315,0.134634,0.0,0.285714,10.192176
Mark 1:2,6,Matt 8:17,0.140505,0.143039,0.126019,0.065908,0.235294,11.039474
Mark 1:2,7,Matt 18:10,0.114737,0.131748,0.154505,0.0,0.2,10.990684
Mark 1:2,8,Matt 24:31,0.111501,0.104926,0.07788,0.057564,0.210526,9.868541
Mark 1:2,9,Matt 13:41,0.107259,0.118971,0.092782,0.0,0.222222,9.868541
Mark 1:2,10,Matt 22:16,0.102384,0.132586,0.130905,0.0,0.148148,15.350524
Mark 1:2,11,Matt 10:5,0.093322,0.104344,0.082725,0.0,0.190476,9.526792
Mark 1:2,12,Matt 4:6,0.091191,0.103188,0.083928,0.0,0.181818,10.585219
Mark 1:2,13,Matt 10:40,0.086217,0.092908,0.136398,0.0,0.153846,4.701589
Mark 1:2,14,Matt 23:34,0.083641,0.103953,0.158097,0.0,0.105263,9.475499
Mark 1:2,15,Matt 15:7,0.083111,0.096627,0.088594,0.0,0.153846,6.265565
Mark 1:2,16,Matt 6:17,0.077328,0.083112,0.091586,0.0,0.153846,5.823732
Mark 1:2,17,Matt 23:37,0.076738,0.077194,0.100004,0.0,0.16,9.475499
Mark 1:2,18,Matt 21:4,0.075525,0.086043,0.060367,0.0,0.153846,4.77391
Mark 1:2,19,Matt 26:67,0.07495,0.08363,0.065471,0.0,0.153846,5.823732
Mark 1:2,20,Matt 17:6,0.073568,0.085097,0.06703,0.0,0.142857,5.823732
Mark 1:3,1,Matt 3:3,0.724305,0.759847,0.676962,0.632623,0.782609,48.754637
