matt_ref,rank,mark_ref,combined,wj_content,wj_all,wj_bigram,sr_content,rare_inter
Matt 1:1,1,Mark 12:35,0.246597,0.258062,0.230828,0.109544,0.4,17.363331
Matt 1:1,2,Mark 1:1,0.183326,0.164094,0.160565,0.107043,0.333333,8.309445
Matt 1:1,3,Mark 10:47,0.169416,0.173276,0.155008,0.051134,0.315789,12.078595
Matt 1:1,4,Mark 10:48,0.128924,0.12667,0.107615,0.056411,0.235294,9.053886
Matt 1:1,5,Mark 12:26,0.113704,0.152567,0.117158,0.0,0.166667,13.747524
Matt 1:1,6,Mark 12:37,0.112846,0.125543,0.119068,0.0,0.222222,9.053886
Matt 1:1,7,Mark 14:61,0.112287,0.108809,0.098796,0.053771,0.2,9.011326
Matt 1:1,8,Mark 14:62,0.085407,0.084955,0.071773,0.0,0.2,6.751301
Matt 1:1,9,Mark 5:7,0.082809,0.079459,0.070518,0.0,0.2,6.751301
Matt 1:1,10,Mark 2:19,0.080789,0.084029,0.066118,0.0,0.181818,6.751301
Matt 1:1,11,Mark 8:29,0.074571,0.093588,0.074566,0.0,0.125,5.284735
Matt 1:1,12,Mark 11:10,0.073495,0.084355,0.069641,0.0,0.142857,5.327295
Matt 1:1,13,Mark 13:21,0.071046,0.084075,0.065452,0.0,0.133333,5.284735
Matt 1:1,14,Mark 12:6,0.070026,0.047552,0.041834,0.0,0.222222,3.726591
Matt 1:1,15,Mark 11:6,0.069196,0.067819,0.053446,0.0,0.166667,3.02471
Matt 1:1,16,Mark 14:21,0.067204,0.053225,0.03253,0.0,0.2,3.726591
Matt 1:1,17,Mark 2:25,0.064258,0.073813,0.060423,0.0,0.125,5.327295
Matt 1:1,18,Mark 2:28,0.063691,0.064518,0.060869,0.0,0.142857,3.726591
Matt 1:1,19,Mark 13:5,0.059342,0.053854,0.043385,0.0,0.153846,3.02471
Matt 1:1,20,Mark 1:25,0.05932,0.053039,0.046833,0.0,0.153846,3.02471
Matt 1:2,1,Mark 12:26,0.179474,0.24343,0.237772,0.0,0.230769,19.753578
Matt 1:2,2,Mark 3:19,0.094698,0.113118,0.15223,0.0,0.142857,5.823732
Matt 1:2,3,Mark 6:3,0.08235,0.115696,0.128959,0.0,0.086957,10.394701
Matt 1:2,4,Mark 3:33,0.082057,0.093961,0.131076,0.0,0.133333,4.570969
Matt 1:2,5,Mark 14:10,0.076083,0.088918,0.125405,0.0,0.117647,5.823732
Matt 1:2,6,Mark 3:34,0.069383,0.075069,0.106015,0.0,0.125,4.570969
Matt 1:2,7,Mark 3:32,0.067167,0.07317,0.107106,0.0,0.117647,4.570969
