mark_start_ref,mark_end_ref,matt_start_ref,matt_end_ref,rank,window_score,mark_refs,matt_refs
Mark 1:1,Mark 1:3,Matt 3:1,Matt 3:3,1,0.359812,Mark 1:1 | Mark 1:2 | Mark 1:3,Matt 3:1 | Matt 3:2 | Matt 3:3
Mark 1:1,Mark 1:3,Matt 3:2,Matt 3:4,2,0.29902,Mark 1:1 | Mark 1:2 | Mark 1:3,Matt 3:2 | Matt 3:3 | Matt 3:4
Mark 1:1,Mark 1:3,Matt 3:3,Matt 3:5,3,0.279542,Mark 1:1 | Mark 1:2 | Mark 1:3,Matt 3:3 | Matt 3:4 | Matt 3:5
Mark 1:1,Mark 1:3,Matt 11:8,Matt 11:10,4,0.205035,Mark 1:1 | Mark 1:2 | Mark 1:3,Matt 11:8 | Matt 11:9 | Matt 11:10
Mark 1:1,Mark 1:3,Matt 11:9,Matt 11:11,5,0.190868,Mark 1:1 | Mark 1:2 | Mark 1:3,Matt 11:9 | Matt 11:10 | Matt 11:11
Mark 1:1,Mark 1:3,Matt 11:10,Matt 11:12,6,0.166087,Mark 1:1 | Mark 1:2 | Mark 1:3,Matt 11:10 | Matt 11:11 | Matt 11:12
Mark 1:2,Mark 1:4,Matt 3:1,Matt 3:3,1,0.348104,Mark 1:2 | Mark 1:3 | Mark 1:4,Matt 3:1 | Matt 3:2 | Matt 3:3
Mark 1:2,Mark 1:4,Matt 3:2,Matt 3:4,2,0.288161,Mark 1:2 | Mark 1:3 | Mark 1:4,Matt 3:2 | Matt 3:3 | Matt 3:4
Mark 1:2,Mark 1:4,Matt 3:3,Matt 3:5,3,0.271095,Mark 1:2 | Mark 1:3 | Mark 1:4,Matt 3:3 | Matt 3:4 | Matt 3:5
Mark 1:2,Mark 1:4,Matt 11:9,Matt 11:11,4,0.190989,Mark 1:2 | Mark 1:3 | Mark 1:4,Matt 11:9 | Matt 11:10 | Matt 11:11
Mark 1:2,Mark 1:4,Matt 11:8,Matt 11:10,5,0.180173,Mark 1:2 | Mark 1:3 | Mark 1:4,Matt 11:8 | Matt 11:9 | Matt 11:10
Mark 1:2,Mark 1:4,Matt 11:10,Matt 11:12,6,0.168447,Mark 1:2 | Mark 1:3 | Mark 1:4,Matt 11:10 | Matt 11:11 | Matt 11:12
Mark 1:3,Mark 1:5,Matt 3:3,Matt 3:5,1,0.304759,Mark 1:3 | Mark 1:4 | Mark 1:5,Matt 3:3 | Matt 3:4 | Matt 3:5
Mark 1:3,Mark 1:5,Matt 3:1,Matt 3:3,2,0.286229,Mark 1:3 | Mark 1:4 | Mark 1:5,Matt 3:1 | Matt 3:2 | Matt 3:3
Mark 1:3,Mark 1:5,Matt 3:2,Matt 3:4,3,0.226184,Mark 1:3 | Mark 1:4 | Mark 1:5,Matt 3:2 | Matt 3:3 | Matt 3:4
