matt_start_ref,matt_end_ref,mark_start_ref,mark_end_ref,rank,window_score,matt_refs,mark_refs
Matt 3:1,Matt 3:3,Mark 1:1,Mark 1:3,1,0.359812,Matt 3:1 | Matt 3:2 | Matt 3:3,Mark 1:1 | Mark 1:2 | Mark 1:3
Matt 3:1,Matt 3:3,Mark 1:2,Mark 1:4,2,0.348104,Matt 3:1 | Matt 3:2 | Matt 3:3,Mark 1:2 | Mark 1:3 | Mark 1:4
Matt 3:1,Matt 3:3,Mark 1:3,Mark 1:5,3,0.286229,Matt 3:1 | Matt 3:2 | Matt 3:3,Mark 1:3 | Mark 1:4 | Mark 1:5
Matt 3:2,Matt 3:4,Mark 1:1,Mark 1:3,1,0.29902,Matt 3:2 | Matt 3:3 | Matt 3:4,Mark 1:1 | Mark 1:2 | Mark 1:3
Matt 3:2,Matt 3:4,Mark 1:2,Mark 1:4,2,0.288161,Matt 3:2 | Matt 3:3 | Matt 3:4,Mark 1:2 | Mark 1:3 | Mark 1:4
Matt 3:2,Matt 3:4,Mark 1:6,Mark 1:8,3,0.237833,Matt 3:2 | Matt 3:3 | Matt 3:4,Mark 1:6 | Mark 1:7 | Mark 1:8
Matt 3:2,Matt 3:4,Mark 1:3,Mark 1:5,4,0.226184,Matt 3:2 | Matt 3:3 | Matt 3:4,Mark 1:3 | Mark 1:4 | Mark 1:5
Matt 3:2,Matt 3:4,Mark 1:4,Mark 1:6,5,0.221071,Matt 3:2 | Matt 3:3 | Matt 3:4,Mark 1:4 | Mark 1:5 | Mark 1:6
Matt 3:2,Matt 3:4,Mark 1:5,Mark 1:7,6,0.210471,Matt 3:2 | Matt 3:3 | Matt 3:4,Mark 1:5 | Mark 1:6 | Mark 1:7
Matt 3:3,Matt 3:5,Mark 1:3,Mark 1:5,1,0.304759,Matt 3:3 | Matt 3:4 | Matt 3:5,Mark 1:3 | Mark 1:4 | Mark 1:5
Matt 3:3,Matt 3:5,Mark 1:1,Mark 1:3,2,0.279542,Matt 3:3 | Matt 3:4 | Matt 3:5,Mark 1:1 | Mark 1:2 | Mark 1:3
Matt 3:3,Matt 3:5,Mark 1:2,Mark 1:4,3,0.271095,Matt 3:3 | Matt 3:4 | Matt 3:5,Mark 1:2 | Mark 1:3 | Mark 1:4
Matt 3:3,Matt 3:5,Mark 1:4,Mark 1:6,4,0.259674,Matt 3:3 | Matt 3:4 | Matt 3:5,Mark 1:4 | Mark 1:5 | Mark 1:6
Matt 3:3,Matt 3:5,Mark 1:5,Mark 1:7,5,0.245523,Matt 3:3 | Matt 3:4 | Matt 3:5,Mark 1:5 | Mark 1:6 | Mark 1:7
Matt 3:3,Matt 3:5,Mark 1:6,Mark 1:8,6,0.224558,Matt 3:3 | Matt 3:4 | Matt 3:5,Mark 1:6 | Mark 1:7 | Mark 1:8
Matt 3:4,Matt 3:6,Mark 1:4,Mark 1:6,1,0.402585,Matt 3:4 | Matt 3:5 | Matt 3:6,Mark 1:4 | Mark 1:5 | Mark 1:6
