block_id,mark_start_ref,mark_end_ref,matt_start_ref,matt_end_ref,pair_count,avg_score,confidence,mark_unmatched_verse_count,matt_unmatched_verse_count,mark_token_count,matt_token_count,mark_variant_count,matt_variant_count,span_density,mark_prior_operations,matt_prior_operations
1,Mark 1:3,Mark 1:6,Matt 3:3,Matt 3:4,2,0.661667,medium,2,0,71,51,5,2,0.5,abbreviation;matt_omissions;verbal_vividization;matt_interposition,expansion;mark_additions;verbal_smoothing;mark_nonuse_of_matt_gap
2,Mark 1:8,Mark 1:13,Matt 3:11,Matt 4:2,6,0.348189,medium,0,3,94,175,11,10,0.666667,expansion;matt_additions;tempo_smoothing;scripturalization;verbal_vividization,abbreviation;mark_omissions;tempo_intensification;descripturalization;verbal_smoothing
3,Mark 1:15,Mark 1:21,Matt 4:17,Matt 4:23,7,0.398465,medium,0,0,112,131,9,1,1.0,expansion;tempo_smoothing;terminology_shift;descripturalization;matt_interposition,abbreviation;tempo_intensification;terminology_shift;scripturalization;mark_nonuse_of_matt_gap
4,Mark 1:22,Mark 1:22,Matt 7:29,Matt 7:29,1,0.714092,low,0,0,18,13,0,1,1.0,abbreviation;redistribution;matt_interposition,expansion;redistribution;mark_nonuse_of_matt_gap
5,Mark 1:40,Mark 2:1,Matt 8:2,Matt 8:5,4,0.478942,high,3,0,110,62,11,3,0.571429,abbreviation;matt_omissions;tempo_smoothing;matt_nonuse_of_mark_gap,expansion;mark_additions;tempo_intensification;mark_preserves_extra_material
6,Mark 2:5,Mark 2:22,Matt 9:2,Matt 9:17,15,0.458111,high,3,1,375,313,36,15,0.833333,abbreviation;matt_omissions;tempo_smoothing;matt_interposition,expansion;mark_additions;tempo_intensification;mark_nonuse_of_matt_gap
7,Mark 2:23,Mark 3:7,Matt 12:1,Matt 12:15,12,0.377841,medium,1,3,223,240,18,8,0.8,length_neutral;matt_additions;tempo_smoothing;matt_interposition,length_neutral;mark_omissions;tempo_intensification;mark_nonuse_of_matt_gap
8,Mark 3:21,Mark 3:29,Matt 12:23,Matt 12:32,7,0.313823,medium,2,3,147,200,10,6,0.7,expansion;matt_additions;matt_nonuse_of_mark_gap,abbreviation;mark_omissions;mark_preserves_extra_material
9,Mark 3:31,Mark 4:11,Matt 12:46,Matt 13:11,15,0.531866,high,1,1,267,253,31,10,0.9375,length_neutral;terminology_shift;verbal_smoothing;matt_interposition,length_neutral;terminology_shift;verbal_vividization;mark_nonuse_of_matt_gap
10,Mark 4:14,Mark 4:20,Matt 13:18,Matt 13:23,6,0.489696,high,1,0,132,129,11,4,0.857143,length_neutral;matt_omissions;tempo_smoothing,length_neutral;mark_additions;tempo_intensification
11,Mark 4:31,Mark 4:34,Matt 13:31,Matt 13:34,3,0.242945,low,1,1,68,88,5,2,0.75,expansion;redistribution,abbreviation;redistribution
12,Mark 6:2,Mark 6:5,Matt 13:54,Matt 13:58,4,0.414693,high,0,1,105,96,11,3,0.8,length_neutral;matt_additions;verbal_vividization;matt_nonuse_of_mark_gap,length_neutral;mark_omissions;verbal_smoothing;mark_preserves_extra_material
13,Mark 6:14,Mark 7:3,Matt 14:2,Matt 15:2,30,0.376474,medium,16,7,799,577,65,35,0.652174,abbreviation;matt_omissions;tempo_smoothing;matt_nonuse_of_mark_gap,expansion;mark_additions;tempo_intensification;mark_preserves_extra_material
14,Mark 7:9,Mark 7:29,Matt 15:3,Matt 15:28,15,0.384772,medium,5,11,329,388,26,16,0.576923,expansion;matt_additions;tempo_smoothing;matt_nonuse_of_mark_gap,abbreviation;mark_omissions;tempo_intensification;mark_preserves_extra_material
15,Mark 8:2,Mark 8:20,Matt 15:32,Matt 16:10,15,0.341707,medium,4,3,277,272,22,16,0.789474,length_neutral;matt_omissions;tempo_smoothing;matt_nonuse_of_mark_gap,length_neutral;mark_additions;tempo_intensification;mark_preserves_extra_material
16,Mark 8:27,Mark 9:19,Matt 16:13,Matt 17:17,25,0.450842,high,6,8,585,645,49,32,0.757576,length_neutral;matt_additions;tempo_smoothing;terminology_shift;descripturalization,length_neutral;mark_omissions;tempo_intensification;terminology_shift;scripturalization
17,Mark 9:42,Mark 9:47,Matt 18:6,Matt 18:9,3,0.509813,medium,1,1,113,120,13,5,0.75,length_neutral;verbal_vividization;matt_nonuse_of_mark_gap,length_neutral;verbal_smoothing;mark_preserves_extra_material
18,Mark 10:6,Mark 10:31,Matt 19:4,Matt 19:30,20,0.461435,high,6,7,428,486,28,36,0.740741,length_neutral;matt_additions;terminology_shift;matt_interposition,length_neutral;mark_omissions;terminology_shift;mark_nonuse_of_matt_gap
19,Mark 10:32,Mark 11:17,Matt 20:17,Matt 21:13,28,0.453304,high,10,3,691,534,62,41,0.736842,abbreviation;matt_omissions;scripturalization;matt_interposition,expansion;mark_additions;descripturalization;mark_nonuse_of_matt_gap
20,Mark 11:21,Mark 12:10,Matt 21:20,Matt 21:42,17,0.468388,high,5,6,370,453,34,17,0.73913,expansion;matt_additions,abbreviation;mark_omissions
21,Mark 12:13,Mark 12:37,Matt 22:15,Matt 22:45,20,0.411023,high,5,11,493,423,44,21,0.645161,abbreviation;matt_additions;descripturalization;matt_interposition,expansion;mark_omissions;scripturalization;mark_nonuse_of_matt_gap
22,Mark 13:1,Mark 13:32,Matt 24:1,Matt 24:36,27,0.629637,high,5,9,539,585,44,21,0.75,length_neutral;matt_additions;tempo_intensification;matt_interposition,length_neutral;mark_omissions;tempo_smoothing;mark_nonuse_of_matt_gap
23,Mark 14:1,Mark 15:1,Matt 26:4,Matt 27:1,64,0.449605,high,9,9,1223,1211,85,52,0.876712,length_neutral;tempo_smoothing;scripturalization;matt_interposition,length_neutral;tempo_intensification;descripturalization;mark_nonuse_of_matt_gap
24,Mark 15:2,Mark 15:47,Matt 27:11,Matt 27:61,37,0.363253,medium,8,14,646,776,56,39,0.72549,expansion;matt_additions;tempo_intensification;scripturalization;matt_interposition,abbreviation;mark_omissions;tempo_smoothing;descripturalization;mark_nonuse_of_matt_gap
25,Mark 16:6,Mark 16:7,Matt 28:6,Matt 28:7,2,0.386416,medium,0,0,43,38,0,1,1.0,length_neutral;verbal_smoothing,length_neutral;verbal_vividization
