block_id,mark_start_ref,mark_end_ref,matt_start_ref,matt_end_ref,pair_count,avg_score,confidence,mark_unmatched_verse_count,matt_unmatched_verse_count,mark_token_count,matt_token_count,mark_variant_count,matt_variant_count,span_density
1,Mark 1:3,Mark 1:3,Matt 3:3,Matt 3:3,1,0.724305,low,0,0,14,24,0,1,1.0
2,Mark 1:6,Mark 1:6,Matt 3:4,Matt 3:4,1,0.599029,low,0,0,20,27,1,1,1.0
3,Mark 1:8,Mark 1:13,Matt 3:11,Matt 4:2,6,0.348189,medium,0,3,94,175,11,10,0.666667
4,Mark 1:15,Mark 1:21,Matt 4:17,Matt 4:23,7,0.398465,medium,0,0,112,131,9,1,1.0
5,Mark 1:22,Mark 1:22,Matt 7:29,Matt 7:29,1,0.714092,low,0,0,18,13,0,1,1.0
6,Mark 1:40,Mark 1:41,Matt 8:2,Matt 8:3,2,0.508445,medium,0,0,29,28,4,2,1.0
7,Mark 1:44,Mark 2:1,Matt 8:4,Matt 8:5,2,0.44944,medium,1,0,66,34,5,1,0.666667
8,Mark 2:5,Mark 2:22,Matt 9:2,Matt 9:17,15,0.458111,high,3,1,375,313,36,15,0.833333
9,Mark 2:23,Mark 3:7,Matt 12:1,Matt 12:15,12,0.377841,medium,1,3,223,240,18,8,0.8
10,Mark 3:21,Mark 3:22,Matt 12:23,Matt 12:24,2,0.242105,low,0,0,33,31,0,0,1.0
11,Mark 3:25,Mark 3:29,Matt 12:25,Matt 12:32,5,0.34251,medium,0,3,90,169,10,6,0.625
12,Mark 3:31,Mark 4:11,Matt 12:46,Matt 13:11,15,0.531866,high,1,1,267,253,31,10,0.9375
13,Mark 4:14,Mark 4:20,Matt 13:18,Matt 13:23,6,0.489696,high,1,0,132,129,11,4,0.857143
14,Mark 4:31,Mark 4:34,Matt 13:31,Matt 13:34,3,0.242945,low,1,1,68,88,5,2,0.75
15,Mark 6:2,Mark 6:5,Matt 13:54,Matt 13:58,4,0.414693,high,0,1,105,96,11,3,0.8
16,Mark 6:14,Mark 6:14,Matt 14:2,Matt 14:2,1,0.308781,low,0,0,28,23,2,0,1.0
