book,ref,chapter,verse,token_count,content_token_count,short_verse,citation_formula,formulaic_speech,high_stop_ratio,low_information,content_ratio,tote,simeron,kingdom_god,kingdom_heaven,pleroo,grapho
Matt,Matt 1:1,1,1,8,8,False,False,False,False,False,1.0,0,0,0,0,0,0
Matt,Matt 1:2,1,2,18,10,False,False,False,False,False,0.5556,0,0,0,0,0,0
Matt,Matt 1:3,1,3,21,11,False,False,False,False,False,0.5238,0,0,0,0,0,0
Matt,Matt 1:4,1,4,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:5,1,5,21,11,False,False,False,False,False,0.5238,0,0,0,0,0,0
Matt,Matt 1:6,1,6,16,8,False,False,False,False,False,0.5,0,0,0,0,0,0
Matt,Matt 1:7,1,7,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:8,1,8,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:9,1,9,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:10,1,10,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:11,1,11,13,6,False,False,False,False,False,0.4615,0,0,0,0,0,0
Matt,Matt 1:12,1,12,14,8,False,False,False,False,False,0.5714,0,0,0,0,0,0
Matt,Matt 1:13,1,13,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:14,1,14,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:15,1,15,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:16,1,16,15,9,False,False,False,False,False,0.6,0,0,0,0,0,0
Matt,Matt 1:17,1,17,29,16,False,False,False,False,False,0.5517,0,0,0,0,0,0
Matt,Matt 1:18,1,18,26,16,False,False,False,False,False,0.6154,0,0,0,0,0,0
Matt,Matt 1:19,1,19,16,10,False,False,False,False,False,0.625,0,0,0,0,0,0
Matt,Matt 1:20,1,20,31,19,False,False,False,False,False,0.6129,0,0,0,0,0,0
Matt,Matt 1:21,1,21,19,8,False,False,False,False,False,0.4211,0,0,0,0,0,0
Matt,Matt 1:22,1,22,14,8,False,True,False,False,True,0.5714,0,0,0,0,1,0
Matt,Matt 1:23,1,23,22,11,False,False,False,False,False,0.5,0,0,0,0,0,0
Matt,Matt 1:24,1,24,19,9,False,False,False,False,False,0.4737,0,0,0,0,0,0
Matt,Matt 1:25,1,25,14,7,False,False,False,False,False,0.5,0,0,0,0,0,0
Matt,Matt 2:1,2,1,20,11,False,False,False,False,False,0.55,0,0,0,0,0,0
Matt,Matt 2:2,2,2,20,11,False,False,False,False,False,0.55,0,0,0,0,0,0
Matt,Matt 2:3,2,3,11,6,False,False,False,False,False,0.5455,0,0,0,0,0,0
Matt,Matt 2:4,2,4,16,9,False,False,False,False,False,0.5625,0,0,0,0,0,0
Matt,Matt 2:5,2,5,14,6,False,True,False,False,True,0.4286,0,0,0,0,0,1
Matt,Matt 2:6,2,6,24,13,False,False,False,False,False,0.5417,0,0,0,0,0,0
Matt,Matt 2:7,2,7,14,9,False,False,False,False,False,0.6429,1,0,0,0,0,0
Matt,Matt 2:8,2,8,22,11,False,False,False,False,False,0.5,0,0,0,0,0,0
Matt,Matt 2:9,2,9,25,12,False,False,False,False,False,0.48,0,0,0,0,0,0
Matt,Matt 2:10,2,10,8,6,False,False,False,False,False,0.75,0,0,0,0,0,0
Matt,Matt 2:11,2,11,30,15,False,False,True,False,False,0.5,0,0,0,0,0,0
Matt,Matt 2:12,2,12,16,9,False,False,False,False,False,0.5625,0,0,0,0,0,0
Matt,Matt 2:13,2,13,40,21,False,False,False,False,False,0.525,0,0,0,0,0,0
Matt,Matt 2:14,2,14,15,7,False,False,False,False,False,0.4667,0,0,0,0,0,0
Matt,Matt 2:15,2,15,23,12,False,True,False,False,True,0.5217,0,0,0,0,1,0
Matt,Matt 2:16,2,16,37,19,False,False,False,False,False,0.5135,1,0,0,0,0,0
Matt,Matt 2:17,2,17,9,6,False,True,False,False,True,0.6667,1,0,0,0,1,0
Matt,Matt 2:18,2,18,20,14,False,False,False,False,False,0.7,0,0,0,0,0,0
Matt,Matt 2:19,2,19,14,8,False,False,False,False,False,0.5714,0,0,0,0,0,0
Matt,Matt 2:20,2,20,22,12,False,False,False,False,False,0.5455,0,0,0,0,0,0
Matt,Matt 2:21,2,21,15,7,False,False,False,False,False,0.4667,0,0,0,0,0,0
Matt,Matt 2:22,2,22,25,14,False,False,False,False,False,0.56,0,0,0,0,0,0
Matt,Matt 2:23,2,23,17,11,False,True,True,False,True,0.6471,0,0,0,0,1,0
Matt,Matt 3:1,3,1,15,8,False,False,False,False,False,0.5333,0,0,0,0,0,0
Matt,Matt 3:2,3,2,9,5,False,False,True,False,False,0.5556,0,0,0,1,0,0
Matt,Matt 3:3,3,3,24,15,False,True,False,False,True,0.625,0,0,0,0,0,0
Matt,Matt 3:4,3,4,27,13,False,False,False,False,False,0.4815,0,0,0,0,0,0
Matt,Matt 3:5,3,5,15,8,False,False,False,False,False,0.5333,1,0,0,0,0,0
