luke_ref,rank,matt_ref,score,score_content,score_all,window_support,nonlocality_vs_primary
Luke 1:1,1,Matt 18:19,0.07588,0.076866,0.073345,0.037744,579.0
Luke 1:1,2,Matt 24:11,0.055845,0.060379,0.044188,0.032699,800.0
Luke 1:1,3,Matt 24:5,0.054311,0.053771,0.0557,0.023098,794.0
Luke 1:1,4,Matt 15:30,0.033852,0.037083,0.025545,0.009914,498.0
Luke 1:1,5,Matt 8:18,0.032453,0.027388,0.045477,0.010198,198.0
Luke 1:1,6,Matt 8:1,0.031948,0.034781,0.024664,0.008758,181.0
Luke 1:1,7,Matt 19:2,0.031939,0.035159,0.02366,0.031948,597.0
Luke 1:1,8,Matt 26:28,0.031073,0.02486,0.047048,0.02059,914.0
Luke 1:1,9,Matt 10:31,0.029973,0.033061,0.022031,0.025094,283.0
Luke 1:1,10,Matt 20:29,0.029522,0.03281,0.021066,0.01227,654.0
Luke 1:1,11,Matt 22:14,0.028494,0.030983,0.022095,0.026611,719.0
Luke 1:1,12,Matt 24:10,0.027874,0.031858,0.017628,0.037944,799.0
Luke 1:1,13,Matt 7:22,0.02729,0.026344,0.029723,0.023512,173.0
Luke 1:1,14,Matt 9:37,0.027206,0.028407,0.024119,0.011374,251.0
Luke 1:1,15,Matt 26:9,0.027157,0.029285,0.021686,0.007773,895.0
Luke 1:1,16,Matt 13:58,0.026979,0.029276,0.021072,0.009432,432.0
Luke 1:1,17,Matt 24:12,0.02628,0.027708,0.022607,0.019828,801.0
Luke 1:1,18,Matt 13:3,0.025938,0.026228,0.025192,0.014754,377.0
Luke 1:1,19,Matt 8:30,0.025157,0.027419,0.019341,0.010882,210.0
Luke 1:1,20,Matt 19:30,0.024811,0.026957,0.019292,0.008094,625.0
Luke 1:2,1,Matt 24:21,0.103682,0.095835,0.123859,0.03512,810.0
Luke 1:2,2,Matt 24:8,0.103544,0.111785,0.082352,0.050092,797.0
Luke 1:2,3,Matt 12:37,0.098323,0.093125,0.111689,0.05709,361.0
Luke 1:2,4,Matt 19:8,0.094275,0.085366,0.117183,0.027221,603.0
Luke 1:2,5,Matt 19:4,0.085745,0.072225,0.120512,0.026943,599.0
