matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,rank,luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,score
Matt 1:1,Matt 1:2,Matt 1:3,1,Luke 3:32,Luke 3:33,Luke 3:34,0.183294
Matt 1:1,Matt 1:2,Matt 1:3,2,Luke 3:33,Luke 3:34,Luke 3:35,0.18213
Matt 1:1,Matt 1:2,Matt 1:3,3,Luke 3:31,Luke 3:32,Luke 3:33,0.115673
Matt 1:1,Matt 1:2,Matt 1:3,4,Luke 1:55,Luke 1:56,Luke 1:57,0.095497
Matt 1:1,Matt 1:2,Matt 1:3,5,Luke 20:41,Luke 20:42,Luke 20:43,0.086209
Matt 1:1,Matt 1:2,Matt 1:3,6,Luke 3:34,Luke 3:35,Luke 3:36,0.085216
Matt 1:1,Matt 1:2,Matt 1:3,7,Luke 20:40,Luke 20:41,Luke 20:42,0.084975
Matt 1:1,Matt 1:2,Matt 1:3,8,Luke 1:33,Luke 1:34,Luke 1:35,0.081117
Matt 1:1,Matt 1:2,Matt 1:3,9,Luke 1:12,Luke 1:13,Luke 1:14,0.078768
Matt 1:1,Matt 1:2,Matt 1:3,10,Luke 1:13,Luke 1:14,Luke 1:15,0.071793
Matt 1:2,Matt 1:3,Matt 1:4,1,Luke 3:32,Luke 3:33,Luke 3:34,0.207131
Matt 1:2,Matt 1:3,Matt 1:4,2,Luke 3:33,Luke 3:34,Luke 3:35,0.174544
Matt 1:2,Matt 1:3,Matt 1:4,3,Luke 3:31,Luke 3:32,Luke 3:33,0.152288
Matt 1:2,Matt 1:3,Matt 1:4,4,Luke 1:55,Luke 1:56,Luke 1:57,0.092015
Matt 1:2,Matt 1:3,Matt 1:4,5,Luke 1:33,Luke 1:34,Luke 1:35,0.083557
Matt 1:2,Matt 1:3,Matt 1:4,6,Luke 1:56,Luke 1:57,Luke 1:58,0.076955
Matt 1:2,Matt 1:3,Matt 1:4,7,Luke 1:57,Luke 1:58,Luke 1:59,0.07561
Matt 1:2,Matt 1:3,Matt 1:4,8,Luke 23:29,Luke 23:30,Luke 23:31,0.071802
Matt 1:2,Matt 1:3,Matt 1:4,9,Luke 1:11,Luke 1:12,Luke 1:13,0.070068
Matt 1:2,Matt 1:3,Matt 1:4,10,Luke 1:12,Luke 1:13,Luke 1:14,0.069576
Matt 1:3,Matt 1:4,Matt 1:5,1,Luke 3:32,Luke 3:33,Luke 3:34,0.154432
Matt 1:3,Matt 1:4,Matt 1:5,2,Luke 3:31,Luke 3:32,Luke 3:33,0.152408
Matt 1:3,Matt 1:4,Matt 1:5,3,Luke 3:33,Luke 3:34,Luke 3:35,0.107919
Matt 1:3,Matt 1:4,Matt 1:5,4,Luke 1:55,Luke 1:56,Luke 1:57,0.080295
Matt 1:3,Matt 1:4,Matt 1:5,5,Luke 1:56,Luke 1:57,Luke 1:58,0.073147
Matt 1:3,Matt 1:4,Matt 1:5,6,Luke 1:57,Luke 1:58,Luke 1:59,0.071919
Matt 1:3,Matt 1:4,Matt 1:5,7,Luke 23:29,Luke 23:30,Luke 23:31,0.06841
Matt 1:3,Matt 1:4,Matt 1:5,8,Luke 1:11,Luke 1:12,Luke 1:13,0.067558
Matt 1:3,Matt 1:4,Matt 1:5,9,Luke 1:12,Luke 1:13,Luke 1:14,0.066048
Matt 1:3,Matt 1:4,Matt 1:5,10,Luke 23:28,Luke 23:29,Luke 23:30,0.065906
Matt 1:4,Matt 1:5,Matt 1:6,1,Luke 3:31,Luke 3:32,Luke 3:33,0.126022
Matt 1:4,Matt 1:5,Matt 1:6,2,Luke 3:32,Luke 3:33,Luke 3:34,0.110073
Matt 1:4,Matt 1:5,Matt 1:6,3,Luke 3:30,Luke 3:31,Luke 3:32,0.097213
Matt 1:4,Matt 1:5,Matt 1:6,4,Luke 1:55,Luke 1:56,Luke 1:57,0.078724
Matt 1:4,Matt 1:5,Matt 1:6,5,Luke 1:56,Luke 1:57,Luke 1:58,0.071505
Matt 1:4,Matt 1:5,Matt 1:6,6,Luke 1:57,Luke 1:58,Luke 1:59,0.070592
Matt 1:4,Matt 1:5,Matt 1:6,7,Luke 23:29,Luke 23:30,Luke 23:31,0.066685
Matt 1:4,Matt 1:5,Matt 1:6,8,Luke 1:11,Luke 1:12,Luke 1:13,0.066166
Matt 1:4,Matt 1:5,Matt 1:6,9,Luke 1:12,Luke 1:13,Luke 1:14,0.064281
Matt 1:4,Matt 1:5,Matt 1:6,10,Luke 23:28,Luke 23:29,Luke 23:30,0.064196
Matt 1:5,Matt 1:6,Matt 1:7,1,Luke 1:55,Luke 1:56,Luke 1:57,0.078827
Matt 1:5,Matt 1:6,Matt 1:7,2,Luke 1:56,Luke 1:57,Luke 1:58,0.071599
