luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,rank,matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,score
Luke 1:1,Luke 1:2,Luke 1:3,1,Matt 24:8,Matt 24:9,Matt 24:10,0.050092
Luke 1:1,Luke 1:2,Luke 1:3,2,Matt 26:23,Matt 26:24,Matt 26:25,0.03964
Luke 1:1,Luke 1:2,Luke 1:3,3,Matt 24:9,Matt 24:10,Matt 24:11,0.037944
Luke 1:1,Luke 1:2,Luke 1:3,4,Matt 18:19,Matt 18:20,Matt 18:21,0.037744
Luke 1:1,Luke 1:2,Luke 1:3,5,Matt 24:19,Matt 24:20,Matt 24:21,0.035919
Luke 1:1,Luke 1:2,Luke 1:3,6,Matt 13:20,Matt 13:21,Matt 13:22,0.033249
Luke 1:1,Luke 1:2,Luke 1:3,7,Matt 13:21,Matt 13:22,Matt 13:23,0.033172
Luke 1:1,Luke 1:2,Luke 1:3,8,Matt 26:22,Matt 26:23,Matt 26:24,0.032823
Luke 1:1,Luke 1:2,Luke 1:3,9,Matt 27:51,Matt 27:52,Matt 27:53,0.032812
Luke 1:1,Luke 1:2,Luke 1:3,10,Matt 24:10,Matt 24:11,Matt 24:12,0.032699
Luke 1:2,Luke 1:3,Luke 1:4,1,Matt 13:21,Matt 13:22,Matt 13:23,0.057712
Luke 1:2,Luke 1:3,Luke 1:4,2,Matt 12:36,Matt 12:37,Matt 12:38,0.05709
Luke 1:2,Luke 1:3,Luke 1:4,3,Matt 13:20,Matt 13:21,Matt 13:22,0.057054
Luke 1:2,Luke 1:3,Luke 1:4,4,Matt 11:26,Matt 11:27,Matt 11:28,0.051123
Luke 1:2,Luke 1:3,Luke 1:4,5,Matt 13:19,Matt 13:20,Matt 13:21,0.050469
Luke 1:2,Luke 1:3,Luke 1:4,6,Matt 24:8,Matt 24:9,Matt 24:10,0.048434
Luke 1:2,Luke 1:3,Luke 1:4,7,Matt 12:35,Matt 12:36,Matt 12:37,0.046746
Luke 1:2,Luke 1:3,Luke 1:4,8,Matt 13:22,Matt 13:23,Matt 13:24,0.045289
Luke 1:2,Luke 1:3,Luke 1:4,9,Matt 11:27,Matt 11:28,Matt 11:29,0.044871
Luke 1:2,Luke 1:3,Luke 1:4,10,Matt 26:23,Matt 26:24,Matt 26:25,0.042368
Luke 1:3,Luke 1:4,Luke 1:5,1,Matt 1:24,Matt 1:25,Matt 2:1,0.102823
Luke 1:3,Luke 1:4,Luke 1:5,2,Matt 1:25,Matt 2:1,Matt 2:2,0.099537
Luke 1:3,Luke 1:4,Luke 1:5,3,Matt 2:1,Matt 2:2,Matt 2:3,0.0979
Luke 1:3,Luke 1:4,Luke 1:5,4,Matt 7:20,Matt 7:21,Matt 7:22,0.05561
Luke 1:3,Luke 1:4,Luke 1:5,5,Matt 2:3,Matt 2:4,Matt 2:5,0.055424
Luke 1:3,Luke 1:4,Luke 1:5,6,Matt 1:23,Matt 1:24,Matt 1:25,0.047195
Luke 1:3,Luke 1:4,Luke 1:5,7,Matt 14:4,Matt 14:5,Matt 14:6,0.04677
Luke 1:3,Luke 1:4,Luke 1:5,8,Matt 7:22,Matt 7:23,Matt 7:24,0.046181
Luke 1:3,Luke 1:4,Luke 1:5,9,Matt 14:5,Matt 14:6,Matt 14:7,0.045323
Luke 1:3,Luke 1:4,Luke 1:5,10,Matt 1:21,Matt 1:22,Matt 1:23,0.043465
Luke 1:4,Luke 1:5,Luke 1:6,1,Matt 1:24,Matt 1:25,Matt 2:1,0.110992
Luke 1:4,Luke 1:5,Luke 1:6,2,Matt 1:25,Matt 2:1,Matt 2:2,0.1053
Luke 1:4,Luke 1:5,Luke 1:6,3,Matt 2:1,Matt 2:2,Matt 2:3,0.103696
Luke 1:4,Luke 1:5,Luke 1:6,4,Matt 7:20,Matt 7:21,Matt 7:22,0.071894
Luke 1:4,Luke 1:5,Luke 1:6,5,Matt 10:41,Matt 10:42,Matt 11:1,0.059993
Luke 1:4,Luke 1:5,Luke 1:6,6,Matt 1:23,Matt 1:24,Matt 1:25,0.058653
Luke 1:4,Luke 1:5,Luke 1:6,7,Matt 7:21,Matt 7:22,Matt 7:23,0.058319
Luke 1:4,Luke 1:5,Luke 1:6,8,Matt 1:21,Matt 1:22,Matt 1:23,0.055244
Luke 1:4,Luke 1:5,Luke 1:6,9,Matt 7:22,Matt 7:23,Matt 7:24,0.05438
Luke 1:4,Luke 1:5,Luke 1:6,10,Matt 1:22,Matt 1:23,Matt 1:24,0.052495
Luke 1:5,Luke 1:6,Luke 1:7,1,Matt 1:24,Matt 1:25,Matt 2:1,0.110513
Luke 1:5,Luke 1:6,Luke 1:7,2,Matt 1:25,Matt 2:1,Matt 2:2,0.10899
Luke 1:5,Luke 1:6,Luke 1:7,3,Matt 2:1,Matt 2:2,Matt 2:3,0.104415
Luke 1:5,Luke 1:6,Luke 1:7,4,Matt 7:20,Matt 7:21,Matt 7:22,0.065
Luke 1:5,Luke 1:6,Luke 1:7,5,Matt 1:23,Matt 1:24,Matt 1:25,0.061431
Luke 1:5,Luke 1:6,Luke 1:7,6,Matt 7:21,Matt 7:22,Matt 7:23,0.061168
