id,level,pair_count,avg_score,confidence,matt_start_ref,matt_end_ref,luke_start_ref,luke_end_ref,matt_span_verse_count,luke_span_verse_count,unmatched_matt_count,unmatched_luke_count,matt_token_count,luke_token_count,secondary_echo_count,matt_tote,luke_tote,matt_simeron,luke_simeron,matt_kingdom_god,matt_kingdom_heaven,luke_kingdom_god,luke_kingdom_heaven,matt_present_indicative_ratio,luke_present_indicative_ratio,matt_prior_overall_strain,luke_prior_overall_strain
1,macro,1,0.181643,low,Matt 1:21,Matt 1:21,Luke 1:13,Luke 1:13,1,1,0,0,19,28,3,0,0,0,0,0,0,0,0,0.0,0.0,low,low
2,macro,2,0.376184,medium,Matt 1:23,Matt 1:25,Luke 1:27,Luke 1:31,3,5,1,3,55,68,7,0,0,0,0,0,0,0,0,0.1,0.0,low,low
3,macro,1,0.180106,low,Matt 2:10,Matt 2:10,Luke 2:10,Luke 2:10,1,1,0,0,8,18,1,0,0,0,0,0,0,0,0,0.0,0.3333,low,low
4,macro,8,0.609856,high,Matt 3:3,Matt 3:17,Luke 3:4,Luke 3:22,15,19,7,11,307,359,32,3,0,0,0,0,0,0,0,0.5,0.303,medium,medium
5,macro,7,0.404949,medium,Matt 4:1,Matt 4:7,Luke 4:1,Luke 4:12,7,12,0,5,122,192,21,2,0,0,0,0,0,0,0,0.2353,0.1034,low,medium
6,macro,1,0.237035,low,Matt 4:23,Matt 4:23,Luke 4:15,Luke 4:15,1,1,0,0,27,10,2,0,0,0,0,0,0,0,0,0.0,0.0,low,low
7,macro,1,0.276903,low,Matt 7:28,Matt 7:28,Luke 4:32,Luke 4:32,1,1,0,0,16,13,1,0,0,0,0,0,0,0,0,0.0,0.0,low,low
8,macro,3,0.566925,high,Matt 8:2,Matt 8:4,Luke 5:12,Luke 5:14,3,3,0,0,52,71,5,0,0,0,0,0,0,0,0,0.4286,0.25,low,low
9,macro,15,0.395373,medium,Matt 9:2,Matt 9:17,Luke 5:20,Luke 5:37,16,18,1,3,313,345,34,3,1,0,1,0,0,0,0,0.6047,0.36,medium,medium
10,macro,4,0.252561,low,Matt 9:34,Matt 10:4,Luke 6:2,Luke 6:16,9,15,5,11,156,262,42,1,0,0,0,0,0,0,0,0.375,0.1944,medium,high
11,macro,1,0.139921,low,Matt 10:22,Matt 10:22,Luke 6:22,Luke 6:22,1,1,0,0,16,25,2,0,0,0,0,0,0,0,0,0.0,1.0,low,low
12,macro,1,0.508187,medium,Matt 10:24,Matt 10:24,Luke 6:40,Luke 6:40,1,1,0,0,12,14,1,0,0,0,0,0,0,0,0,1.0,0.5,low,low
13,macro,13,0.572213,high,Matt 11:2,Matt 11:19,Luke 7:18,Luke 7:34,18,17,5,4,265,295,31,0,0,0,0,0,2,1,0,0.5909,0.5,medium,medium
14,macro,1,0.177348,low,Matt 12:4,Matt 12:4,Luke 7:36,Luke 7:36,1,1,0,0,28,18,2,0,0,0,0,0,0,0,0,0.0,0.0,low,low
15,macro,15,0.22885,low,Matt 12:31,Matt 13:23,Luke 7:47,Luke 8:15,43,19,28,4,838,350,93,3,0,0,0,0,1,2,0,0.4393,0.4255,high,high
16,macro,1,0.121777,low,Matt 13:37,Matt 13:37,Luke 8:21,Luke 8:21,1,1,0,0,14,21,10,0,0,0,0,0,0,0,0,0.5,0.5,low,medium
17,macro,1,0.131545,low,Matt 13:51,Matt 13:51,Luke 8:45,Luke 8:45,1,1,0,0,6,21,2,0,0,0,0,0,0,0,0,0.5,0.5,low,low
18,macro,6,0.312689,low,Matt 14:1,Matt 14:20,Luke 9:7,Luke 9:17,20,11,14,5,318,217,18,0,0,0,0,0,0,1,0,0.1951,0.125,high,low
19,macro,1,0.132575,low,Matt 15:10,Matt 15:10,Luke 9:18,Luke 9:18,1,1,0,0,9,23,3,0,0,0,0,0,0,0,0,0.0,0.25,low,low
20,macro,21,0.396067,medium,Matt 16:14,Matt 18:5,Luke 9:19,Luke 9:48,46,30,25,9,896,590,83,6,0,0,0,0,4,1,0,0.3578,0.2754,high,high
21,macro,3,0.190414,low,Matt 18:10,Matt 18:13,Luke 15:3,Luke 15:7,3,5,0,2,75,89,12,0,0,0,0,0,0,0,0,0.8571,0.6667,medium,medium
22,macro,4,0.188362,low,Matt 18:14,Matt 18:33,Luke 17:2,Luke 17:13,20,12,16,8,361,192,13,2,0,0,0,0,1,0,0,0.2632,0.25,high,medium
23,macro,2,0.137583,low,Matt 19:5,Matt 19:6,Luke 17:34,Luke 17:35,2,2,0,0,38,30,5,0,0,0,0,0,0,0,0,0.1667,0.1429,low,low
24,macro,13,0.317064,low,Matt 19:13,Matt 19:29,Luke 18:15,Luke 18:29,17,15,4,2,308,240,36,2,0,0,0,1,2,5,0,0.3182,0.3548,high,medium
25,macro,6,0.252396,low,Matt 20:18,Matt 20:34,Luke 18:31,Luke 18:43,17,13,11,7,281,169,34,1,0,0,0,0,0,0,0,0.3659,0.1034,high,medium
26,macro,24,0.361107,medium,Matt 21:1,Matt 21:45,Luke 19:29,Luke 20:19,45,39,21,15,852,635,60,1,0,1,0,2,0,0,0,0.2302,0.1304,high,medium
27,macro,18,0.357389,medium,Matt 22:16,Matt 23:19,Luke 20:21,Luke 21:1,49,28,31,10,717,373,69,2,0,0,0,0,1,0,0,0.5765,0.48,high,medium
28,macro,14,0.517871,medium,Matt 24:2,Matt 24:35,Luke 21:6,Luke 21:33,34,28,20,14,544,427,52,8,4,0,0,0,0,1,0,0.2222,0.225,high,medium
29,macro,10,0.285976,low,Matt 26:3,Matt 26:29,Luke 22:2,Luke 22:18,27,17,17,7,418,229,33,3,0,0,0,0,0,2,0,0.3396,0.2,high,medium
30,macro,32,0.282191,low,Matt 26:30,Matt 28:8,Luke 22:39,Luke 24:12,120,100,88,68,1933,1521,115,18,1,2,2,0,0,1,0,0.2652,0.1897,high,high
31,macro,1,0.122325,low,Matt 28:16,Matt 28:16,Luke 24:28,Luke 24:28,1,1,0,0,16,12,0,0,0,0,0,0,0,0,0,0.0,0.0,low,low
32,macro,2,0.130623,low,Matt 28:19,Matt 28:20,Luke 24:47,Luke 24:53,2,7,0,5,41,92,3,0,0,0,0,0,0,0,0,0.5,0.2222,low,medium
