id,level,pair_count,avg_score,confidence,matt_start_ref,matt_end_ref,luke_start_ref,luke_end_ref,matt_span_verse_count,luke_span_verse_count,unmatched_matt_count,unmatched_luke_count,matt_token_count,luke_token_count,matt_tote,luke_tote,matt_simeron,luke_simeron,matt_kingdom_god,matt_kingdom_heaven,luke_kingdom_god,luke_kingdom_heaven,matt_present_indicative_ratio,luke_present_indicative_ratio
1,micro,1,0.181643,low,Matt 1:21,Matt 1:21,Luke 1:13,Luke 1:13,1,1,0,0,19,28,0,0,0,0,0,0,0,0,0.0,0.0
2,micro,2,0.376184,medium,Matt 1:23,Matt 1:25,Luke 1:27,Luke 1:31,3,5,1,3,55,68,0,0,0,0,0,0,0,0,0.1,0.0
3,micro,1,0.180106,low,Matt 2:10,Matt 2:10,Luke 2:10,Luke 2:10,1,1,0,0,8,18,0,0,0,0,0,0,0,0,0.0,0.3333
4,micro,4,0.719415,high,Matt 3:3,Matt 3:10,Luke 3:4,Luke 3:9,8,6,4,2,155,123,1,0,0,0,0,0,0,0,0.5385,0.4615
5,micro,4,0.500297,medium,Matt 3:11,Matt 3:17,Luke 3:16,Luke 3:22,7,7,3,3,152,144,2,0,0,0,0,0,0,0,0.4737,0.3077
6,micro,7,0.404949,medium,Matt 4:1,Matt 4:7,Luke 4:1,Luke 4:12,7,12,0,5,122,192,2,0,0,0,0,0,0,0,0.2353,0.1034
7,micro,1,0.237035,low,Matt 4:23,Matt 4:23,Luke 4:15,Luke 4:15,1,1,0,0,27,10,0,0,0,0,0,0,0,0,0.0,0.0
8,micro,1,0.276903,low,Matt 7:28,Matt 7:28,Luke 4:32,Luke 4:32,1,1,0,0,16,13,0,0,0,0,0,0,0,0,0.0,0.0
9,micro,3,0.566925,high,Matt 8:2,Matt 8:4,Luke 5:12,Luke 5:14,3,3,0,0,52,71,0,0,0,0,0,0,0,0,0.4286,0.25
10,micro,15,0.395373,medium,Matt 9:2,Matt 9:17,Luke 5:20,Luke 5:37,16,18,1,3,313,345,3,1,0,1,0,0,0,0,0.6047,0.36
11,micro,1,0.151026,low,Matt 9:34,Matt 9:34,Luke 6:2,Luke 6:2,1,1,0,0,12,12,0,0,0,0,0,0,0,0,0.5,0.6667
