book,ref,original_idx,masked_as_markan,mask_rule,token_count,content_token_count,cheap_lemma_ratio,low_information,formulaic_proxy,variant_note_count
Matt,Matt 1:1,1,False,unmasked_non_markan,8,8,0.0,False,False,0
Matt,Matt 1:2,2,False,unmasked_non_markan,18,10,0.4444,False,False,0
Matt,Matt 1:3,3,False,unmasked_non_markan,21,11,0.4762,False,False,0
Matt,Matt 1:4,4,False,unmasked_non_markan,15,9,0.4,False,False,0
Matt,Matt 1:5,5,False,unmasked_non_markan,21,11,0.4762,False,False,2
Matt,Matt 1:6,6,False,unmasked_non_markan,16,8,0.5,False,False,1
Matt,Matt 1:7,7,False,unmasked_non_markan,15,9,0.4,False,False,1
Matt,Matt 1:8,8,False,unmasked_non_markan,15,9,0.4,False,False,0
Matt,Matt 1:9,9,False,unmasked_non_markan,15,9,0.4,False,False,0
Matt,Matt 1:10,10,False,unmasked_non_markan,15,9,0.4,False,False,1
Matt,Matt 1:11,11,False,unmasked_non_markan,13,6,0.5385,False,False,0
Matt,Matt 1:12,12,False,unmasked_non_markan,14,8,0.3571,False,False,0
Matt,Matt 1:13,13,False,unmasked_non_markan,15,9,0.4,False,False,0
Matt,Matt 1:14,14,False,unmasked_non_markan,15,9,0.4,False,False,0
Matt,Matt 1:15,15,False,unmasked_non_markan,15,9,0.4,False,False,0
Matt,Matt 1:16,16,False,unmasked_non_markan,15,9,0.4667,False,False,0
Matt,Matt 1:17,17,False,unmasked_non_markan,29,16,0.3448,False,False,0
Matt,Matt 1:18,18,False,unmasked_non_markan,26,16,0.4231,False,False,3
Matt,Matt 1:19,19,False,unmasked_non_markan,16,10,0.5,False,False,1
Matt,Matt 1:20,20,False,unmasked_non_markan,31,18,0.4516,False,False,1
Matt,Matt 1:21,21,False,unmasked_non_markan,19,8,0.5789,False,False,0
Matt,Matt 1:22,22,False,unmasked_non_markan,14,7,0.5,False,False,1
Matt,Matt 1:23,23,False,unmasked_non_markan,22,11,0.5,False,False,0
Matt,Matt 1:24,24,False,unmasked_non_markan,19,9,0.5263,False,False,1
Matt,Matt 1:25,25,False,unmasked_non_markan,14,7,0.5,False,False,1
Matt,Matt 2:1,26,False,unmasked_non_markan,20,11,0.4,False,False,0
Matt,Matt 2:2,27,False,unmasked_non_markan,20,11,0.6,False,False,0
Matt,Matt 2:3,28,False,unmasked_non_markan,11,6,0.4545,False,False,1
Matt,Matt 2:4,29,False,unmasked_non_markan,16,9,0.4375,False,False,0
Matt,Matt 2:5,30,False,unmasked_non_markan,14,6,0.5714,False,False,0
Matt,Matt 2:6,31,False,unmasked_non_markan,24,13,0.4583,False,False,0
Matt,Matt 2:7,32,False,unmasked_non_markan,14,9,0.2857,False,False,0
Matt,Matt 2:8,33,False,unmasked_non_markan,22,11,0.4091,False,False,1
Matt,Matt 2:9,34,False,unmasked_non_markan,25,12,0.48,False,False,1
Matt,Matt 2:10,35,False,unmasked_non_markan,8,6,0.25,False,False,0
Matt,Matt 2:11,36,False,unmasked_non_markan,30,15,0.5,False,False,0
Matt,Matt 2:12,37,False,unmasked_non_markan,16,9,0.375,False,False,0
Matt,Matt 2:13,38,False,unmasked_non_markan,40,21,0.45,False,False,1
Matt,Matt 2:14,39,False,unmasked_non_markan,15,7,0.5333,False,False,0
Matt,Matt 2:15,40,False,unmasked_non_markan,23,12,0.4348,False,False,1
Matt,Matt 2:16,41,False,unmasked_non_markan,37,19,0.4324,False,False,0
Matt,Matt 2:17,42,False,unmasked_non_markan,9,6,0.4444,False,False,1
Matt,Matt 2:18,43,False,unmasked_non_markan,20,14,0.4,False,False,1
Matt,Matt 2:19,44,False,unmasked_non_markan,14,8,0.2857,False,False,1
Matt,Matt 2:20,45,False,unmasked_non_markan,22,12,0.5,False,False,0
Matt,Matt 2:21,46,False,unmasked_non_markan,15,7,0.5333,False,False,1
Matt,Matt 2:22,47,False,unmasked_non_markan,25,14,0.32,False,False,2
Matt,Matt 2:23,48,False,unmasked_non_markan,17,11,0.4118,False,False,0
Matt,Matt 3:1,49,False,unmasked_non_markan,15,7,0.4667,False,False,0
Matt,Matt 3:2,50,False,unmasked_non_markan,9,5,0.5556,False,False,1
Matt,Matt 3:3,51,True,strict_verse,24,14,0.5417,False,False,1
Matt,Matt 3:4,52,True,strict_verse,27,13,0.5556,False,False,1
Matt,Matt 3:5,53,True,local_cluster,15,8,0.6,False,False,0
Matt,Matt 3:6,54,True,strict_verse,12,5,0.5,False,False,1
Matt,Matt 3:7,55,False,unmasked_non_markan,24,13,0.5417,False,False,1
Matt,Matt 3:8,56,False,unmasked_non_markan,6,4,0.3333,False,False,0
Matt,Matt 3:9,57,False,unmasked_non_markan,25,13,0.56,False,False,0
Matt,Matt 3:10,58,False,unmasked_non_markan,22,14,0.4545,False,False,1
Matt,Matt 3:11,59,True,strict_verse,31,15,0.5806,False,False,2
Matt,Matt 3:12,60,False,unmasked_non_markan,26,11,0.5769,False,False,1
Matt,Matt 3:13,61,True,chain_context,17,7,0.5294,False,False,0
Matt,Matt 3:14,62,False,unmasked_non_markan,17,7,0.7059,False,True,1
Matt,Matt 3:15,63,False,unmasked_non_markan,20,13,0.5,False,False,1
Matt,Matt 3:16,64,True,strict_verse,24,13,0.4167,False,False,5
Matt,Matt 3:17,65,True,strict_verse,17,7,0.6471,False,False,0
Matt,Matt 4:1,66,False,unmasked_non_markan,14,7,0.3571,False,False,0
Matt,Matt 4:2,67,False,unmasked_non_markan,9,7,0.2222,False,False,0
Matt,Matt 4:3,68,False,unmasked_non_markan,18,10,0.5556,False,False,1
Matt,Matt 4:4,69,False,unmasked_non_markan,20,13,0.4,False,False,2
Matt,Matt 4:5,70,False,unmasked_non_markan,17,8,0.5294,False,False,1
Matt,Matt 4:6,71,False,unmasked_non_markan,32,14,0.4688,False,False,0
Matt,Matt 4:7,72,False,unmasked_non_markan,12,8,0.4167,False,False,0
Matt,Matt 4:8,73,False,unmasked_non_markan,21,11,0.5238,False,False,0
Matt,Matt 4:9,74,False,unmasked_non_markan,11,5,0.6364,False,False,2
Matt,Matt 4:10,75,False,unmasked_non_markan,18,11,0.4444,False,False,1
Matt,Matt 4:11,76,False,unmasked_non_markan,12,6,0.4167,False,False,0
Matt,Matt 4:12,77,False,unmasked_non_markan,9,5,0.3333,False,False,1
Matt,Matt 4:13,78,False,unmasked_non_markan,15,9,0.4667,False,False,0
Matt,Matt 4:14,79,False,unmasked_non_markan,9,5,0.4444,False,False,0
Matt,Matt 4:15,80,False,unmasked_non_markan,13,9,0.2308,False,False,0
Matt,Matt 4:16,81,False,unmasked_non_markan,20,12,0.4,False,False,2
Matt,Matt 4:17,82,True,chain_context,15,9,0.4667,False,False,0
Matt,Matt 4:18,83,True,strict_verse,27,16,0.4444,False,False,0
Matt,Matt 4:19,84,True,strict_verse,11,5,0.6364,False,False,0
Matt,Matt 4:20,85,True,strict_verse,8,4,0.5,False,False,0
Matt,Matt 4:21,86,True,strict_verse,31,16,0.4516,False,False,0
Matt,Matt 4:22,87,False,unmasked_non_markan,12,5,0.5833,False,False,0
Matt,Matt 4:23,88,False,unmasked_non_markan,27,14,0.5556,False,False,1
Matt,Matt 4:24,89,False,unmasked_non_markan,29,16,0.5172,False,False,1
Matt,Matt 4:25,90,False,unmasked_non_markan,18,8,0.5,False,False,0
Matt,Matt 5:1,91,False,unmasked_non_markan,16,7,0.5625,False,False,0
Matt,Matt 5:2,92,False,unmasked_non_markan,8,4,0.625,False,False,0
Matt,Matt 5:3,93,False,unmasked_non_markan,12,6,0.5,False,False,0
Matt,Matt 5:4,94,False,unmasked_non_markan,6,3,0.3333,False,False,0
Matt,Matt 5:5,95,False,unmasked_non_markan,8,4,0.375,False,False,0
Matt,Matt 5:6,96,False,unmasked_non_markan,10,5,0.4,False,False,0
Matt,Matt 5:7,97,False,unmasked_non_markan,6,3,0.3333,False,False,0
Matt,Matt 5:8,98,False,unmasked_non_markan,10,5,0.4,False,False,0
Matt,Matt 5:9,99,False,unmasked_non_markan,8,5,0.25,False,False,0
Matt,Matt 5:10,100,False,unmasked_non_markan,12,6,0.4167,False,False,0
Matt,Matt 5:11,101,False,unmasked_non_markan,16,8,0.5,False,False,1
Matt,Matt 5:12,102,False,unmasked_non_markan,19,8,0.4737,False,False,0
Matt,Matt 5:13,103,False,unmasked_non_markan,26,14,0.4231,False,False,1
Matt,Matt 5:14,104,False,unmasked_non_markan,13,9,0.3846,False,False,0
Matt,Matt 5:15,105,False,unmasked_non_markan,20,8,0.5,False,False,0
Matt,Matt 5:16,106,False,unmasked_non_markan,23,10,0.4783,False,False,0
Matt,Matt 5:17,107,False,unmasked_non_markan,15,10,0.4,False,False,0
Matt,Matt 5:18,108,True,strict_verse,27,14,0.4444,False,False,0
Matt,Matt 5:19,109,False,unmasked_non_markan,36,17,0.4722,False,False,0
Matt,Matt 5:20,110,False,unmasked_non_markan,23,12,0.5652,False,False,1
Matt,Matt 5:21,111,False,unmasked_non_markan,15,9,0.4667,False,False,0
Matt,Matt 5:22,112,False,unmasked_non_markan,39,19,0.6154,False,False,1
Matt,Matt 5:23,113,False,unmasked_non_markan,19,6,0.4737,False,False,0
Matt,Matt 5:24,114,False,unmasked_non_markan,22,12,0.4545,False,False,0
Matt,Matt 5:25,115,False,unmasked_non_markan,30,13,0.5,False,False,2
Matt,Matt 5:26,116,False,unmasked_non_markan,13,8,0.3846,False,False,0
Matt,Matt 5:27,117,False,unmasked_non_markan,5,4,0.4,False,False,0
Matt,Matt 5:28,118,False,unmasked_non_markan,20,8,0.65,False,False,0
