matt_center_ref,luke_center_ref,matt_window_refs,luke_window_refs,rank,window_score
Matt 1:1,Luke 19:9,Matt 1:1 | Matt 1:2,Luke 19:8 | Luke 19:9 | Luke 19:10,1,0.174730
Matt 1:1,Luke 20:44,Matt 1:1 | Matt 1:2,Luke 20:36 | Luke 20:44 | Luke 20:45,2,0.104178
Matt 1:1,Luke 1:14,Matt 1:1 | Matt 1:2,Luke 1:13 | Luke 1:14 | Luke 1:15,3,0.085885
Matt 1:1,Luke 2:11,Matt 1:1 | Matt 1:2,Luke 2:10 | Luke 2:11 | Luke 2:12,4,0.084276
Matt 1:1,Luke 10:22,Matt 1:1 | Matt 1:2,Luke 10:21 | Luke 10:22 | Luke 10:23,5,0.076886
Matt 1:1,Luke 15:21,Matt 1:1 | Matt 1:2,Luke 15:20 | Luke 15:21 | Luke 15:22,6,0.074327
Matt 1:1,Luke 1:32,Matt 1:1 | Matt 1:2,Luke 1:31 | Luke 1:32 | Luke 1:33,7,0.072959
Matt 1:1,Luke 22:48,Matt 1:1 | Matt 1:2,Luke 22:46 | Luke 22:48 | Luke 22:49,8,0.068768
Matt 1:1,Luke 20:36,Matt 1:1 | Matt 1:2,Luke 20:34 | Luke 20:36 | Luke 20:44,9,0.064530
Matt 1:1,Luke 20:34,Matt 1:1 | Matt 1:2,Luke 20:30 | Luke 20:34 | Luke 20:36,10,0.064429
Matt 1:2,Luke 3:34,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 3:33 | Luke 3:34 | Luke 3:35,1,0.263359
Matt 1:2,Luke 13:28,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 13:27 | Luke 13:28 | Luke 13:29,2,0.164612
Matt 1:2,Luke 1:57,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 1:56 | Luke 1:57 | Luke 1:58,3,0.107945
Matt 1:2,Luke 1:33,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 1:32 | Luke 1:33 | Luke 1:34,4,0.091121
Matt 1:2,Luke 23:29,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 23:28 | Luke 23:29 | Luke 23:30,5,0.079316
Matt 1:2,Luke 1:13,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 1:12 | Luke 1:13 | Luke 1:14,6,0.075629
Matt 1:2,Luke 1:35,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 1:34 | Luke 1:35 | Luke 1:36,7,0.070160
Matt 1:2,Luke 3:30,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 3:29 | Luke 3:30 | Luke 3:31,8,0.057636
Matt 1:2,Luke 3:33,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 3:32 | Luke 3:33 | Luke 3:34,9,0.050953
Matt 1:2,Luke 22:48,Matt 1:1 | Matt 1:2 | Matt 1:3,Luke 22:46 | Luke 22:48 | Luke 22:49,10,0.048975
Matt 1:3,Luke 3:33,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 3:32 | Luke 3:33 | Luke 3:34,1,0.259716
Matt 1:3,Luke 1:57,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 1:56 | Luke 1:57 | Luke 1:58,2,0.096413
Matt 1:3,Luke 23:29,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 23:28 | Luke 23:29 | Luke 23:30,3,0.070508
Matt 1:3,Luke 1:13,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 1:12 | Luke 1:13 | Luke 1:14,4,0.067303
Matt 1:3,Luke 1:35,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 1:34 | Luke 1:35 | Luke 1:36,5,0.062006
Matt 1:3,Luke 22:48,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 22:46 | Luke 22:48 | Luke 22:49,6,0.044090
Matt 1:3,Luke 22:3,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 22:1 | Luke 22:3 | Luke 22:4,7,0.041194
Matt 1:3,Luke 3:30,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 3:29 | Luke 3:30 | Luke 3:31,8,0.040962
Matt 1:3,Luke 1:39,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 1:38 | Luke 1:39 | Luke 1:40,9,0.032500
Matt 1:3,Luke 6:45,Matt 1:2 | Matt 1:3 | Matt 1:4,Luke 6:44 | Luke 6:45 | Luke 6:46,10,0.014063
Matt 1:4,Luke 3:32,Matt 1:3 | Matt 1:4 | Matt 1:5,Luke 3:31 | Luke 3:32 | Luke 3:33,1,0.135993
Matt 1:4,Luke 3:33,Matt 1:3 | Matt 1:4 | Matt 1:5,Luke 3:32 | Luke 3:33 | Luke 3:34,2,0.125502
