luke_center_ref,matt_center_ref,luke_window_refs,matt_window_refs,rank,window_score
Luke 1:1,Matt 18:19,Luke 1:1 | Luke 1:2,Matt 18:18 | Matt 18:19 | Matt 18:20,1,0.075880
Luke 1:1,Matt 24:11,Luke 1:1 | Luke 1:2,Matt 24:10 | Matt 24:11 | Matt 24:12,2,0.055845
Luke 1:1,Matt 15:30,Luke 1:1 | Luke 1:2,Matt 15:29 | Matt 15:30 | Matt 15:31,3,0.033852
Luke 1:1,Matt 8:18,Luke 1:1 | Luke 1:2,Matt 8:17 | Matt 8:18 | Matt 8:19,4,0.032453
Luke 1:1,Matt 8:1,Luke 1:1 | Luke 1:2,Matt 7:28 | Matt 8:1 | Matt 8:5,5,0.031948
Luke 1:1,Matt 19:2,Luke 1:1 | Luke 1:2,Matt 18:35 | Matt 19:2 | Matt 19:8,6,0.031939
Luke 1:1,Matt 10:31,Luke 1:1 | Luke 1:2,Matt 10:30 | Matt 10:31 | Matt 10:32,7,0.029973
Luke 1:1,Matt 22:14,Luke 1:1 | Luke 1:2,Matt 22:13 | Matt 22:14 | Matt 22:15,8,0.028494
Luke 1:1,Matt 24:10,Luke 1:1 | Luke 1:2,Matt 24:1 | Matt 24:10 | Matt 24:11,9,0.027874
Luke 1:1,Matt 7:22,Luke 1:1 | Luke 1:2,Matt 7:21 | Matt 7:22 | Matt 7:23,10,0.027290
Luke 1:2,Matt 12:37,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 12:36 | Matt 12:37 | Matt 12:38,1,0.098323
Luke 1:2,Matt 19:8,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 19:2 | Matt 19:8 | Matt 19:10,2,0.094275
Luke 1:2,Matt 5:25,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 5:24 | Matt 5:25 | Matt 5:26,3,0.078861
Luke 1:2,Matt 26:1,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 25:46 | Matt 26:1 | Matt 26:2,4,0.075488
Luke 1:2,Matt 7:28,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 7:27 | Matt 7:28 | Matt 8:1,5,0.064960
Luke 1:2,Matt 26:2,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 26:1 | Matt 26:2 | Matt 26:3,6,0.059218
Luke 1:2,Matt 26:16,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 26:15 | Matt 26:16 | Matt 26:18,7,0.057093
Luke 1:2,Matt 19:11,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 19:10 | Matt 19:11 | Matt 19:12,8,0.050655
Luke 1:2,Matt 4:12,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 4:11 | Matt 4:12 | Matt 4:13,9,0.048322
Luke 1:2,Matt 27:2,Luke 1:1 | Luke 1:2 | Luke 1:3,Matt 27:1 | Matt 27:2 | Matt 27:3,10,0.047380
Luke 1:3,Matt 2:8,Luke 1:2 | Luke 1:3 | Luke 1:4,Matt 2:7 | Matt 2:8 | Matt 2:9,1,0.063241
Luke 1:3,Matt 26:66,Luke 1:2 | Luke 1:3 | Luke 1:4,Matt 26:60 | Matt 26:66 | Matt 26:68,2,0.047366
Luke 1:3,Matt 24:44,Luke 1:2 | Luke 1:3 | Luke 1:4,Matt 24:43 | Matt 24:44 | Matt 24:45,3,0.040347
