block_id,pair_count,matt_start,matt_end,luke_start,luke_end,mean_score,min_score,max_score,matt_original_start_idx,matt_original_end_idx,luke_original_start_idx,luke_original_end_idx
1,1,Matt 1:25,Matt 1:25,Luke 1:31,Luke 1:31,0.598505,0.598505,0.598505,25,25,31,31
2,3,Matt 3:7,Matt 3:10,Luke 3:7,Luke 3:9,0.759251,0.581523,0.936647,55,58,139,141
3,1,Matt 3:12,Matt 3:12,Luke 3:17,Luke 3:17,0.818265,0.818265,0.818265,60,60,149,149
4,2,Matt 4:3,Matt 4:4,Luke 4:3,Luke 4:4,0.49382,0.47243,0.515209,68,69,173,174
5,2,Matt 4:6,Matt 4:7,Luke 4:11,Luke 4:12,0.574321,0.547393,0.601248,71,72,181,182
6,1,Matt 5:3,Matt 5:3,Luke 6:20,Luke 6:20,0.356689,0.356689,0.356689,93,93,273,273
7,1,Matt 5:46,Matt 5:46,Luke 6:32,Luke 6:32,0.408055,0.408055,0.408055,136,136,285,285
8,3,Matt 7:1,Matt 7:4,Luke 6:37,Luke 6:42,0.650567,0.562774,0.698098,173,176,290,295
9,1,Matt 7:18,Matt 7:18,Luke 6:43,Luke 6:43,0.509298,0.509298,0.509298,190,190,296,296
10,2,Matt 8:9,Matt 8:10,Luke 7:8,Luke 7:9,0.658467,0.397739,0.919195,210,211,310,311
11,7,Matt 11:3,Matt 11:11,Luke 7:19,Luke 7:28,0.62564,0.404583,1.0,318,326,321,330
12,3,Matt 11:17,Matt 11:19,Luke 7:32,Luke 7:34,0.598315,0.512271,0.689853,332,334,334,336
13,3,Matt 11:21,Matt 11:23,Luke 10:13,Luke 10:15,0.717129,0.47833,0.920229,336,338,483,485
14,2,Matt 11:25,Matt 11:27,Luke 10:21,Luke 10:22,0.630819,0.583264,0.678374,340,342,491,492
15,2,Matt 12:28,Matt 12:30,Luke 11:20,Luke 11:23,0.895633,0.791266,1.0,373,375,532,535
16,3,Matt 12:43,Matt 12:45,Luke 11:24,Luke 11:26,0.65148,0.46359,0.767182,388,390,536,538
17,1,Matt 23:25,Matt 23:25,Luke 11:39,Luke 11:39,0.428249,0.428249,0.428249,796,796,551,551
18,1,Matt 23:35,Matt 23:35,Luke 11:51,Luke 11:51,0.346588,0.346588,0.346588,806,806,563,563
19,7,Matt 24:43,Matt 24:50,Luke 12:39,Luke 12:46,0.643259,0.447738,0.838452,853,860,605,612
20,1,Matt 25:30,Matt 25:30,Luke 13:28,Luke 13:28,0.371233,0.371233,0.371233,891,891,653,653
21,1,Matt 26:16,Matt 26:16,Luke 22:6,Luke 22:6,0.521526,0.521526,0.521526,923,923,976,976
22,1,Matt 26:68,Matt 26:68,Luke 22:64,Luke 22:64,0.556421,0.556421,0.556421,975,975,1034,1034
