catalog_type,direction_id,pair,unit_id,source_range,target_range,signal_strength,avg_score,operations,explanation_needed,response_model
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,1,0.661667,abbreviation; matt_omissions; verbal_vividization; matt_interposition,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,1,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,1,0.661667,expansion; mark_additions; verbal_smoothing; mark_nonuse_of_matt_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,2,Mark 1:8–Mark 1:13,Matt 3:11–Matt 4:2,1,0.348189,expansion; matt_additions; tempo_smoothing; scripturalization; verbal_vividization,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,2,Matt 3:11–Matt 4:2,Mark 1:8–Mark 1:13,1,0.348189,abbreviation; mark_omissions; tempo_intensification; descripturalization; verbal_smoothing,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,3,Mark 1:15–Mark 1:21,Matt 4:17–Matt 4:23,1,0.398465,expansion; tempo_smoothing; terminology_shift; descripturalization; matt_interposition,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,3,Matt 4:17–Matt 4:23,Mark 1:15–Mark 1:21,1,0.398465,abbreviation; tempo_intensification; terminology_shift; scripturalization; mark_nonuse_of_matt_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,4,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,2,0.714092,abbreviation; redistribution; matt_interposition,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,4,Matt 7:29–Matt 7:29,Mark 1:22–Mark 1:22,2,0.714092,expansion; redistribution; mark_nonuse_of_matt_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,5,Mark 1:40–Mark 2:1,Matt 8:2–Matt 8:5,1,0.478942,abbreviation; matt_omissions; tempo_smoothing; matt_nonuse_of_mark_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,5,Matt 8:2–Matt 8:5,Mark 1:40–Mark 2:1,1,0.478942,expansion; mark_additions; tempo_intensification; mark_preserves_extra_material,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
