direction_id,pair,source,target,source_ref,target_ref,score,pair_classes,source_token_count,target_token_count,shared_content_token_count,token_jaccard,max_exact_run_len,max_exact_run,target_inserted_or_source_absent_tokens,source_deleted_or_target_absent_tokens,lemma_replacements_or_substitutions,moved_lemmas,source_text,target_text,directional_reading
matthew_used_mark,Mark↔Matthew,Mark,Matthew,Mark 14:21,Matt 26:24,0.895321,close_match,17,17,15,1.0,17,υιοσ ανθρωπου υπαγει καθωσ γεγραπται ουαι ανθρωπω εκεινω δι υιοσ ανθρωπου παραδιδοται καλον αυτω εγεννηθη ανθρωποσ εκεινοσ,,,0,,"⸀ὅτι ὁ μὲν υἱὸς τοῦ ἀνθρώπου ὑπάγει καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ διʼ οὗ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται· ⸀καλὸν αὐτῷ εἰ οὐκ ἐγεννήθη ὁ ἄνθρωπος ἐκεῖνος.","ὁ μὲν υἱὸς τοῦ ἀνθρώπου ὑπάγει καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ διʼ οὗ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται· καλὸν ἦν αὐτῷ εἰ οὐκ ἐγεννήθη ὁ ἄνθρωπος ἐκεῖνος.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_matthew,Mark↔Matthew,Matthew,Mark,Matt 26:24,Mark 14:21,0.895321,close_match,17,17,15,1.0,17,υιοσ ανθρωπου υπαγει καθωσ γεγραπται ουαι ανθρωπω εκεινω δι υιοσ ανθρωπου παραδιδοται καλον αυτω εγεννηθη ανθρωποσ εκεινοσ,,,0,,"ὁ μὲν υἱὸς τοῦ ἀνθρώπου ὑπάγει καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ διʼ οὗ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται· καλὸν ἦν αὐτῷ εἰ οὐκ ἐγεννήθη ὁ ἄνθρωπος ἐκεῖνος.","⸀ὅτι ὁ μὲν υἱὸς τοῦ ἀνθρώπου ὑπάγει καθὼς γέγραπται περὶ αὐτοῦ, οὐαὶ δὲ τῷ ἀνθρώπῳ ἐκείνῳ διʼ οὗ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται· ⸀καλὸν αὐτῷ εἰ οὐκ ἐγεννήθη ὁ ἄνθρωπος ἐκεῖνος.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_luke,Matthew↔Luke,Luke,Matthew,Luke 3:9,Matt 3:10,0.936647,close_match,14,14,14,1.0,14,ηδη αξινη προσ ριζαν δενδρων κειται δενδρον ποιουν καρπον καλον εκκοπτεται εισ πυρ βαλλεται,,,0,καί,ἤδη δὲ καὶ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,ἤδη ⸀δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_matthew,Matthew↔Luke,Matthew,Luke,Matt 3:10,Luke 3:9,0.936647,close_match,14,14,14,1.0,14,ηδη αξινη προσ ριζαν δενδρων κειται δενδρον ποιουν καρπον καλον εκκοπτεται εισ πυρ βαλλεται,,,0,καί,ἤδη ⸀δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,ἤδη δὲ καὶ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_luke,Matthew↔Luke,Luke,Matthew,Luke 3:8,Matt 3:9,0.759584,luke_expands,19,14,12,0.6316,13,λεγειν εαυτοισ πατερα εχομεν αβρααμ λεγω δυναται θεοσ λιθων τουτων εγειραι τεκνα αβρααμ,δοξητε,αξιουσ;αρξησθε;καρπουσ;μετανοιασ;ποιησατε;τησ,1,γάρ;δύναμαι;θεός;καί;λέγω;λίθος;μή;οὗτος;πατήρ;σύ;τέκνον;Ἀβραάμ;ἐγείρω;ἐκ;ἐν;ἑαυτοῦ;ἔχω;ὅτι;ὁ,"ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας· καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.","καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_matthew,Matthew↔Luke,Matthew,Luke,Matt 3:9,Luke 3:8,0.759584,luke_expands,14,19,12,0.6316,13,λεγειν εαυτοισ πατερα εχομεν αβρααμ λεγω δυναται θεοσ λιθων τουτων εγειραι τεκνα αβρααμ,αξιουσ;αρξησθε;καρπουσ;μετανοιασ;ποιησατε;τησ,δοξητε,1,γάρ;δύναμαι;θεός;καί;λέγω;λίθος;μή;οὗτος;πατήρ;σύ;τέκνον;Ἀβραάμ;ἐγείρω;ἐκ;ἐν;ἑαυτοῦ;ἔχω;ὅτι;ὁ,"καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.","ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας· καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_matthew,Matthew↔Luke,Matthew,Luke,Matt 11:5,Luke 7:22,0.757422,luke_expands,12,19,12,0.6316,12,τυφλοι αναβλεπουσιν χωλοι περιπατουσιν λεπροι καθαριζονται κωφοι ακουουσιν νεκροι εγειρονται πτωχοι ευαγγελιζονται,απαγγειλατε;αποκριθεισ;αυτοισ;ειδετε;ηκουσατε;ιωαννη;πορευθεντεσ,,0,τυφλός;ἀναβλέπω;καθαρίζω;λεπρός;περιπατέω;χωλός;κωφός;νεκρός;ἐγείρω;εὐαγγελίζω;πτωχός;καί,"τυφλοὶ ἀναβλέπουσιν καὶ χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται καὶ κωφοὶ ἀκούουσιν, ⸀καὶ νεκροὶ ἐγείρονται καὶ πτωχοὶ εὐαγγελίζονται·","καὶ ⸀ἀποκριθεὶς εἶπεν αὐτοῖς· Πορευθέντες ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε· ⸀τυφλοὶ ἀναβλέπουσιν, χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται, ⸀κωφοὶ ἀκούουσιν, νεκροὶ ἐγείρονται, πτωχοὶ εὐαγγελίζονται·",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_matthew,Matthew↔Luke,Matthew,Luke,Matt 11:10,Luke 7:27,0.806694,partial_overlap,12,12,12,1.0,12,ουτοσ εστιν γεγραπται ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον εμπροσθεν,,,0,ἐγώ,"⸀οὗτός ἐστιν περὶ οὗ γέγραπται· Ἰδοὺ ἐγὼ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου.","οὗτός ἐστιν περὶ οὗ γέγραπται· ⸀Ἰδοὺ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_luke,Matthew↔Luke,Luke,Matthew,Luke 7:27,Matt 11:10,0.806694,partial_overlap,12,12,12,1.0,12,ουτοσ εστιν γεγραπται ιδου αποστελλω αγγελον προ προσωπου οσ κατασκευασει οδον εμπροσθεν,,,0,ἐγώ,"οὗτός ἐστιν περὶ οὗ γέγραπται· ⸀Ἰδοὺ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου.","⸀οὗτός ἐστιν περὶ οὗ γέγραπται· Ἰδοὺ ἐγὼ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_luke,Matthew↔Luke,Luke,Matthew,Luke 7:22,Matt 11:5,0.757422,luke_expands,19,12,12,0.6316,12,τυφλοι αναβλεπουσιν χωλοι περιπατουσιν λεπροι καθαριζονται κωφοι ακουουσιν νεκροι εγειρονται πτωχοι ευαγγελιζονται,,απαγγειλατε;αποκριθεισ;αυτοισ;ειδετε;ηκουσατε;ιωαννη;πορευθεντεσ,0,τυφλός;ἀναβλέπω;καθαρίζω;λεπρός;περιπατέω;χωλός;κωφός;νεκρός;ἐγείρω;εὐαγγελίζω;πτωχός;καί,"καὶ ⸀ἀποκριθεὶς εἶπεν αὐτοῖς· Πορευθέντες ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε· ⸀τυφλοὶ ἀναβλέπουσιν, χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται, ⸀κωφοὶ ἀκούουσιν, νεκροὶ ἐγείρονται, πτωχοὶ εὐαγγελίζονται·","τυφλοὶ ἀναβλέπουσιν καὶ χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται καὶ κωφοὶ ἀκούουσιν, ⸀καὶ νεκροὶ ἐγείρονται καὶ πτωχοὶ εὐαγγελίζονται·",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
