mark_ref	matt_ref	score	pair_classes	lemma_insertions	lemma_deletions	lemma_replacements	inserted_lemmas	deleted_lemmas	moved_lemmas	mark_text	matt_text
Mark 1:3	Matt 3:3	0.724305	matt_expands	10	0	0	ουτος;γαρ;ειμι;ο;λεγω;δια;ησαιας;ο;προφητης;λεγω			φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,	οὗτος γάρ ἐστιν ὁ ῥηθεὶς ⸀διὰ Ἠσαΐου τοῦ προφήτου λέγοντος· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ.
Mark 1:6	Matt 3:4	0.599029	substitution;reordering	0	0	12	αυτος;δε;εχω;ο;ενδυμα;αυτος;απο;ο;δε;τροφη;ειμι;αυτος	και;ειμι;ενδυω;και;εσθω	ειμι	⸂καὶ ἦν⸃ ὁ Ἰωάννης ἐνδεδυμένος τρίχας καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, καὶ ἔσθων ἀκρίδας καὶ μέλι ἄγριον.	αὐτὸς δὲ ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, ἡ δὲ τροφὴ ⸂ἦν αὐτοῦ⸃ ἀκρίδες καὶ μέλι ἄγριον.
Mark 1:8	Matt 3:11	0.321375	matt_expands;reordering	24	4	0	μεν;συ;εν;υδωρ;εις;μετανοια;ο;δε;οπισω;εγω;ερχομαι;ισχυρος;εγω;ειμι;ος;ου;ειμι;ικανος;ο;υποδημα;βασταζω;αυτος;και;πυρ	υδωρ;αυτος;δε;συ	αυτος;δε;συ;υδωρ	⸀ἐγὼ ἐβάπτισα ⸀ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ⸀ἐν πνεύματι ἁγίῳ.	Ἐγὼ μὲν ⸂ὑμᾶς βαπτίζω⸃ ἐν ὕδατι εἰς μετάνοιαν· ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ ⸂καὶ πυρί⸃·
Mark 1:9	Matt 3:13	0.364714	matt_expands;substitution;reordering	5	3	8	τοτε;παραγινομαι;επι;προς;ο;ιωαννης;ο;βαπτιζω;αυτος	και;γινομαι;εν;εκεινος;ημερα;ερχομαι;ναζαρετ;και;βαπτιζω;εις;ιωαννης	βαπτιζω;ιωαννης	Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη ⸂εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου⸃.	Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.
Mark 1:10	Matt 3:16	0.441694	substitution;reordering	0	0	14	βαπτιζω;δε;ο;ιησους;απο;και;ιδου;ανοιγω;οραω;θεος;καταβαινω;ωσει;ερχομαι;επι	και;εκ;οραω;σχιζω;ο;ως;καταβαινω;εις	και;καταβαινω;ο;οραω	καὶ ⸀εὐθὺς ἀναβαίνων ⸀ἐκ τοῦ ὕδατος εἶδεν σχιζομένους τοὺς οὐρανοὺς καὶ τὸ πνεῦμα ⸀ὡς περιστερὰν καταβαῖνον ⸀εἰς αὐτόν·	⸂βαπτισθεὶς δὲ⸃ ὁ Ἰησοῦς ⸂εὐθὺς ἀνέβη⸃ ἀπὸ τοῦ ὕδατος· καὶ ἰδοὺ ⸀ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν ⸀πνεῦμα θεοῦ καταβαῖνον ὡσεὶ ⸀περιστερὰν ἐρχόμενον ἐπʼ αὐτόν·
Mark 1:11	Matt 3:17	0.695115	substitution	1	1	3	ιδου;λεγω;ουτος;ος	γινομαι;συ;συ		καὶ φωνὴ ἐγένετο ἐκ τῶν οὐρανῶν· Σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν ⸀σοὶ εὐδόκησα.	καὶ ἰδοὺ φωνὴ ἐκ τῶν οὐρανῶν λέγουσα· Οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα.
Mark 1:12	Matt 4:1	0.159163	matt_expands;substitution;reordering	7	0	5	τοτε;ιησους;αναγω;υπο;ο;πνευμα;πειραζω;υπο;ο;διαβολος	και;ευθυς;πνευμα;αυτος;εκβαλλω	πνευμα	Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον.	Τότε ὁ Ἰησοῦς ἀνήχθη εἰς τὴν ἔρημον ὑπὸ τοῦ πνεύματος, πειρασθῆναι ὑπὸ τοῦ διαβόλου.
Mark 1:13	Matt 4:2	0.107074	mark_expands;substitution;reordering	0	5	13	νηστευω;ημερα;νυξ;τεσσερακοντα;υστερος;πειναω	ειμι;εν;ο;ερημος;ημερα;πειραζω;υπο;ο;σατανας;ειμι;μετα;ο;θηριον;και;ο;αγγελος;διακονεω;αυτος	ημερα	καὶ ⸀ἦν ἐν τῇ ἐρήμῳ ⸂τεσσεράκοντα ἡμέρας⸃ πειραζόμενος ὑπὸ τοῦ Σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων, καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ.	καὶ νηστεύσας ἡμέρας τεσσεράκοντα καὶ νύκτας τεσσεράκοντα ὕστερον ἐπείνασεν.
Mark 1:15	Matt 4:17	0.235632	matt_expands;substitution;reordering	7	0	12	απο;τοτε;αρχω;ο;ιησους;κηρυσσω;μετανοεω;γαρ;ουρανος	οτι;πληροω;ο;καιρος;και;θεος;μετανοεω;και;πιστευω;εν;ο;ευαγγελιον	μετανοεω;ο	καὶ λέγων ὅτι Πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ.	Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ λέγειν· Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.
Mark 1:16	Matt 4:18	0.464942	matt_expands;substitution	5	0	6	περιπατεω;δε;δυο;αδελφος;ο;λεγω;πετρος;αυτος;βαλλω;αμφιβληστρον;εις	και;παραγω;σιμων;αμφιβαλλω;εν		⸂Καὶ παράγων⸃ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ⸀ἀδελφὸν Σίμωνος ⸀ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ, ἦσαν γὰρ ἁλιεῖς·	Περιπατῶν δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ, βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν, ἦσαν γὰρ ἁλιεῖς·
