mark_ref,matt_ref,macro_block,micro_block,score,wj_content,wj_bigram,sr_content,wj_all,rare_inter,pair_classes,lemma_insertions,lemma_deletions,lemma_replacements,lemma_moved_tokens,common_lemmas,mark_only_lemmas,matt_only_lemmas,mark_variant_note_count,matt_variant_note_count,mark_text,matt_text
Mark 1:3,Matt 3:3,1,1,0.724305,0.759847,0.632623,0.782609,0.676962,48.754637,matt_expands,10,0,0,,αυτος;βοαω;εν;ερημος;ετοιμαζω;ευθυς;κυριος;ο;οδος;ποιεω;τριβος;φωνη,,γαρ;δια;ειμι;ησαιας;λεγω;ουτος;προφητης,0,1,"φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,","οὗτος γάρ ἐστιν ὁ ῥηθεὶς ⸀διὰ Ἠσαΐου τοῦ προφήτου λέγοντος· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
Mark 1:6,Matt 3:4,1,2,0.599029,0.673071,0.342945,0.72,0.664112,64.113828,substitution;reordering,0,0,12,ειμι,αγριος;ακρις;αυτος;δερματινος;ειμι;ζωνη;θριξ;ιωαννης;και;καμηλος;μελι;ο;οσφυς;περι,ενδυω;εσθω,απο;δε;ενδυμα;εχω;τροφη,1,1,"⸂καὶ ἦν⸃ ὁ Ἰωάννης ἐνδεδυμένος τρίχας καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, καὶ ἔσθων ἀκρίδας καὶ μέλι ἄγριον.","αὐτὸς δὲ ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, ἡ δὲ τροφὴ ⸂ἦν αὐτοῦ⸃ ἀκρίδες καὶ μέλι ἄγριον."
Mark 1:8,Matt 3:11,2,3,0.321375,0.311159,0.193411,0.5,0.330002,21.824953,matt_expands;reordering,24,4,0,αυτος;δε;συ;υδωρ,αγιος;αυτος;βαπτιζω;δε;εγω;εν;πνευμα;συ;υδωρ,,βασταζω;ειμι;εις;ερχομαι;ικανος;ισχυρος;και;μεν;μετανοια;ο;οπισω;ος;ου;πυρ;υποδημα,3,2,"⸀ἐγὼ ἐβάπτισα ⸀ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ⸀ἐν πνεύματι ἁγίῳ.","Ἐγὼ μὲν ⸂ὑμᾶς βαπτίζω⸃ ἐν ὕδατι εἰς μετάνοιαν· ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ ⸂καὶ πυρί⸃·"
Mark 1:9,Matt 3:13,2,3,0.364714,0.454275,0.076809,0.5,0.410885,24.326218,matt_expands;substitution;reordering,5,3,8,βαπτιζω;ιωαννης,απο;βαπτιζω;γαλιλαια;ιησους;ιορδανης;ιωαννης;ο;υπο,γινομαι;εις;εκεινος;εν;ερχομαι;ημερα;και;ναζαρετ,αυτος;επι;παραγινομαι;προς;τοτε,1,0,Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη ⸂εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου⸃.,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.
Mark 1:10,Matt 3:16,2,3,0.441694,0.584499,0.106862,0.545455,0.428628,40.589929,substitution;reordering,0,0,14,και;καταβαινω;ο;οραω,αναβαινω;αυτος;ευθυς;και;καταβαινω;ο;οραω;ουρανος;περιστερα;πνευμα;υδωρ,εις;εκ;σχιζω;ως,ανοιγω;απο;βαπτιζω;δε;επι;ερχομαι;θεος;ιδου;ιησους;ωσει,4,5,καὶ ⸀εὐθὺς ἀναβαίνων ⸀ἐκ τοῦ ὕδατος εἶδεν σχιζομένους τοὺς οὐρανοὺς καὶ τὸ πνεῦμα ⸀ὡς περιστερὰν καταβαῖνον ⸀εἰς αὐτόν·,"⸂βαπτισθεὶς δὲ⸃ ὁ Ἰησοῦς ⸂εὐθὺς ἀνέβη⸃ ἀπὸ τοῦ ὕδατος· καὶ ἰδοὺ ⸀ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν ⸀πνεῦμα θεοῦ καταβαῖνον ὡσεὶ ⸀περιστερὰν ἐρχόμενον ἐπʼ αὐτόν·"
Mark 1:11,Matt 3:17,2,3,0.695115,0.838568,0.311553,0.857143,0.684429,29.218205,substitution,1,1,3,,αγαπητος;εγω;ειμι;εκ;εν;ευδοκεω;και;ο;ουρανος;υιος;φωνη,γινομαι;συ,ιδου;λεγω;ος;ουτος,1,0,"καὶ φωνὴ ἐγένετο ἐκ τῶν οὐρανῶν· Σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν ⸀σοὶ εὐδόκησα.","καὶ ἰδοὺ φωνὴ ἐκ τῶν οὐρανῶν λέγουσα· Οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα."
Mark 1:12,Matt 4:1,2,3,0.159163,0.219834,0.0,0.181818,0.238736,10.297537,matt_expands;substitution;reordering,7,0,5,πνευμα,εις;ερημος;ο;πνευμα,αυτος;εκβαλλω;ευθυς;και,αναγω;διαβολος;ιησους;πειραζω;τοτε;υπο,0,0,Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον.,"Τότε ὁ Ἰησοῦς ἀνήχθη εἰς τὴν ἔρημον ὑπὸ τοῦ πνεύματος, πειρασθῆναι ὑπὸ τοῦ διαβόλου."
Mark 1:13,Matt 4:2,2,3,0.107074,0.153884,0.0,0.117647,0.142965,11.607458,mark_expands;substitution;reordering,0,5,13,ημερα,ημερα;και;τεσσερακοντα,αγγελος;αυτος;διακονεω;ειμι;εν;ερημος;θηριον;μετα;ο;πειραζω;σατανας;υπο,νηστευω;νυξ;πειναω;υστερος,2,0,"καὶ ⸀ἦν ἐν τῇ ἐρήμῳ ⸂τεσσεράκοντα ἡμέρας⸃ πειραζόμενος ὑπὸ τοῦ Σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων, καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ.",καὶ νηστεύσας ἡμέρας τεσσεράκοντα καὶ νύκτας τεσσεράκοντα ὕστερον ἐπείνασεν.
Mark 1:15,Matt 4:17,3,4,0.235632,0.282116,0.063757,0.333333,0.26074,18.600379,matt_expands;substitution;reordering,7,0,12,μετανοεω;ο,βασιλεια;εγγιζω;και;λεγω;μετανοεω;ο,εν;ευαγγελιον;θεος;καιρος;οτι;πιστευω;πληροω,απο;αρχω;γαρ;ιησους;κηρυσσω;ουρανος;τοτε,0,0,καὶ λέγων ὅτι Πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ.,"Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ λέγειν· Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν."
Mark 1:16,Matt 4:18,3,4,0.464942,0.476351,0.291876,0.642857,0.490437,39.586822,matt_expands;substitution,5,0,6,,αδελφος;αλιευς;ανδρεας;γαλιλαια;γαρ;ειμι;θαλασσα;και;ο;οραω;παρα;σιμων,αμφιβαλλω;εν;παραγω,αμφιβληστρον;αυτος;βαλλω;δε;δυο;εις;λεγω;περιπατεω;πετρος,3,0,"⸂Καὶ παράγων⸃ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ⸀ἀδελφὸν Σίμωνος ⸀ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ, ἦσαν γὰρ ἁλιεῖς·","Περιπατῶν δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ, βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν, ἦσαν γὰρ ἁλιεῖς·"
