book,ref,chapter,verse,token_count_morphgnt,content_token_count_morphgnt,normalized_tokens_morphgnt,content_tokens_morphgnt,lemma_tokens_all,lemma_tokens_content,pos_sequence,long_ending_status
Matt,Matt 1:1,1,1,8,8,βιβλοσ γενεσεωσ ιησου χριστου υιου δαυιδ υιου αβρααμ,βιβλοσ γενεσεωσ ιησου χριστου υιου δαυιδ υιου αβρααμ,βιβλοσ γενεσισ ιησουσ χριστοσ υιοσ δαυιδ υιοσ αβρααμ,βιβλοσ γενεσισ ιησουσ χριστοσ υιοσ δαυιδ υιοσ αβρααμ,N- N- N- N- N- N- N- N-,main_text
Matt,Matt 1:2,1,2,18,10,αβρααμ εγεννησεν τον ισαακ ισαακ δε εγεννησεν τον ιακωβ ιακωβ δε εγεννησεν τον ιουδαν και τουσ αδελφουσ αυτου,αβρααμ εγεννησεν ισαακ ισαακ εγεννησεν ιακωβ ιακωβ εγεννησεν ιουδαν αδελφουσ,αβρααμ γενναω ο ισαακ ισαακ δε γενναω ο ιακωβ ιακωβ δε γενναω ο ιουδασ και ο αδελφοσ αυτοσ,αβρααμ γενναω ισαακ ισαακ γενναω ιακωβ ιακωβ γενναω ιουδασ αδελφοσ,N- V- RA N- N- C- V- RA N- N- C- V- RA N- C- RA N- RP,main_text
Matt,Matt 1:3,1,3,21,11,ιουδασ δε εγεννησεν τον φαρεσ και τον ζαρα εκ τησ θαμαρ φαρεσ δε εγεννησεν τον εσρωμ εσρωμ δε εγεννησεν τον αραμ,ιουδασ εγεννησεν φαρεσ ζαρα θαμαρ φαρεσ εγεννησεν εσρωμ εσρωμ εγεννησεν αραμ,ιουδασ δε γενναω ο φαρεσ και ο ζαρα εκ ο θαμαρ φαρεσ δε γενναω ο εσρωμ εσρωμ δε γενναω ο αραμ,ιουδασ γενναω φαρεσ ζαρα θαμαρ φαρεσ γενναω εσρωμ εσρωμ γενναω αραμ,N- C- V- RA N- C- RA N- P- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:4,1,4,15,9,αραμ δε εγεννησεν τον αμιναδαβ αμιναδαβ δε εγεννησεν τον ναασσων ναασσων δε εγεννησεν τον σαλμων,αραμ εγεννησεν αμιναδαβ αμιναδαβ εγεννησεν ναασσων ναασσων εγεννησεν σαλμων,αραμ δε γενναω ο αμιναδαβ αμιναδαβ δε γενναω ο ναασσων ναασσων δε γενναω ο σαλμων,αραμ γενναω αμιναδαβ αμιναδαβ γενναω ναασσων ναασσων γενναω σαλμων,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:5,1,5,21,11,σαλμων δε εγεννησεν τον βοεσ εκ τησ ραχαβ βοεσ δε εγεννησεν τον ιωβηδ εκ τησ ρουθ ιωβηδ δε εγεννησεν τον ιεσσαι,σαλμων εγεννησεν βοεσ ραχαβ βοεσ εγεννησεν ιωβηδ ρουθ ιωβηδ εγεννησεν ιεσσαι,σαλμων δε γενναω ο βοεσ εκ ο ραχαβ βοεσ δε γενναω ο ιωβηδ εκ ο ρουθ ιωβηδ δε γενναω ο ιεσσαι,σαλμων γενναω βοεσ ραχαβ βοεσ γενναω ιωβηδ ρουθ ιωβηδ γενναω ιεσσαι,N- C- V- RA N- P- RA N- N- C- V- RA N- P- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:6,1,6,16,8,ιεσσαι δε εγεννησεν τον δαυιδ τον βασιλεα δαυιδ δε εγεννησεν τον σολομωνα εκ τησ του ουριου,ιεσσαι εγεννησεν δαυιδ βασιλεα δαυιδ εγεννησεν σολομωνα ουριου,ιεσσαι δε γενναω ο δαυιδ ο βασιλευσ δαυιδ δε γενναω ο σολομων εκ ο ο ουριασ,ιεσσαι γενναω δαυιδ βασιλευσ δαυιδ γενναω σολομων ουριασ,N- C- V- RA N- RA N- N- C- V- RA N- P- RA RA N-,main_text
Matt,Matt 1:7,1,7,15,9,σολομων δε εγεννησεν τον ροβοαμ ροβοαμ δε εγεννησεν τον αβια αβια δε εγεννησεν τον ασαφ,σολομων εγεννησεν ροβοαμ ροβοαμ εγεννησεν αβια αβια εγεννησεν ασαφ,σολομων δε γενναω ο ροβοαμ ροβοαμ δε γενναω ο αβια αβια δε γενναω ο ασαφ,σολομων γενναω ροβοαμ ροβοαμ γενναω αβια αβια γενναω ασαφ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:8,1,8,15,9,ασαφ δε εγεννησεν τον ιωσαφατ ιωσαφατ δε εγεννησεν τον ιωραμ ιωραμ δε εγεννησεν τον οζιαν,ασαφ εγεννησεν ιωσαφατ ιωσαφατ εγεννησεν ιωραμ ιωραμ εγεννησεν οζιαν,ασαφ δε γενναω ο ιωσαφατ ιωσαφατ δε γενναω ο ιωραμ ιωραμ δε γενναω ο οζιασ,ασαφ γενναω ιωσαφατ ιωσαφατ γενναω ιωραμ ιωραμ γενναω οζιασ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:9,1,9,15,9,οζιασ δε εγεννησεν τον ιωαθαμ ιωαθαμ δε εγεννησεν τον αχαζ αχαζ δε εγεννησεν τον εζεκιαν,οζιασ εγεννησεν ιωαθαμ ιωαθαμ εγεννησεν αχαζ αχαζ εγεννησεν εζεκιαν,οζιασ δε γενναω ο ιωαθαμ ιωαθαμ δε γενναω ο αχαζ αχαζ δε γενναω ο εζεκιασ,οζιασ γενναω ιωαθαμ ιωαθαμ γενναω αχαζ αχαζ γενναω εζεκιασ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:10,1,10,15,9,εζεκιασ δε εγεννησεν τον μανασση μανασσησ δε εγεννησεν τον αμωσ αμωσ δε εγεννησεν τον ιωσιαν,εζεκιασ εγεννησεν μανασση μανασσησ εγεννησεν αμωσ αμωσ εγεννησεν ιωσιαν,εζεκιασ δε γενναω ο μανασσησ μανασσησ δε γενναω ο αμωσ αμωσ δε γενναω ο ιωσιασ,εζεκιασ γενναω μανασσησ μανασσησ γενναω αμωσ αμωσ γενναω ιωσιασ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
