pericope_id,unit_type,pair,block_id,block_label,matthew_range,mark_range,luke_range,john_range,pair_count,avg_score,evidence_origin,methodological_status,representative_primary_pairs,shared_features
Mark_Luke_block_loose_001,computational_synoptic_block,Mark↔Luke,loose_001,Mark 1:3–Mark 1:3 / Luke 3:4–Luke 3:4,,Mark 1:3–Mark 1:3,Luke 3:4–Luke 3:4,,1,0.7358,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:3~Luke 3:4,
Mark_Luke_block_loose_002,computational_synoptic_block,Mark↔Luke,loose_002,Mark 1:7–Mark 1:11 / Luke 3:16–Luke 3:22,,Mark 1:7–Mark 1:11,Luke 3:16–Luke 3:22,,2,0.3188,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:7~Luke 3:16; Mark 1:11~Luke 3:22,
Mark_Luke_block_loose_003,computational_synoptic_block,Mark↔Luke,loose_003,Mark 1:21–Mark 1:31 / Luke 4:31–Luke 4:39,,Mark 1:21–Mark 1:31,Luke 4:31–Luke 4:39,,7,0.3943,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:21~Luke 4:31; Mark 1:22~Luke 4:32; Mark 1:23~Luke 4:33; Mark 1:24~Luke 4:34; Mark 1:25~Luke 4:35,
Mark_Luke_block_loose_004,computational_synoptic_block,Mark↔Luke,loose_004,Mark 1:39–Mark 1:39 / Luke 4:44–Luke 4:44,,Mark 1:39–Mark 1:39,Luke 4:44–Luke 4:44,,1,0.4481,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:39~Luke 4:44,
Mark_Luke_block_loose_005,computational_synoptic_block,Mark↔Luke,loose_005,Mark 1:40–Mark 1:44 / Luke 5:12–Luke 5:14,,Mark 1:40–Mark 1:44,Luke 5:12–Luke 5:14,,3,0.3745,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:40~Luke 5:12; Mark 1:41~Luke 5:13; Mark 1:44~Luke 5:14,
Mark_Luke_block_loose_006,computational_synoptic_block,Mark↔Luke,loose_006,Mark 2:5–Mark 3:5 / Luke 5:20–Luke 6:10,,Mark 2:5–Mark 3:5,Luke 5:20–Luke 6:10,,20,0.3596,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 2:5~Luke 5:20; Mark 2:7~Luke 5:21; Mark 2:8~Luke 5:22; Mark 2:9~Luke 5:23; Mark 2:10~Luke 5:24,
Mark_Luke_block_loose_007,computational_synoptic_block,Mark↔Luke,loose_007,Mark 3:18–Mark 3:19 / Luke 6:15–Luke 6:16,,Mark 3:18–Mark 3:19,Luke 6:15–Luke 6:16,,2,0.4796,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 3:18~Luke 6:15; Mark 3:19~Luke 6:16,
Mark_Luke_block_loose_008,computational_synoptic_block,Mark↔Luke,loose_008,Mark 4:4–Mark 4:25 / Luke 8:5–Luke 8:18,,Mark 4:4–Mark 4:25,Luke 8:5–Luke 8:18,,7,0.3259,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 4:4~Luke 8:5; Mark 4:9~Luke 8:8; Mark 4:11~Luke 8:10; Mark 4:15~Luke 8:12; Mark 4:18~Luke 8:14,
Mark_Luke_block_loose_009,computational_synoptic_block,Mark↔Luke,loose_009,Mark 4:35–Mark 5:1 / Luke 8:22–Luke 8:26,,Mark 4:35–Mark 5:1,Luke 8:22–Luke 8:26,,4,0.2843,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 4:35~Luke 8:22; Mark 4:39~Luke 8:24; Mark 4:41~Luke 8:25; Mark 5:1~Luke 8:26,
Mark_Luke_block_loose_010,computational_synoptic_block,Mark↔Luke,loose_010,Mark 5:7–Mark 5:27 / Luke 8:28–Luke 8:44,,Mark 5:7–Mark 5:27,Luke 8:28–Luke 8:44,,9,0.3807,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 5:7~Luke 8:28; Mark 5:11~Luke 8:32; Mark 5:13~Luke 8:33; Mark 5:14~Luke 8:34; Mark 5:15~Luke 8:35,
