unit_id,pair,obligation_rows,direction_count,model_count
Mark_Luke_block_loose_001,Mark↔Luke,16,2,8
Mark_Luke_block_loose_002,Mark↔Luke,16,2,8
Mark_Luke_block_loose_003,Mark↔Luke,16,2,8
Mark_Luke_block_loose_004,Mark↔Luke,16,2,8
Mark_Luke_block_loose_005,Mark↔Luke,16,2,8
Mark_Luke_block_loose_006,Mark↔Luke,16,2,8
Mark_Luke_block_loose_007,Mark↔Luke,16,2,8
Mark_Luke_block_loose_008,Mark↔Luke,16,2,8
Mark_Luke_block_loose_009,Mark↔Luke,16,2,8
Mark_Luke_block_loose_010,Mark↔Luke,16,2,8
Mark_Luke_block_loose_011,Mark↔Luke,16,2,8
Mark_Luke_block_loose_012,Mark↔Luke,16,2,8
Mark_Luke_block_loose_013,Mark↔Luke,16,2,8
Mark_Luke_block_loose_014,Mark↔Luke,16,2,8
Mark_Luke_block_loose_015,Mark↔Luke,16,2,8
Mark_Luke_block_loose_016,Mark↔Luke,16,2,8
Mark_Luke_block_loose_017,Mark↔Luke,16,2,8
Mark_Luke_block_loose_018,Mark↔Luke,16,2,8
Mark_Luke_block_loose_019,Mark↔Luke,16,2,8
Mark_Luke_block_loose_020,Mark↔Luke,16,2,8
Mark_Luke_block_loose_021,Mark↔Luke,16,2,8
Mark_Luke_block_loose_022,Mark↔Luke,16,2,8
Mark_Luke_block_loose_023,Mark↔Luke,16,2,8
Mark_Luke_block_loose_024,Mark↔Luke,16,2,8
Mark_Luke_block_loose_025,Mark↔Luke,16,2,8
Mark_Luke_block_loose_026,Mark↔Luke,16,2,8
Mark_Luke_block_loose_027,Mark↔Luke,16,2,8
Mark_Luke_block_loose_028,Mark↔Luke,16,2,8
Mark_Luke_block_loose_029,Mark↔Luke,16,2,8
Mark_Luke_block_loose_030,Mark↔Luke,16,2,8
Mark_Luke_block_loose_031,Mark↔Luke,16,2,8
Mark_Luke_block_loose_032,Mark↔Luke,16,2,8
Mark_Luke_block_loose_033,Mark↔Luke,16,2,8
Mark_Luke_block_loose_034,Mark↔Luke,16,2,8
Mark_Luke_block_loose_035,Mark↔Luke,16,2,8
Mark_Matthew_block_1,Mark↔Matthew,32,2,8
Mark_Matthew_block_10,Mark↔Matthew,24,2,8
Mark_Matthew_block_11,Mark↔Matthew,16,2,8
Mark_Matthew_block_12,Mark↔Matthew,32,2,8
Mark_Matthew_block_13,Mark↔Matthew,32,2,8
Mark_Matthew_block_14,Mark↔Matthew,32,2,8
Mark_Matthew_block_15,Mark↔Matthew,32,2,8
Mark_Matthew_block_16,Mark↔Matthew,40,2,8
Mark_Matthew_block_17,Mark↔Matthew,24,2,8
Mark_Matthew_block_18,Mark↔Matthew,32,2,8
Mark_Matthew_block_19,Mark↔Matthew,32,2,8
Mark_Matthew_block_2,Mark↔Matthew,40,2,8
Mark_Matthew_block_20,Mark↔Matthew,16,2,8
Mark_Matthew_block_21,Mark↔Matthew,32,2,8
Mark_Matthew_block_22,Mark↔Matthew,32,2,8
Mark_Matthew_block_23,Mark↔Matthew,32,2,8
Mark_Matthew_block_24,Mark↔Matthew,40,2,8
Mark_Matthew_block_25,Mark↔Matthew,16,2,8
Mark_Matthew_block_3,Mark↔Matthew,40,2,8
Mark_Matthew_block_4,Mark↔Matthew,24,2,8
Mark_Matthew_block_5,Mark↔Matthew,32,2,8
Mark_Matthew_block_6,Mark↔Matthew,32,2,8
Mark_Matthew_block_7,Mark↔Matthew,32,2,8
Mark_Matthew_block_8,Mark↔Matthew,24,2,8
Mark_Matthew_block_9,Mark↔Matthew,32,2,8
Matthew_Luke_block_1,Matthew↔Luke,6,2,5
Matthew_Luke_block_10,Matthew↔Luke,22,2,5
Matthew_Luke_block_11,Matthew↔Luke,12,2,5
Matthew_Luke_block_12,Matthew↔Luke,6,2,5
Matthew_Luke_block_13,Matthew↔Luke,24,2,5
Matthew_Luke_block_14,Matthew↔Luke,6,2,5
Matthew_Luke_block_15,Matthew↔Luke,24,2,5
Matthew_Luke_block_16,Matthew↔Luke,18,2,5
Matthew_Luke_block_17,Matthew↔Luke,6,2,5
Matthew_Luke_block_18,Matthew↔Luke,20,2,5
Matthew_Luke_block_19,Matthew↔Luke,6,2,5
Matthew_Luke_block_2,Matthew↔Luke,18,2,5
Matthew_Luke_block_20,Matthew↔Luke,24,2,5
Matthew_Luke_block_21,Matthew↔Luke,18,2,5
Matthew_Luke_block_22,Matthew↔Luke,22,2,5
Matthew_Luke_block_23,Matthew↔Luke,18,2,5
Matthew_Luke_block_24,Matthew↔Luke,24,2,5
Matthew_Luke_block_25,Matthew↔Luke,22,2,5
Matthew_Luke_block_26,Matthew↔Luke,22,2,5
Matthew_Luke_block_27,Matthew↔Luke,22,2,5
Matthew_Luke_block_28,Matthew↔Luke,24,2,5
Matthew_Luke_block_29,Matthew↔Luke,24,2,5
Matthew_Luke_block_3,Matthew↔Luke,6,2,5
Matthew_Luke_block_30,Matthew↔Luke,24,2,5
Matthew_Luke_block_31,Matthew↔Luke,12,2,5
Matthew_Luke_block_32,Matthew↔Luke,18,2,5
Matthew_Luke_block_4,Matthew↔Luke,22,2,5
Matthew_Luke_block_5,Matthew↔Luke,22,2,5
