model_id,short_label,family,required_direction_hypotheses,required_direction_burdens_selected,sum_selected_burden_scores_available,current_atlas_rating,mark_matthew_fit,mark_luke_fit,matt_luke_double_tradition_fit,minor_agreements_fit,john_anchor_fit,main_strength,main_burden
markan_priority_matthew_and_luke,Markan priority for Matthew and Luke,direct-literary,matthew_used_mark;luke_used_mark,matthew_used_mark=774.87 (direct_use); luke_used_mark=254.6466 (direct_use),1029.5166,strong_with_mark_luke_caution,strong,medium_high,does_not_decide_Q_or_Farrer,unresolved_burden,not_applicable,Mark-like narrative source explains most Mark-Matthew/Mark-Luke core,does not solve double tradition
two_source_mark_q,Two-source / Mark + Q-like sayings source,source-critical,matthew_used_mark;luke_used_mark;shared_matt_luke_sayings_tradition,matthew_used_mark=774.87 (direct_use); luke_used_mark=254.6466 (direct_use); shared_matt_luke_sayings_tradition=8.86 (common_source_or_oral),1038.3766,strong_but_Q_document_and_minor_agreement_burdens,strong,medium_high,strong_for_shared_sayings_low_burden,burden_needs_catalog_evaluation,not_applicable,explains Markan backbone plus non-Markan sayings layer,Q/source reconstruction and minor agreements
farrer_mark_matthew_luke,Farrer / Mark + Matthew → Luke,direct-literary,matthew_used_mark;luke_used_mark;luke_used_matthew,matthew_used_mark=774.87 (direct_use); luke_used_mark=254.6466 (direct_use); luke_used_matthew=26.446 (masked_direct_use),1055.9626,viable_major_alternative,strong,medium_high,viable_if_Lukan_redistribution_model_supplied,stronger_than_strict_independent_two_source,not_applicable,avoids Q document and explains minor agreements via Luke-Matthew contact,must explain Lukan de-Mattheanization/dispersal of sayings
matthew_used_luke_plus_mark_like,Matthew used Luke plus Mark-like material,direct-literary,matthew_used_luke;matthew_used_mark,matthew_used_luke=26.446 (masked_direct_use); matthew_used_mark=774.87 (direct_use),801.316,possible_but_high_burden,not_applicable,not_applicable,possible_if_Matthean_clustering_model_supplied,not_applicable,not_applicable,explains Matthew as organizer/collector,less economical system-level pattern and Matthew-Mark relationship
griesbach_two_gospel,Griesbach / Two-Gospel model,direct-literary,luke_used_matthew;mark_used_matthew;mark_used_luke,luke_used_matthew=26.446 (masked_direct_use); mark_used_matthew=788.66 (direct_use); mark_used_luke=303.1966 (direct_use),1118.3026,possible_but_high_burden,weak_to_medium_high_burden,medium_or_component_dependent,not_applicable,strong,not_applicable,direct Matthew-Luke contact explains agreements against Mark,Markan omission/compression of major Matthean/Lukan material
augustinian_matthew_mark_luke,Augustinian sequence Matthew → Mark → Luke,direct-literary,mark_used_matthew;luke_used_mark,mark_used_matthew=788.66 (direct_use); luke_used_mark=254.6466 (direct_use),1043.3066,high_burden_due_mark_from_matthew,weak_to_medium_high_burden,not_applicable,not_applicable,not_applicable,not_applicable,simple canonical order tradition,Mark-from-Matthew burden
proto_mark_plus_sayings,Proto-Mark/common narrative source + sayings tradition,lost-source/network,proto_mark_common_source;shared_matt_luke_sayings_tradition,proto_mark_common_source=unscored/model-level; shared_matt_luke_sayings_tradition=8.86 (common_source_or_oral),8.86,plausible_lost_source_hybrid,strong,medium_high,medium_high,can_absorb_with_lost_source_but_pays_lost_source_cost,not_applicable,accounts for canonical-form uncertainty and Mark-like core,lost source reconstruction burden
oral_tradition_network,Stable oral/traditional network,non-direct/shared-tradition,shared_mark_luke_tradition;shared_matt_luke_sayings_tradition;shared_john_mark_anchor_tradition;shared_john_luke_anchor_tradition;shared_john_matthew_anchor_tradition,shared_mark_luke_tradition=385.6134 (shared_tradition_adjusted); shared_matt_luke_sayings_tradition=8.86 (common_source_or_oral); shared_john_mark_anchor_tradition=23.5 (shared_anchor_tradition); shared_john_luke_anchor_tradition=20.8 (shared_anchor_tradition); shared_john_matthew_anchor_tradition=24.8 (shared_anchor_tradition),463.5734,good_for_sayings_john_weak_for_ordered_synoptic_narrative,medium_requires_order_retention,medium_requires_order_retention,high_for_sayings,medium,not_applicable,explains mobile sayings and John anchors,dense order and exact wording in Synoptic narrative cores
john_uses_mark,John used Mark,john-synoptic-direct,john_used_mark,john_used_mark=59.741 (anchor_direct_use),59.741,local_possible_global_not_favored,not_applicable,not_applicable,not_applicable,not_applicable,possible_local_not_lowest_global_burden,accounts for selected John/Synoptic anchor overlaps as direct transformation,weak continuous order and high Johannine transformation
john_uses_matthew,John used Matthew,john-synoptic-direct,john_used_matthew,john_used_matthew=55.862 (anchor_direct_use),55.862,weak_global_direct_model,not_applicable,not_applicable,not_applicable,not_applicable,possible_local_not_lowest_global_burden,accounts for selected John/Synoptic anchor overlaps as direct transformation,weak continuous order and high Johannine transformation
