order_retention_weight,cluster_density_weight,narrative_bridge_weight,added_shared_tradition_penalty,adjusted_shared_tradition_burden,mark_prior_burden,luke_prior_burden,lowest_burden_model,shared_still_lower_than_mark_prior,shared_still_lower_than_luke_prior
0.0,0.0,0.0,0.0,164.1468,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,0.0,0.25,36.25,200.3968,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,0.0,0.5,72.5,236.6468,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,0.0,0.75,108.75,272.8968,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
0.0,0.0,1.0,145.0,309.1468,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,0.0,1.5,217.5,381.6468,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,0.0,2.0,290.0,454.1468,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,0.5,0.0,10.4965,174.6433,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,0.5,0.25,46.7465,210.8933,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,0.5,0.5,82.9965,247.1433,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,0.5,0.75,119.2466,283.3934,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
0.0,0.5,1.0,155.4966,319.6434,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,0.5,1.5,227.9966,392.1434,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,0.5,2.0,300.4966,464.6434,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.0,0.0,20.9931,185.1399,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,1.0,0.25,57.2431,221.3899,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,1.0,0.5,93.4931,257.6399,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
0.0,1.0,0.75,129.7431,293.8899,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
0.0,1.0,1.0,165.9931,330.1399,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.0,1.5,238.4931,402.6399,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.0,2.0,310.9931,475.1399,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.5,0.0,31.4897,195.6365,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,1.5,0.25,67.7397,231.8865,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,1.5,0.5,103.9897,268.1365,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
0.0,1.5,0.75,140.2397,304.3865,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.5,1.0,176.4897,340.6365,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.5,1.5,248.9897,413.1365,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,1.5,2.0,321.4896,485.6364,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,2.0,0.0,41.9862,206.133,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,2.0,0.25,78.2362,242.383,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.0,2.0,0.5,114.4862,278.633,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
0.0,2.0,0.75,150.7362,314.883,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,2.0,1.0,186.9862,351.133,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,2.0,1.5,259.4862,423.633,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.0,2.0,2.0,331.9862,496.133,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,False
0.25,0.0,0.0,18.4912,182.638,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.25,0.0,0.25,54.7412,218.888,254.6466,303.1966,shared_tradition_adjusted_for_order_retention,True,True
0.25,0.0,0.5,90.9912,255.138,254.6466,303.1966,Mark_prior_Luke_uses_Mark_or_Mark_like_source,False,True
