chain_rank,source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status
1,Mark,Mark 1:3,3,Luke,Luke 3:4,136,9,15,0.7358,0.6,0.6,0.7273,0.7,0.6066,9,1.0,9,φωνη βοωντοσ ερημω ετοιμασατε οδον ευθειασ ποιειτε τασ τριβουσ,9,βοωντοσ ερημω ετοιμασατε ευθειασ οδον ποιειτε τασ τριβουσ φωνη,main_text
2,Mark,Mark 1:7,7,Luke,Luke 3:16,148,10,19,0.3526,0.3333,0.3333,0.2963,0.08,0.34,7,0.7,3,λυσαι ιμαντα υποδηματων,7,ειμι ερχεται ικανοσ ιμαντα ισχυροτεροσ λυσαι υποδηματων,main_text
3,Mark,Mark 1:11,11,Luke,Luke 3:22,154,6,14,0.285,0.1765,0.3333,0.2222,0.125,0.1789,3,0.5,3,υιοσ αγαπητοσ ευδοκησα,3,αγαπητοσ ευδοκησα υιοσ,main_text
4,Mark,Mark 1:21,21,Luke,Luke 4:31,201,9,10,0.2623,0.2857,0.2857,0.2353,0.0,0.2411,4,0.4444,2,εισ καφαρναουμ,4,εισ καφαρναουμ σαββασιν τοισ,main_text
5,Mark,Mark 1:22,22,Luke,Luke 4:32,202,9,4,0.2532,0.2,0.2,0.1818,0.0,0.2373,2,0.5,2,εξεπλησσοντο διδαχη,2,διδαχη εξεπλησσοντο,main_text
6,Mark,Mark 1:23,23,Luke,Luke 4:33,203,6,9,0.2689,0.25,0.3636,0.1538,0.0,0.256,3,0.5,2,συναγωγη ανθρωποσ,3,ανεκραξεν ανθρωποσ συναγωγη,main_text
7,Mark,Mark 1:24,24,Luke,Luke 4:34,204,8,9,0.9274,0.8889,0.8889,0.9333,0.9231,0.8581,8,1.0,8,ιησου ναζαρηνε ηλθεσ απολεσαι ημασ οιδα τισ αγιοσ,8,αγιοσ απολεσαι ηλθεσ ημασ ιησου ναζαρηνε οιδα τισ,main_text
8,Mark,Mark 1:25,25,Luke,Luke 4:35,205,5,14,0.5558,0.3846,0.3846,0.4706,0.4,0.3568,5,1.0,5,επετιμησεν αυτω ιησουσ φιμωθητι εξελθε,5,αυτω εξελθε επετιμησεν ιησουσ φιμωθητι,main_text
9,Mark,Mark 1:29,29,Luke,Luke 4:38,208,11,14,0.2732,0.2632,0.2632,0.2609,0.0952,0.2161,5,0.4545,3,εισ οικιαν σιμωνοσ,5,εισ οικιαν σιμωνοσ συναγωγησ τησ,main_text
10,Mark,Mark 1:31,31,Luke,Luke 4:39,209,11,11,0.2191,0.2353,0.25,0.2,0.0,0.2008,4,0.3636,2,αφηκεν αυτην,4,αυτην αυτοισ αφηκεν διηκονει,main_text
11,Mark,Mark 1:39,39,Luke,Luke 4:44,214,10,6,0.4481,0.3636,0.3636,0.4286,0.3333,0.3381,4,0.6667,4,κηρυσσων εισ τασ συναγωγασ,4,εισ κηρυσσων συναγωγασ τασ,main_text
12,Mark,Mark 1:40,40,Luke,Luke 5:12,226,9,16,0.1903,0.1364,0.1364,0.1739,0.0952,0.1615,3,0.3333,3,θελησ δυνασαι καθαρισαι,3,δυνασαι θελησ καθαρισαι,main_text
13,Mark,Mark 1:41,41,Luke,Luke 5:13,227,7,10,0.4346,0.4167,0.4167,0.4,0.1538,0.4511,5,0.7143,3,εκτεινασ χειρα ηψατο,5,εκτεινασ ηψατο θελω καθαρισθητι χειρα,main_text
14,Mark,Mark 1:44,44,Luke,Luke 5:14,228,17,18,0.4985,0.5909,0.5909,0.3636,0.2581,0.5659,12,0.7059,5,προσεταξεν μωυσησ εισ μαρτυριον αυτοισ,13,αλλα αυτοισ αυτω δειξον εισ ιερει καθαρισμου μαρτυριον μηδενι μωυσησ προσενεγκε προσεταξεν σεαυτον,main_text
15,Mark,Mark 2:5,50,Luke,Luke 5:20,234,7,5,0.2594,0.3333,0.3333,0.0,0.0,0.3205,3,0.6,1,ιδων,3,αμαρτιαι ιδων πιστιν,main_text
16,Mark,Mark 2:7,52,Luke,Luke 5:21,235,10,17,0.2599,0.3,0.3,0.08,0.0,0.2776,6,0.6,2,τισ δυναται,6,αμαρτιασ δυναται θεοσ λαλει ουτοσ τισ,main_text
17,Mark,Mark 2:8,53,Luke,Luke 5:22,236,12,10,0.3131,0.2941,0.3125,0.3,0.1111,0.3315,5,0.5,3,διαλογιζεσθε ταισ καρδιαισ,5,διαλογιζεσθε επιγνουσ ιησουσ καρδιαισ ταισ,main_text
18,Mark,Mark 2:9,54,Luke,Luke 5:23,237,11,8,0.5334,0.5455,0.5455,0.4706,0.2667,0.5131,7,0.875,3,εστιν ευκοπωτερον ειπειν,6,αμαρτιαι εγειρε ειπειν εστιν ευκοπωτερον περιπατει,main_text
19,Mark,Mark 2:10,55,Luke,Luke 5:24,238,10,17,0.4657,0.5,0.5,0.4,0.1739,0.4656,7,0.7,4,τησ γησ αφιεναι αμαρτιασ,9,αμαρτιασ ανθρωπου αφιεναι γησ ειδητε εξουσιαν εχει τησ υιοσ,main_text
