threshold,source_gap_allowance,target_gap_allowance,chain_pair_count,chain_score_sum,block_count,avg_pairs_per_block
0.15,2,4,210,78.4231,59,3.56
0.15,4,6,210,78.4231,35,6.0
0.15,6,8,210,78.4231,29,7.24
0.18,2,4,183,73.9635,58,3.16
0.18,4,6,183,73.9635,35,5.23
0.18,6,8,183,73.9635,28,6.54
0.2,2,4,171,71.7179,56,3.05
0.2,4,6,171,71.7179,38,4.5
0.2,6,8,171,71.7179,29,5.9
0.22,2,4,161,69.5939,55,2.93
0.22,4,6,161,69.5939,37,4.35
0.22,6,8,161,69.5939,29,5.55
0.25,2,4,150,67.0523,53,2.83
0.25,4,6,150,67.0523,36,4.17
0.25,6,8,150,67.0523,30,5.0
0.3,2,4,117,58.0261,48,2.44
0.3,4,6,117,58.0261,33,3.55
0.3,6,8,117,58.0261,29,4.03
