pair_id,matt_ref,luke_ref,matt_index,luke_index,score,score_content,score_all,neighbor_support,rank_matt_to_luke,rank_luke_to_matt,pair_classes,matt_token_count,luke_token_count,matt_content_count,luke_content_count
1,Matt 1:21,Luke 1:13,20,12,0.181643,0.183123,0.177839,0.003516,3,2,luke_expands;reordering,19,28,8,14
2,Matt 1:23,Luke 1:27,22,26,0.153862,0.143643,0.180139,0.0256,2,1,matt_expands;reordering,22,16,11,10
3,Matt 1:25,Luke 1:31,24,30,0.598505,0.628968,0.520171,0.046864,1,1,substitution,14,14,7,7
4,Matt 2:10,Luke 2:10,34,89,0.180106,0.190737,0.152768,0.007655,2,1,luke_expands;substitution,8,18,6,10
5,Matt 3:3,Luke 3:4,50,135,0.599904,0.738428,0.714007,0.007667,1,1,substitution,24,22,15,14
6,Matt 3:7,Luke 3:7,54,138,0.581523,0.57881,0.588498,0.452852,1,1,matt_expands;substitution,24,18,14,11
7,Matt 3:9,Luke 3:8,56,139,0.759584,0.745231,0.79649,0.936647,1,1,luke_expands,25,31,14,18
8,Matt 3:10,Luke 3:9,57,140,0.936647,0.917993,0.984616,0.759584,1,1,close_match,22,23,14,15
9,Matt 3:11,Luke 3:16,58,147,0.519204,0.510333,0.542018,0.818265,1,1,partial_overlap,31,33,15,18
10,Matt 3:12,Luke 3:17,59,148,0.818265,0.826824,0.796258,0.519204,1,1,partial_overlap,26,25,11,11
11,Matt 3:16,Luke 3:21,63,152,0.197286,0.203777,0.180594,0.466432,1,1,matt_expands;reordering,24,16,13,9
12,Matt 3:17,Luke 3:22,64,153,0.466432,0.496772,0.388417,0.197286,1,1,luke_expands;substitution,17,27,8,13
13,Matt 4:1,Luke 4:1,65,170,0.139683,0.128808,0.167646,0.265095,2,1,luke_expands;substitution;reordering,14,17,7,9
14,Matt 4:2,Luke 4:2,66,171,0.265095,0.27618,0.236591,0.515209,1,1,luke_expands;substitution,9,18,7,11
15,Matt 4:3,Luke 4:3,67,172,0.515209,0.530455,0.476004,0.47243,1,1,reordering,18,17,11,10
16,Matt 4:4,Luke 4:4,68,173,0.47243,0.615014,0.476158,0.515209,1,1,matt_expands,20,15,13,8
17,Matt 4:5,Luke 4:9,69,178,0.293582,0.284885,0.315947,0.310127,1,1,luke_expands,17,24,8,12
