pair,block_id,block_label,pair_count,avg_score,mark_span_verse_count,luke_span_verse_count,mark_unmatched_count,luke_unmatched_count,mark_token_count,luke_token_count,gap_before_mark_count,gap_before_luke_count,gap_category,mark_range,luke_range,representative_primary_pairs,source_text_preview,target_text_preview,direction_id,source,target,source_range,target_range,operations,burden_score,required_explanations,contrary_evidence,plausible_response_model
Mark↔Luke,loose_001,Mark 1:3–Mark 1:3 / Luke 3:4–Luke 3:4,1,0.7358,1,1,0,0,,,,,continuous_alignment,Mark 1:3–Mark 1:3,Luke 3:4–Luke 3:4,Mark 1:3~Luke 3:4,"φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,","ὡς γέγραπται ἐν βίβλῳ λόγων Ἠσαΐου τοῦ ⸀προφήτου· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ.",luke_used_mark,Mark,Luke,Mark 1:3–Mark 1:3,Luke 3:4–Luke 3:4,lukan_addition_or_relocation; lukan_omission_or_compression; lukan_reframing,0.0,"0 Luke gap verse(s) as addition, relocation, or expansion around a Markan sequence. | 0 Mark gap verse(s) as omission/compression by Luke.",Unpenalized shared-tradition model can explain some local parallels; Lukan gap material and low-score pairs require explanation.,Luke uses Mark-like narrative sequence while adding infancy/travel/sayings material and smoothing/reframing Mark.
Mark↔Luke,loose_001,Mark 1:3–Mark 1:3 / Luke 3:4–Luke 3:4,1,0.7358,1,1,0,0,,,,,continuous_alignment,Mark 1:3–Mark 1:3,Luke 3:4–Luke 3:4,Mark 1:3~Luke 3:4,"φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,","ὡς γέγραπται ἐν βίβλῳ λόγων Ἠσαΐου τοῦ ⸀προφήτου· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ.",mark_used_luke,Luke,Mark,Luke 3:4–Luke 3:4,Mark 1:3–Mark 1:3,markan_omission_of_lukan_material; markan_abbreviation; markan_vividization,0.0,0 Mark gap verse(s) as Markan addition. | 0 Luke gap verse(s) as material Mark omits/compresses.,Mark must omit large Lukan blocks and still preserve the Mark-like sequence; direct-use burden higher than Luke used Mark.,Markan epitome/abbreviation of Luke with strong action-narrative focus; high-burden but formally possible.
Mark↔Luke,loose_002,Mark 1:7–Mark 1:11 / Luke 3:16–Luke 3:22,2,0.3188,5,7,3,5,,,,,minor_gap_or_local_relocation,Mark 1:7–Mark 1:11,Luke 3:16–Luke 3:22,Mark 1:7~Luke 3:16; Mark 1:11~Luke 3:22,"καὶ ἐκήρυσσεν λέγων· Ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου, οὗ οὐκ εἰμὶ ἱκανὸς κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ· ⸀ἐγὼ ἐβάπτισα ⸀ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ⸀ἐν πνεύματι ἁγίῳ. Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη ⸂εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου⸃.","ἀπεκρίνατο ⸂λέγων πᾶσιν ὁ Ἰωάννης⸃· Ἐγὼ μὲν ὕδατι βαπτίζω ὑμᾶς· ἔρχεται δὲ ὁ ἰσχυρότερός μου, οὗ οὐκ εἰμὶ ἱκανὸς λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί· οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ ⸀διακαθᾶραι τὴν ἅλωνα αὐτοῦ καὶ ⸀συναγαγεῖν τὸν σῖτον εἰς τὴν ἀποθήκην αὐτοῦ, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ. Πολλὰ μὲν οὖν καὶ ἕτερα παρακαλῶν εὐηγγελίζετο τὸν λαόν·",luke_used_mark,Mark,Luke,Mark 1:7–Mark 1:11,Luke 3:16–Luke 3:22,lukan_addition_or_relocation; lukan_omission_or_compression; lukan_reframing,7.8124,"5 Luke gap verse(s) as addition, relocation, or expansion around a Markan sequence. | 3 Mark gap verse(s) as omission/compression by Luke.",Unpenalized shared-tradition model can explain some local parallels; Lukan gap material and low-score pairs require explanation.,Luke uses Mark-like narrative sequence while adding infancy/travel/sayings material and smoothing/reframing Mark.
Mark↔Luke,loose_002,Mark 1:7–Mark 1:11 / Luke 3:16–Luke 3:22,2,0.3188,5,7,3,5,,,,,minor_gap_or_local_relocation,Mark 1:7–Mark 1:11,Luke 3:16–Luke 3:22,Mark 1:7~Luke 3:16; Mark 1:11~Luke 3:22,"καὶ ἐκήρυσσεν λέγων· Ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου, οὗ οὐκ εἰμὶ ἱκανὸς κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ· ⸀ἐγὼ ἐβάπτισα ⸀ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ⸀ἐν πνεύματι ἁγίῳ. Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη ⸂εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου⸃.","ἀπεκρίνατο ⸂λέγων πᾶσιν ὁ Ἰωάννης⸃· Ἐγὼ μὲν ὕδατι βαπτίζω ὑμᾶς· ἔρχεται δὲ ὁ ἰσχυρότερός μου, οὗ οὐκ εἰμὶ ἱκανὸς λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί· οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ ⸀διακαθᾶραι τὴν ἅλωνα αὐτοῦ καὶ ⸀συναγαγεῖν τὸν σῖτον εἰς τὴν ἀποθήκην αὐτοῦ, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ. Πολλὰ μὲν οὖν καὶ ἕτερα παρακαλῶν εὐηγγελίζετο τὸν λαόν·",mark_used_luke,Luke,Mark,Luke 3:16–Luke 3:22,Mark 1:7–Mark 1:11,markan_omission_of_lukan_material; markan_abbreviation; markan_vividization,9.5124,3 Mark gap verse(s) as Markan addition. | 5 Luke gap verse(s) as material Mark omits/compresses.,Mark must omit large Lukan blocks and still preserve the Mark-like sequence; direct-use burden higher than Luke used Mark.,Markan epitome/abbreviation of Luke with strong action-narrative focus; high-burden but formally possible.
Mark↔Luke,loose_003,Mark 1:21–Mark 1:31 / Luke 4:31–Luke 4:39,7,0.3943,11,9,4,2,,,,,minor_gap_or_local_relocation,Mark 1:21–Mark 1:31,Luke 4:31–Luke 4:39,Mark 1:21~Luke 4:31; Mark 1:22~Luke 4:32; Mark 1:23~Luke 4:33; Mark 1:24~Luke 4:34; Mark 1:25~Luke 4:35,"Καὶ εἰσπορεύονται εἰς Καφαρναούμ. καὶ ⸀εὐθὺς τοῖς σάββασιν ⸂ἐδίδασκεν εἰς τὴν συναγωγήν⸃. καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς. καὶ ⸀εὐθὺς ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ καὶ ἀνέκραξεν","Καὶ κατῆλθεν εἰς Καφαρναοὺμ πόλιν τῆς Γαλιλαίας. καὶ ἦν διδάσκων αὐτοὺς ἐν τοῖς σάββασιν· καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτοῦ. καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμονίου ἀκαθάρτου, καὶ ἀνέκραξεν φωνῇ μεγάλῃ·",luke_used_mark,Mark,Luke,Mark 1:21–Mark 1:31,Luke 4:31–Luke 4:39,lukan_addition_or_relocation; lukan_omission_or_compression; lukan_reframing,6.2899,"2 Luke gap verse(s) as addition, relocation, or expansion around a Markan sequence. | 4 Mark gap verse(s) as omission/compression by Luke.",Unpenalized shared-tradition model can explain some local parallels; Lukan gap material and low-score pairs require explanation.,Luke uses Mark-like narrative sequence while adding infancy/travel/sayings material and smoothing/reframing Mark.
Mark↔Luke,loose_003,Mark 1:21–Mark 1:31 / Luke 4:31–Luke 4:39,7,0.3943,11,9,4,2,,,,,minor_gap_or_local_relocation,Mark 1:21–Mark 1:31,Luke 4:31–Luke 4:39,Mark 1:21~Luke 4:31; Mark 1:22~Luke 4:32; Mark 1:23~Luke 4:33; Mark 1:24~Luke 4:34; Mark 1:25~Luke 4:35,"Καὶ εἰσπορεύονται εἰς Καφαρναούμ. καὶ ⸀εὐθὺς τοῖς σάββασιν ⸂ἐδίδασκεν εἰς τὴν συναγωγήν⸃. καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς. καὶ ⸀εὐθὺς ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ καὶ ἀνέκραξεν","Καὶ κατῆλθεν εἰς Καφαρναοὺμ πόλιν τῆς Γαλιλαίας. καὶ ἦν διδάσκων αὐτοὺς ἐν τοῖς σάββασιν· καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτοῦ. καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμονίου ἀκαθάρτου, καὶ ἀνέκραξεν φωνῇ μεγάλῃ·",mark_used_luke,Luke,Mark,Luke 4:31–Luke 4:39,Mark 1:21–Mark 1:31,markan_omission_of_lukan_material; markan_abbreviation; markan_vividization,7.3899,4 Mark gap verse(s) as Markan addition. | 2 Luke gap verse(s) as material Mark omits/compresses.,Mark must omit large Lukan blocks and still preserve the Mark-like sequence; direct-use burden higher than Luke used Mark.,Markan epitome/abbreviation of Luke with strong action-narrative focus; high-burden but formally possible.
Mark↔Luke,loose_004,Mark 1:39–Mark 1:39 / Luke 4:44–Luke 4:44,1,0.4481,1,1,0,0,,,,,continuous_alignment,Mark 1:39–Mark 1:39,Luke 4:44–Luke 4:44,Mark 1:39~Luke 4:44,καὶ ⸀ἦλθεν κηρύσσων ⸂εἰς τὰς συναγωγὰς⸃ αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια ἐκβάλλων.,καὶ ἦν κηρύσσων ⸂εἰς τὰς συναγωγὰς⸃ τῆς ⸀Ἰουδαίας.,luke_used_mark,Mark,Luke,Mark 1:39–Mark 1:39,Luke 4:44–Luke 4:44,lukan_addition_or_relocation; lukan_omission_or_compression; lukan_reframing,0.0019,"0 Luke gap verse(s) as addition, relocation, or expansion around a Markan sequence. | 0 Mark gap verse(s) as omission/compression by Luke.",Unpenalized shared-tradition model can explain some local parallels; Lukan gap material and low-score pairs require explanation.,Luke uses Mark-like narrative sequence while adding infancy/travel/sayings material and smoothing/reframing Mark.
Mark↔Luke,loose_004,Mark 1:39–Mark 1:39 / Luke 4:44–Luke 4:44,1,0.4481,1,1,0,0,,,,,continuous_alignment,Mark 1:39–Mark 1:39,Luke 4:44–Luke 4:44,Mark 1:39~Luke 4:44,καὶ ⸀ἦλθεν κηρύσσων ⸂εἰς τὰς συναγωγὰς⸃ αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια ἐκβάλλων.,καὶ ἦν κηρύσσων ⸂εἰς τὰς συναγωγὰς⸃ τῆς ⸀Ἰουδαίας.,mark_used_luke,Luke,Mark,Luke 4:44–Luke 4:44,Mark 1:39–Mark 1:39,markan_omission_of_lukan_material; markan_abbreviation; markan_vividization,0.0019,0 Mark gap verse(s) as Markan addition. | 0 Luke gap verse(s) as material Mark omits/compresses.,Mark must omit large Lukan blocks and still preserve the Mark-like sequence; direct-use burden higher than Luke used Mark.,Markan epitome/abbreviation of Luke with strong action-narrative focus; high-burden but formally possible.
Mark↔Luke,loose_005,Mark 1:40–Mark 1:44 / Luke 5:12–Luke 5:14,3,0.3745,5,3,2,0,,,,,minor_gap_or_local_relocation,Mark 1:40–Mark 1:44,Luke 5:12–Luke 5:14,Mark 1:40~Luke 5:12; Mark 1:41~Luke 5:13; Mark 1:44~Luke 5:14,"Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι. ⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι· καὶ ⸀εὐθὺς ἀπῆλθεν ἀπʼ αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη.","Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν ἐν μιᾷ τῶν πόλεων καὶ ἰδοὺ ἀνὴρ πλήρης λέπρας· ⸂καὶ ἰδὼν⸃ τὸν Ἰησοῦν πεσὼν ἐπὶ πρόσωπον ἐδεήθη αὐτοῦ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι. καὶ ἐκτείνας τὴν χεῖρα ἥψατο αὐτοῦ ⸀εἰπών· Θέλω, καθαρίσθητι· καὶ εὐθέως ἡ λέπρα ἀπῆλθεν ἀπʼ αὐτοῦ. καὶ αὐτὸς παρήγγειλεν αὐτῷ μηδενὶ εἰπεῖν, ἀλλὰ ἀπελθὼν δεῖξον σεαυτὸν τῷ ἱερεῖ, καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου καθὼς προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.",luke_used_mark,Mark,Luke,Mark 1:40–Mark 1:44,Luke 5:12–Luke 5:14,lukan_addition_or_relocation; lukan_omission_or_compression; lukan_reframing,2.4265,"0 Luke gap verse(s) as addition, relocation, or expansion around a Markan sequence. | 2 Mark gap verse(s) as omission/compression by Luke.",Unpenalized shared-tradition model can explain some local parallels; Lukan gap material and low-score pairs require explanation.,Luke uses Mark-like narrative sequence while adding infancy/travel/sayings material and smoothing/reframing Mark.
Mark↔Luke,loose_005,Mark 1:40–Mark 1:44 / Luke 5:12–Luke 5:14,3,0.3745,5,3,2,0,,,,,minor_gap_or_local_relocation,Mark 1:40–Mark 1:44,Luke 5:12–Luke 5:14,Mark 1:40~Luke 5:12; Mark 1:41~Luke 5:13; Mark 1:44~Luke 5:14,"Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι. ⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι· καὶ ⸀εὐθὺς ἀπῆλθεν ἀπʼ αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη.","Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν ἐν μιᾷ τῶν πόλεων καὶ ἰδοὺ ἀνὴρ πλήρης λέπρας· ⸂καὶ ἰδὼν⸃ τὸν Ἰησοῦν πεσὼν ἐπὶ πρόσωπον ἐδεήθη αὐτοῦ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι. καὶ ἐκτείνας τὴν χεῖρα ἥψατο αὐτοῦ ⸀εἰπών· Θέλω, καθαρίσθητι· καὶ εὐθέως ἡ λέπρα ἀπῆλθεν ἀπʼ αὐτοῦ. καὶ αὐτὸς παρήγγειλεν αὐτῷ μηδενὶ εἰπεῖν, ἀλλὰ ἀπελθὼν δεῖξον σεαυτὸν τῷ ἱερεῖ, καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου καθὼς προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.",mark_used_luke,Luke,Mark,Luke 5:12–Luke 5:14,Mark 1:40–Mark 1:44,markan_omission_of_lukan_material; markan_abbreviation; markan_vividization,2.7265,2 Mark gap verse(s) as Markan addition. | 0 Luke gap verse(s) as material Mark omits/compresses.,Mark must omit large Lukan blocks and still preserve the Mark-like sequence; direct-use burden higher than Luke used Mark.,Markan epitome/abbreviation of Luke with strong action-narrative focus; high-burden but formally possible.
