pair_id,matt_ref,luke_ref,matt_original_idx,luke_original_idx,score,lcs,matt_token_count,luke_token_count,tags
1,Matt 1:25,Luke 1:31,25,31,0.598505,0.714286,14,14,moderate_parallel;content_order_preserved;multi_lemma_overlap
2,Matt 3:7,Luke 3:7,55,139,0.581523,0.700000,24,18,moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap
3,Matt 3:9,Luke 3:8,57,140,0.759584,0.923077,25,31,strong_parallel;content_order_preserved;multi_lemma_overlap
4,Matt 3:10,Luke 3:9,58,141,0.936647,1.000000,22,23,close_match;content_order_preserved;multi_lemma_overlap
5,Matt 3:12,Luke 3:17,60,149,0.818265,0.909091,26,25,close_match;content_order_preserved;multi_lemma_overlap
6,Matt 4:3,Luke 4:3,68,173,0.515209,0.777778,18,17,moderate_parallel;content_order_preserved;multi_lemma_overlap
7,Matt 4:4,Luke 4:4,69,174,0.472430,0.875000,20,15,moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap
8,Matt 4:6,Luke 4:11,71,181,0.601248,1.000000,32,13,strong_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap
9,Matt 4:7,Luke 4:12,72,182,0.547393,0.625000,12,14,moderate_parallel;multi_lemma_overlap
10,Matt 5:3,Luke 6:20,93,273,0.356689,0.666667,12,21,weak_parallel;luke_expands_or_matt_abbreviates;content_order_preserved
11,Matt 5:46,Luke 6:32,136,285,0.408055,0.375000,16,18,moderate_parallel
12,Matt 7:1,Luke 6:37,173,290,0.562774,1.000000,5,17,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved
13,Matt 7:3,Luke 6:41,175,294,0.698098,0.777778,21,22,strong_parallel;content_order_preserved;multi_lemma_overlap
14,Matt 7:4,Luke 6:42,176,295,0.690829,1.000000,22,47,strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
15,Matt 7:18,Luke 6:43,190,296,0.509298,0.583333,13,15,moderate_parallel;multi_lemma_overlap
16,Matt 8:9,Luke 7:8,210,310,0.919195,1.000000,30,31,close_match;content_order_preserved;multi_lemma_overlap
17,Matt 8:10,Luke 7:9,211,311,0.397739,0.700000,20,23,weak_parallel;content_order_preserved;multi_lemma_overlap
18,Matt 11:3,Luke 7:19,318,321,0.404583,0.800000,9,12,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved
19,Matt 11:5,Luke 7:22,320,324,0.757422,1.000000,16,23,strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
20,Matt 11:6,Luke 7:23,321,325,1.000000,1.000000,9,9,close_match;content_order_preserved
21,Matt 11:7,Luke 7:24,322,326,0.758118,0.833333,21,22,strong_parallel;content_order_preserved;multi_lemma_overlap
22,Matt 11:8,Luke 7:25,323,327,0.411005,0.600000,19,21,moderate_parallel;multi_lemma_overlap
23,Matt 11:9,Luke 7:26,324,328,0.572767,0.833333,11,11,moderate_parallel;content_order_preserved;multi_lemma_overlap
24,Matt 11:11,Luke 7:28,326,330,0.475585,0.666667,23,20,moderate_parallel;content_order_preserved;multi_lemma_overlap
25,Matt 11:17,Luke 7:32,332,334,0.592822,0.857143,10,21,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
26,Matt 11:18,Luke 7:33,333,335,0.512271,1.000000,11,15,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
27,Matt 11:19,Luke 7:34,334,336,0.689853,0.916667,27,19,strong_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap
28,Matt 11:21,Luke 10:13,336,483,0.920229,1.000000,26,27,close_match;content_order_preserved;multi_lemma_overlap
29,Matt 11:22,Luke 10:14,337,484,0.752828,1.000000,13,11,strong_parallel;content_order_preserved;multi_lemma_overlap
30,Matt 11:23,Luke 10:15,338,485,0.478330,0.800000,26,11,moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved
31,Matt 11:25,Luke 10:21,340,491,0.583264,0.714286,28,40,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
32,Matt 11:27,Luke 10:22,342,492,0.678374,0.866667,32,34,strong_parallel;content_order_preserved;multi_lemma_overlap
33,Matt 12:28,Luke 11:20,373,532,0.791266,0.857143,17,16,strong_parallel;content_order_preserved;multi_lemma_overlap
34,Matt 12:30,Luke 11:23,375,535,1.000000,1.000000,15,15,close_match;content_order_preserved
