catalog_type,direction_id,pair,unit_id,source_range,target_range,signal_strength,avg_score,operations,explanation_needed,response_model
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,4,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,2,0.714092,abbreviation; redistribution; matt_interposition,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,4,Matt 7:29–Matt 7:29,Mark 1:22–Mark 1:22,2,0.714092,expansion; redistribution; mark_nonuse_of_matt_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,15,Mark 8:2–Mark 8:20,Matt 15:32–Matt 16:10,2,0.341707,length_neutral; matt_omissions; tempo_smoothing; matt_nonuse_of_mark_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,15,Matt 15:32–Matt 16:10,Mark 8:2–Mark 8:20,2,0.341707,length_neutral; mark_additions; tempo_intensification; mark_preserves_extra_material,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,luke_used_mark,Mark↔Luke,loose_008,Mark 4:4–Mark 4:25,Luke 8:5–Luke 8:18,2,0.3259,lukan_addition_or_relocation; lukan_omission_or_compression; lukan_reframing,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Luke uses Mark-like narrative sequence while adding infancy/travel/sayings material and smoothing/reframing Mark.
block_order_or_rewriting_pressure,mark_used_luke,Mark↔Luke,loose_008,Luke 8:5–Luke 8:18,Mark 4:4–Mark 4:25,2,0.3259,markan_omission_of_lukan_material; markan_abbreviation; markan_vividization,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation of Luke with strong action-narrative focus; high-burden but formally possible.
block_order_or_rewriting_pressure,luke_used_matthew,Matthew↔Luke,24,Matt 19:13–Matt 19:29,Luke 18:15–Luke 18:29,2,0.317064,compression; lexical_paraphrase; reordering_or_redistribution; matthean_diction_reduced,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.","Luke deliberately disperses, abbreviates, and de-Mattheanizes Matthean sayings into Lukan narrative/travel contexts."
block_order_or_rewriting_pressure,matthew_used_luke,Matthew↔Luke,24,Luke 18:15–Luke 18:29,Matt 19:13–Matt 19:29,2,0.317064,compression; lexical_paraphrase; reordering_or_redistribution; lukan_diction_reworked,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthew relocates Lukan/Luke-like sayings into large discourses and overlays Matthean fulfillment/Jewish-teaching structure.
block_order_or_rewriting_pressure,matthew_used_mark,Mark↔Matthew,8,Mark 3:21–Mark 3:29,Matt 12:23–Matt 12:32,2,0.313823,expansion; matt_additions; matt_nonuse_of_mark_gap,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
block_order_or_rewriting_pressure,mark_used_matthew,Mark↔Matthew,8,Matt 12:23–Matt 12:32,Mark 3:21–Mark 3:29,2,0.313823,abbreviation; mark_omissions; mark_preserves_extra_material,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
block_order_or_rewriting_pressure,luke_used_matthew,Matthew↔Luke,18,Matt 14:1–Matt 14:20,Luke 9:7–Luke 9:17,2,0.312689,compression; lexical_paraphrase; reordering_or_redistribution,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.","Luke deliberately disperses, abbreviates, and de-Mattheanizes Matthean sayings into Lukan narrative/travel contexts."
block_order_or_rewriting_pressure,matthew_used_luke,Matthew↔Luke,18,Luke 9:7–Luke 9:17,Matt 14:1–Matt 14:20,2,0.312689,compression; lexical_paraphrase; reordering_or_redistribution; lukan_diction_reworked,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthew relocates Lukan/Luke-like sayings into large discourses and overlays Matthean fulfillment/Jewish-teaching structure.
block_order_or_rewriting_pressure,luke_used_matthew,Matthew↔Luke,29,Matt 26:3–Matt 26:29,Luke 22:2–Luke 22:18,2,0.285976,compression; lexical_paraphrase; reordering_or_redistribution; matthean_diction_reduced,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.","Luke deliberately disperses, abbreviates, and de-Mattheanizes Matthean sayings into Lukan narrative/travel contexts."
block_order_or_rewriting_pressure,matthew_used_luke,Matthew↔Luke,29,Luke 22:2–Luke 22:18,Matt 26:3–Matt 26:29,2,0.285976,compression; lexical_paraphrase; reordering_or_redistribution; lukan_diction_reworked,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthew relocates Lukan/Luke-like sayings into large discourses and overlays Matthean fulfillment/Jewish-teaching structure.
block_order_or_rewriting_pressure,luke_used_matthew,Matthew↔Luke,30,Matt 26:30–Matt 28:8,Luke 22:39–Luke 24:12,2,0.282191,compression; lexical_paraphrase; reordering_or_redistribution; matthean_diction_reduced; scriptural_framing_reduced,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.","Luke deliberately disperses, abbreviates, and de-Mattheanizes Matthean sayings into Lukan narrative/travel contexts."
block_order_or_rewriting_pressure,matthew_used_luke,Matthew↔Luke,30,Luke 22:39–Luke 24:12,Matt 26:30–Matt 28:8,2,0.282191,compression; lexical_paraphrase; reordering_or_redistribution; lukan_diction_reworked; scripturalization_added,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthew relocates Lukan/Luke-like sayings into large discourses and overlays Matthean fulfillment/Jewish-teaching structure.
block_order_or_rewriting_pressure,luke_used_matthew,Matthew↔Luke,10,Matt 9:34–Matt 10:4,Luke 6:2–Luke 6:16,2,0.252561,expansion; lexical_paraphrase; reordering_or_redistribution; matthean_diction_reduced,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.","Luke deliberately disperses, abbreviates, and de-Mattheanizes Matthean sayings into Lukan narrative/travel contexts."
block_order_or_rewriting_pressure,matthew_used_luke,Matthew↔Luke,10,Luke 6:2–Luke 6:16,Matt 9:34–Matt 10:4,2,0.252561,expansion; lexical_paraphrase; reordering_or_redistribution,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.",Matthew relocates Lukan/Luke-like sayings into large discourses and overlays Matthean fulfillment/Jewish-teaching structure.
block_order_or_rewriting_pressure,luke_used_matthew,Matthew↔Luke,25,Matt 20:18–Matt 20:34,Luke 18:31–Luke 18:43,2,0.252396,compression; lexical_paraphrase; reordering_or_redistribution; matthean_diction_reduced,"Explain local low similarity, reordering/redistribution, or asymmetrical gap material under the direction hypothesis.","Luke deliberately disperses, abbreviates, and de-Mattheanizes Matthean sayings into Lukan narrative/travel contexts."
